#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     1.79125     1.79125           0
           2     1.85021     1.82073   0.0208455
           3     1.86626     1.83591   0.0186182
           4     1.88643     1.84854   0.0177372
           5     1.87717     1.85426   0.0150858
           6     1.88578     1.85952   0.0134551
           7     1.81887     1.85371   0.0127241
           8     1.82234     1.84979   0.0117222
           9     1.83247     1.84787   0.0105765
          10     1.87304     1.85038  0.00981387
          11     1.93177     1.85778   0.0113735
          12      1.9126     1.86235   0.0113061
          13     1.88121      1.8638   0.0105291
          14     1.88474      1.8653  0.00988262
          15     1.89002     1.86694  0.00936025
          16       1.853     1.86607  0.00881572
          17      1.8165     1.86316  0.00876617
          18     1.81391     1.86042  0.00869568
          19     1.79492     1.85697  0.00889513
          20     1.86518     1.85738  0.00845982
          21     1.84222     1.85666  0.00808773
          22     1.85072     1.85639  0.00772462
          23     1.86401     1.85672  0.00739587
          24      1.8261     1.85545  0.00719696
          25     1.91745     1.85793  0.00732399
          26     1.95863      1.8618  0.00800114
          27     1.86448      1.8619  0.00770542
          28     1.82821      1.8607  0.00752357
          29     1.86738     1.86093  0.00726767
          30     1.84423     1.86037   0.0070467
          31     1.86642     1.86057  0.00682209
          32     1.82765     1.85954    0.006686
          33     1.88357     1.86026  0.00652295
          34     1.85271     1.86004  0.00633488
          35     1.87505     1.86047  0.00616838
          36     1.86888      1.8607  0.00600145
          37     1.87246     1.86102  0.00584766
          38     1.84882      1.8607  0.00570259
          39     1.84212     1.86023  0.00557623
          40     1.84363     1.85981  0.00545224
          41     1.82248      1.8589  0.00539474
          42     1.87812     1.85936  0.00528568
          43     1.87825      1.8598  0.00518098
          44     1.87276     1.86009  0.00507161
          45      1.8804     1.86054  0.00497894
          46      1.8941     1.86127  0.00492386
          47     1.88149      1.8617  0.00483785
          48     1.88187     1.86212  0.00475527
          49     1.82501     1.86137  0.00471814
          50     1.82741     1.86069   0.0046724
