#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1   -0.316747   -0.316747           0
           2   -0.375777   -0.346262   0.0208704
           3    -0.39196   -0.361494   0.0186622
           4   -0.412159   -0.374161   0.0177828
           5   -0.402726   -0.379874   0.0151162
           6   -0.411156   -0.385087    0.013466
           7   -0.344292    -0.37926   0.0127411
           8    -0.34773   -0.375318   0.0117422
           9   -0.357914   -0.373385   0.0105956
          10   -0.398534     -0.3759  0.00982996
          11   -0.457366   -0.383306   0.0113895
          12   -0.438305   -0.387889   0.0113251
          13   -0.406907   -0.389352    0.010548
          14   -0.410316   -0.390849  0.00990029
          15   -0.415502   -0.392493   0.0093757
          16   -0.378441   -0.391615  0.00883075
          17   -0.341963   -0.388694  0.00878101
          18   -0.339269   -0.385948  0.00871191
          19    -0.32032   -0.382494  0.00891188
          20    -0.39061     -0.3829  0.00847552
          21   -0.367678   -0.382175  0.00810286
          22   -0.376281   -0.381907  0.00773897
          23   -0.389551   -0.382239  0.00740963
          24   -0.351602   -0.380963  0.00721002
          25   -0.443143    -0.38345  0.00733809
          26   -0.484308   -0.387329  0.00801587
          27   -0.389853   -0.387423  0.00771953
          28   -0.353562   -0.386213  0.00753796
          29   -0.392734   -0.386438  0.00728138
          30   -0.369596   -0.385877  0.00706028
          31   -0.391922   -0.386072  0.00683522
          32   -0.353254   -0.385046  0.00669812
          33    -0.40914   -0.385776  0.00653481
          34   -0.378191   -0.385553  0.00634642
          35   -0.400594   -0.385983  0.00617963
          36   -0.394412   -0.386217   0.0060124
          37   -0.397816   -0.386531  0.00585807
          38   -0.374191   -0.386206  0.00571291
          39   -0.367467   -0.385725  0.00558659
          40   -0.369066   -0.385309  0.00546243
          41   -0.348041     -0.3844   0.0054043
          42   -0.403669   -0.384859  0.00529506
          43   -0.403675   -0.385296  0.00518997
          44   -0.398179   -0.385589  0.00508027
          45    -0.40591   -0.386041   0.0049874
          46   -0.419543   -0.386769  0.00493187
          47   -0.406859   -0.387196  0.00484543
          48   -0.407222   -0.387614  0.00476241
          49   -0.350462   -0.386855  0.00472518
          50   -0.352897   -0.386176  0.00467924
