#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     1.47451     1.47451           0
           2     1.47444     1.47447 2.48373e-05
           3      1.4743     1.47441 5.02312e-05
           4     1.47427     1.47438 4.93816e-05
           5     1.47444     1.47439 4.12244e-05
           6     1.47463     1.47443 4.96629e-05
           7     1.47458     1.47445 4.71491e-05
           8     1.47461     1.47447 4.52562e-05
           9     1.47456     1.47448 4.12955e-05
          10     1.47451     1.47448 3.72463e-05
          11      1.4744     1.47448 3.46301e-05
          12      1.4743     1.47446 3.47169e-05
          13      1.4743     1.47445  3.4182e-05
          14     1.47442     1.47445 3.18043e-05
          15     1.47452     1.47445 3.00622e-05
          16     1.47456     1.47446 2.89135e-05
          17     1.47454     1.47446 2.75827e-05
          18     1.47464     1.47447  2.7708e-05
          19      1.4746     1.47448 2.70753e-05
          20     1.47457     1.47448 2.60706e-05
          21     1.47454     1.47449 2.49819e-05
          22     1.47443     1.47448 2.39595e-05
          23     1.47446     1.47448 2.29384e-05
          24     1.47449     1.47448 2.19863e-05
          25     1.47431     1.47448 2.21867e-05
          26     1.47432     1.47447 2.21311e-05
          27     1.47463     1.47448 2.20965e-05
          28     1.47465     1.47448 2.21605e-05
          29     1.47465     1.47449 2.21093e-05
          30     1.47463     1.47449 2.18685e-05
          31      1.4745     1.47449 2.11637e-05
          32      1.4744     1.47449 2.07236e-05
          33     1.47443     1.47449 2.01665e-05
          34     1.47451     1.47449 1.95876e-05
          35     1.47445     1.47449 1.90551e-05
          36     1.47447     1.47449  1.8535e-05
          37     1.47465     1.47449 1.85239e-05
          38     1.47463      1.4745 1.83644e-05
          39     1.47466      1.4745 1.83549e-05
          40     1.47456      1.4745 1.79611e-05
          41     1.47444      1.4745 1.75879e-05
          42     1.47445      1.4745 1.72052e-05
          43     1.47457      1.4745 1.68958e-05
          44     1.47458      1.4745 1.66209e-05
          45     1.47449      1.4745 1.62545e-05
          46     1.47456      1.4745  1.5949e-05
          47     1.47463     1.47451 1.58237e-05
          48     1.47465     1.47451 1.57769e-05
          49     1.47455     1.47451 1.54799e-05
          50     1.47451     1.47451 1.51703e-05
