#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     1.66596     1.66596           0
           2      1.6728     1.66938  0.00241887
           3     1.63915      1.6593  0.00838373
           4     1.57154     1.63736   0.0200142
           5      1.4879     1.60747   0.0311644
           6     1.40897     1.57438   0.0398314
           7     1.34792     1.54203   0.0454173
           8     1.31266     1.51336   0.0479433
           9      1.3109     1.49086   0.0476024
          10     1.33768     1.47555   0.0452399
          11     1.37301     1.46622   0.0420765
          12     1.40057     1.46075   0.0389242
          13     1.41525     1.45725   0.0360871
          14     1.41666     1.45435   0.0336257
          15     1.40339     1.45096   0.0315552
          16     1.37451     1.44618   0.0299425
          17     1.33331     1.43954   0.0289079
          18     1.28957     1.43121   0.0284773
          19     1.25811      1.4221   0.0283985
          20     1.25146     1.41356   0.0282312
          21     1.26992     1.40672   0.0277031
          22      1.3012     1.40193    0.026856
          23     1.33186     1.39888   0.0258605
          24     1.35694     1.39713    0.024842
          25     1.37851     1.39639   0.0238595
          26     1.39949     1.39651   0.0229421
          27     1.42176     1.39744   0.0221114
          28     1.44377      1.3991   0.0213836
          29      1.4599     1.40119   0.0207487
          30     1.46753     1.40341   0.0201746
          31     1.46648     1.40544   0.0196261
          32     1.45201     1.40689   0.0190666
          33      1.4181     1.40723   0.0184919
          34     1.36783     1.40608   0.0179843
          35     1.31525     1.40348   0.0176567
          36     1.27418     1.39989   0.0175277
          37     1.25004     1.39584   0.0175156
          38     1.24278     1.39181   0.0175117
          39     1.25013     1.38818   0.0174354
          40     1.26839     1.38518   0.0172548
          41     1.29329     1.38294   0.0169789
          42     1.32086     1.38146   0.0166388
          43     1.34615     1.38064   0.0162721
          44     1.36056     1.38019   0.0159087
          45     1.35377      1.3796    0.015566
          46     1.31968      1.3783    0.015282
          47     1.26357     1.37586   0.0151506
          48     1.20937     1.37239   0.0152268
          49     1.18992     1.36866   0.0153647
          50     1.21255     1.36554   0.0153713
