#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -5.22779    -5.22779           0
           2     -5.2248    -5.22629   0.0010596
           3    -5.23733    -5.22997  0.00308585
           4    -5.22251    -5.22811  0.00282306
           5     -5.2099    -5.22447  0.00396257
           6    -5.23766    -5.22666  0.00386414
           7    -5.25428    -5.23061  0.00493013
           8    -5.21995    -5.22928  0.00449042
           9    -5.19417    -5.22538  0.00542718
          10    -5.21859     -5.2247  0.00492675
          11    -5.21007    -5.22337  0.00465482
          12    -5.21835    -5.22295  0.00428566
          13    -5.22411    -5.22304  0.00395693
          14    -5.24895    -5.22489  0.00408419
          15    -5.21949    -5.22453  0.00382774
          16    -5.21926     -5.2242  0.00360262
          17    -5.19054    -5.22222  0.00389692
          18     -5.2102    -5.22155  0.00373725
          19     -5.2244     -5.2217  0.00354354
          20    -5.24881    -5.22306  0.00361633
          21    -5.20038    -5.22198  0.00360179
          22     -5.2502    -5.22326  0.00365941
          23    -5.21874    -5.22306  0.00350558
          24    -5.23537    -5.22358  0.00339683
          25    -5.22895    -5.22379  0.00326775
          26    -5.21975    -5.22364  0.00314576
          27    -5.23249    -5.22396   0.0030463
          28    -5.23794    -5.22446   0.0029781
          29    -5.25157     -5.2254  0.00301856
          30    -5.17786    -5.22381  0.00330789
          31    -5.19561     -5.2229  0.00332394
          32    -5.21965     -5.2228  0.00322163
          33    -5.20518    -5.22227  0.00316792
          34    -5.23226    -5.22256  0.00308834
          35    -5.25265    -5.22342  0.00311747
          36    -5.24149    -5.22392    0.003071
          37    -5.21612    -5.22371  0.00299522
          38    -5.20731    -5.22328  0.00294735
          39    -5.22507    -5.22333  0.00287214
          40    -5.22801    -5.22344  0.00280272
          41    -5.23791     -5.2238  0.00275648
          42    -5.22732    -5.22388  0.00269213
          43    -5.18701    -5.22302  0.00276268
          44    -5.19959    -5.22249  0.00275074
          45    -5.22136    -5.22247  0.00268973
          46    -5.18716     -5.2217  0.00273855
          47    -5.22734    -5.22182  0.00268292
          48    -5.23016    -5.22199  0.00263265
          49    -5.19705    -5.22148  0.00262767
          50     -5.1931    -5.22091  0.00263574
