#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1    0.889001    0.889001           0
           2    0.886876    0.887939 0.000751595
           3    0.894751    0.890209  0.00192068
           4    0.884919    0.888887  0.00184038
           5    0.876549    0.886419  0.00265309
           6    0.895411    0.887918  0.00259992
           7    0.907456    0.890709  0.00341235
           8    0.883926    0.889861  0.00308935
           9    0.866599    0.887276  0.00367144
          10    0.884721    0.887021  0.00331318
          11    0.878633    0.886258  0.00309849
          12    0.882444     0.88594  0.00285654
          13    0.886659    0.885996  0.00263734
          14    0.901933    0.887134  0.00268343
          15    0.883822    0.886913  0.00251361
          16     0.88519    0.886806  0.00235881
          17    0.865451    0.885549  0.00253255
          18    0.878676    0.885168  0.00242047
          19    0.887036    0.885266  0.00229507
          20    0.902682    0.886137  0.00233969
          21    0.871512     0.88544  0.00232962
          22    0.904099    0.886288  0.00237309
          23     0.88283    0.886138  0.00227467
          24    0.893213    0.886433  0.00219891
          25    0.889217    0.886544  0.00211377
          26    0.884346     0.88646  0.00203416
          27    0.892827    0.886696  0.00197244
          28    0.895357    0.887005   0.0019261
          29     0.90555    0.887644  0.00196298
          30    0.856466    0.886605  0.00215518
          31    0.867422    0.885986  0.00217267
          32    0.884503     0.88594  0.00210527
          33    0.875437    0.885622  0.00206539
          34    0.892486    0.885824  0.00201449
          35    0.905535    0.886387  0.00203414
          36    0.897104    0.886684   0.0019993
          37    0.880107    0.886507  0.00195315
          38    0.876075    0.886232  0.00192094
          39    0.888698    0.886295  0.00187273
          40    0.888889     0.88636  0.00182703
          41    0.894692    0.886563  0.00179374
          42    0.888899    0.886619  0.00175189
          43    0.862999     0.88607   0.0017952
          44    0.870987    0.885727  0.00178683
          45    0.884168    0.885692  0.00174746
          46    0.861969    0.885177  0.00178395
          47    0.887932    0.885235  0.00174695
          48    0.891144    0.885358  0.00171489
          49    0.869268     0.88503  0.00171105
          50    0.866069    0.884651  0.00171833
