#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -3.89897    -3.89897           0
           2    -3.89641    -3.89769 0.000907143
           3    -3.89466    -3.89668  0.00102206
           4     -3.8918    -3.89546  0.00130588
           5    -3.89164     -3.8947  0.00124788
           6    -3.89225    -3.89429  0.00110447
           7    -3.89304    -3.89411 0.000960924
           8    -3.89391    -3.89408 0.000841151
           9    -3.89502    -3.89419 0.000754043
          10    -3.89517    -3.89429 0.000685025
          11    -3.89594    -3.89444 0.000638976
          12     -3.8949    -3.89448 0.000586898
          13    -3.89399    -3.89444 0.000542916
          14    -3.89392     -3.8944 0.000505408
          15    -3.89391    -3.89437 0.000472783
          16    -3.89369    -3.89433 0.000445153
          17    -3.89272    -3.89423 0.000428888
          18    -3.89247    -3.89413 0.000416132
          19    -3.89335    -3.89409 0.000396253
          20    -3.89522    -3.89415 0.000380442
          21    -3.89639    -3.89426 0.000376994
          22    -3.89689    -3.89437 0.000378401
          23    -3.89578    -3.89444 0.000366823
          24    -3.89549    -3.89448 0.000354173
          25    -3.89589    -3.89454 0.000344489
          26    -3.89596    -3.89459 0.000335573
          27    -3.89566    -3.89463  0.00032545
          28    -3.89552    -3.89466  0.00031537
          29    -3.89539    -3.89469 0.000305488
          30    -3.89632    -3.89474  0.00030011
          31    -3.89592    -3.89478 0.000292806
          32    -3.89435    -3.89477 0.000283965
          33    -3.89367    -3.89473 0.000277284
          34    -3.89326    -3.89469 0.000272485
          35    -3.89328    -3.89465 0.000267661
          36    -3.89291     -3.8946 0.000264563
          37    -3.89338    -3.89457 0.000259447
          38    -3.89374    -3.89455 0.000253523
          39     -3.8945    -3.89455 0.000247026
          40    -3.89475    -3.89455   0.0002409
          41    -3.89462    -3.89455 0.000235031
          42    -3.89438    -3.89455 0.000229473
          43    -3.89274    -3.89451 0.000227948
          44    -3.89264    -3.89446 0.000226692
          45    -3.89272    -3.89442 0.000224932
          46    -3.89136    -3.89436 0.000229715
          47    -3.89127    -3.89429 0.000234061
          48    -3.89129    -3.89423 0.000237376
          49    -3.89296     -3.8942 0.000233941
          50    -3.89487    -3.89422 0.000229639
