#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1     -6.9167     -6.9167           0
           2    -6.92471     -6.9207  0.00283007
           3    -6.91824    -6.91988  0.00200264
           4    -6.91725    -6.91922  0.00160683
           5    -6.91703    -6.91878  0.00134395
           6    -6.91671    -6.91844  0.00116352
           7    -6.92448     -6.9193  0.00127809
           8    -6.92094    -6.91951  0.00113453
           9     -6.9221    -6.91979  0.00104442
          10      -6.915    -6.91932  0.00104412
          11    -6.91985    -6.91936 0.000950323
          12    -6.92187    -6.91957  0.00089376
          13    -6.91807    -6.91946 0.000832486
          14     -6.9228     -6.9197 0.000806491
          15    -6.91909    -6.91966 0.000753736
          16      -6.919    -6.91961 0.000707756
          17     -6.9218    -6.91974 0.000677747
          18    -6.91498    -6.91948 0.000689875
          19    -6.92023    -6.91952 0.000654706
          20    -6.91537    -6.91931 0.000653993
          21    -6.92272    -6.91947 0.000642659
          22    -6.91902    -6.91945 0.000613772
          23    -6.92105    -6.91952 0.000591005
          24    -6.91735    -6.91943 0.000573289
          25    -6.91932    -6.91943 0.000550376
          26    -6.91694    -6.91933 0.000537469
          27    -6.91538    -6.91918 0.000537106
          28    -6.91959     -6.9192 0.000518121
          29    -6.91796    -6.91916 0.000502001
          30    -6.91694    -6.91908 0.000490662
          31    -6.91904    -6.91908 0.000474836
          32    -6.91997    -6.91911 0.000460809
          33    -6.92009    -6.91914 0.000447803
          34    -6.91957    -6.91915 0.000434809
          35    -6.91987    -6.91917 0.000422865
          36     -6.9189    -6.91916 0.000411187
          37    -6.91532    -6.91906 0.000412984
          38    -6.92192    -6.91914 0.000408931
          39    -6.91718    -6.91909 0.000401498
          40     -6.9172    -6.91904 0.000394217
          41    -6.91472    -6.91893 0.000398432
          42    -6.92064    -6.91897 0.000391021
          43    -6.92701    -6.91916  0.00042428
          44    -6.91462    -6.91906 0.000427029
          45    -6.92118     -6.9191 0.000420139
          46    -6.91647    -6.91905   0.0004149
          47    -6.91678      -6.919 0.000408857
          48    -6.91893      -6.919 0.000400342
          49    -6.92193    -6.91906 0.000396619
          50    -6.91713    -6.91902 0.000390558
