#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1     2151.41     2151.41           0
           2     2133.63     2142.52     6.28511
           3     2149.82     2144.95     4.63738
           4     2155.19     2147.51     4.12381
           5     2150.14     2148.04     3.33234
           6        2152      2148.7     2.84174
           7     2139.22     2147.35     2.73935
           8     2147.91     2147.42     2.39785
           9      2143.1     2146.94     2.17881
          10     2150.54      2147.3     1.99056
          11     2148.12     2147.37     1.81102
          12     2145.72     2147.23     1.66533
          13     2148.08      2147.3     1.53849
          14     2144.54      2147.1      1.4412
          15     2148.95     2147.23     1.35036
          16     2148.42      2147.3     1.26802
          17     2145.31     2147.18     1.19879
          18     2156.62     2147.71     1.24164
          19      2144.7     2147.55     1.18631
          20     2156.86     2148.02     1.21487
          21     2145.94     2147.92     1.16102
          22     2153.69     2148.18     1.13752
          23     2147.78     2148.16      1.0882
          24     2152.57     2148.35     1.05827
          25     2150.19     2148.42     1.01851
          26     2149.68     2148.47     0.98049
          27     2149.89     2148.52    0.945596
          28     2141.89     2148.28    0.941013
          29        2145     2148.17    0.915352
          30     2153.99     2148.36    0.905152
          31     2155.26     2148.59    0.902853
          32     2151.78     2148.69    0.880128
          33     2143.75     2148.54    0.866087
          34      2149.9     2148.58    0.841541
          35     2156.58     2148.81    0.848013
          36     2147.94     2148.78    0.824797
          37     2156.67     2148.99    0.829622
          38     2146.35     2148.93    0.810697
          39     2152.33     2149.01    0.794607
          40     2153.36     2149.12    0.782134
          41      2160.4      2149.4    0.810002
          42     2149.17     2149.39    0.790734
          43     2137.38     2149.11    0.820173
          44     2158.59     2149.33    0.829345
          45     2146.87     2149.27    0.812716
          46     2159.19     2149.49    0.823156
          47     2154.37     2149.59    0.812158
          48     2155.22     2149.71    0.803666
          49     2141.77     2149.55    0.803442
          50     2154.49     2149.65     0.79342
