#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1    0.607298    0.607298           0
           2    0.611829    0.609564  0.00160181
           3    0.608222    0.609116  0.00112856
           4    0.607827    0.608794 0.000891287
           5    0.607433    0.608522 0.000753438
           6    0.607204    0.608302 0.000659115
           7    0.611533    0.608764  0.00070833
           8    0.609455     0.60885 0.000625042
           9    0.611052    0.609095 0.000601594
          10    0.606617    0.608847 0.000590258
          11    0.609029    0.608864  0.00053683
          12    0.610486    0.608999 0.000508835
          13    0.608299    0.608945 0.000472534
          14    0.610838     0.60908 0.000457725
          15    0.609282    0.609094 0.000427408
          16    0.608658    0.609066 0.000401561
          17    0.610726    0.609164 0.000389627
          18    0.605939    0.608985 0.000407102
          19    0.609752    0.609025 0.000387675
          20     0.60629    0.608888  0.00039167
          21    0.610846    0.608982 0.000383954
          22    0.607998    0.608937 0.000369095
          23    0.610011    0.608984 0.000355992
          24    0.608215    0.608952 0.000342597
          25    0.608603    0.608938 0.000329177
          26    0.606663     0.60885 0.000327939
          27    0.605968    0.608743  0.00033272
          28    0.609134    0.608757 0.000321129
          29    0.608415    0.608746 0.000310273
          30     0.60726    0.608696 0.000303855
          31    0.609615    0.608726 0.000295497
          32     0.60862    0.608722 0.000286281
          33    0.609206    0.608737 0.000277981
          34    0.608937    0.608743 0.000269867
          35    0.608574    0.608738   0.0002622
          36    0.608771    0.608739 0.000254918
          37    0.605772    0.608659 0.000260336
          38     0.61064    0.608711 0.000258652
          39    0.607208    0.608672 0.000254874
          40    0.607471    0.608642 0.000250266
          41     0.60635    0.608586 0.000250333
          42    0.609725    0.608614 0.000245836
          43    0.613841    0.608735   0.0002685
          44    0.605782    0.608668 0.000270655
          45    0.610459    0.608708  0.00026755
          46    0.606035     0.60865 0.000267967
          47    0.607127    0.608617 0.000264218
          48     0.60837    0.608612 0.000258764
          49    0.610459     0.60865 0.000256213
          50    0.607024    0.608617 0.000253144
