#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -6.00576    -6.00576           0
           2    -6.00696    -6.00636 0.000427364
           3     -6.0059    -6.00621 0.000310636
           4    -6.00551    -6.00603 0.000278236
           5    -6.00588      -6.006 0.000224223
           6    -6.00591    -6.00599 0.000187421
           7    -6.00718    -6.00616 0.000225617
           8    -6.00675    -6.00623 0.000209375
           9    -6.00552    -6.00615 0.000200443
          10    -6.00508    -6.00605  0.00020723
          11     -6.0063    -6.00607 0.000189722
          12    -6.00614    -6.00607 0.000174005
          13    -6.00562    -6.00604 0.000164119
          14    -6.00654    -6.00608 0.000156241
          15    -6.00517    -6.00601 0.000157135
          16    -6.00601    -6.00601 0.000147315
          17    -6.00572      -6.006 0.000139698
          18    -6.00607      -6.006 0.000131994
          19     -6.0056    -6.00598 0.000126694
          20    -6.00593    -6.00598  0.00012038
          21    -6.00645      -6.006 0.000116712
          22    -6.00703    -6.00605 0.000120356
          23    -6.00603    -6.00605 0.000115125
          24    -6.00502      -6.006 0.000117947
          25    -6.00641    -6.00602 0.000114357
          26    -6.00694    -6.00606 0.000115342
          27    -6.00643    -6.00607 0.000111898
          28    -6.00589    -6.00606 0.000108082
          29    -6.00534    -6.00604 0.000107174
          30    -6.00605    -6.00604 0.000103603
          31    -6.00462    -6.00599 0.000109912
          32    -6.00704    -6.00603  0.00011124
          33    -6.00628    -6.00603 0.000108139
          34    -6.00616    -6.00604 0.000105024
          35    -6.00701    -6.00606 0.000105606
          36    -6.00574    -6.00606 0.000103052
          37    -6.00666    -6.00607 0.000101566
          38    -6.00596    -6.00607 9.89337e-05
          39    -6.00637    -6.00608 9.66996e-05
          40    -6.00599    -6.00607 9.43044e-05
          41    -6.00519    -6.00605 9.44169e-05
          42    -6.00606    -6.00605 9.21689e-05
          43    -6.00625    -6.00606 9.01411e-05
          44    -6.00594    -6.00606  8.8131e-05
          45    -6.00549    -6.00604 8.70532e-05
          46    -6.00741    -6.00607 9.01195e-05
          47    -6.00609    -6.00607 8.82032e-05
          48    -6.00638    -6.00608 8.65914e-05
          49    -6.00624    -6.00608 8.48872e-05
          50    -6.00659    -6.00609 8.38006e-05
