#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     1.47398     1.47398           0
           2      1.4741     1.47404 4.16116e-05
           3     1.47437     1.47415 9.46195e-05
           4     1.47465     1.47427 0.000130459
           5     1.47478     1.47437 0.000137806
           6     1.47465     1.47442 0.000122366
           7     1.47439     1.47442 0.000104962
           8     1.47422     1.47439 9.46361e-05
           9     1.47422     1.47437 8.61095e-05
          10     1.47426     1.47436 7.82352e-05
          11      1.4743     1.47435 7.13413e-05
          12     1.47431     1.47435  6.5513e-05
          13     1.47432     1.47435 6.05081e-05
          14     1.47436     1.47435 5.61906e-05
          15     1.47442     1.47435 5.26406e-05
          16     1.47449     1.47436 5.00298e-05
          17     1.47459     1.47438 4.87705e-05
          18      1.4747     1.47439 4.92819e-05
          19     1.47484     1.47442 5.20766e-05
          20     1.47498     1.47445 5.65377e-05
          21     1.47507     1.47448  6.1149e-05
          22     1.47507      1.4745 6.40084e-05
          23     1.47495     1.47452 6.41354e-05
          24      1.4747     1.47453 6.18765e-05
          25     1.47436     1.47452 5.97559e-05
          26     1.47411     1.47451 5.95549e-05
          27     1.47404     1.47449 5.98181e-05
          28     1.47412     1.47448 5.91187e-05
          29     1.47427     1.47447 5.75079e-05
          30     1.47444     1.47447 5.55977e-05
          31     1.47459     1.47447 5.39362e-05
          32     1.47465     1.47448 5.25262e-05
          33     1.47461     1.47448   5.108e-05
          34     1.47451     1.47448 4.95839e-05
          35     1.47443     1.47448 4.81906e-05
          36     1.47445     1.47448 4.68616e-05
          37     1.47453     1.47448 4.56124e-05
          38     1.47462     1.47448 4.45616e-05
          39      1.4747     1.47449 4.37702e-05
          40     1.47478      1.4745 4.32823e-05
          41     1.47483     1.47451  4.3003e-05
          42     1.47481     1.47451 4.26004e-05
          43     1.47471     1.47452 4.18636e-05
          44     1.47457     1.47452 4.09306e-05
          45     1.47448     1.47452  4.0028e-05
          46     1.47449     1.47452 3.91611e-05
          47     1.47458     1.47452 3.83534e-05
          48     1.47466     1.47452 3.76706e-05
          49     1.47466     1.47452 3.70119e-05
          50     1.47458     1.47453 3.62858e-05
