#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -5.56493    -5.56493           0
           2     -5.5692    -5.56706  0.00151173
           3    -5.53381    -5.55598  0.00910706
           4    -5.46334    -5.53282   0.0211892
           5    -5.37954    -5.50216   0.0322361
           6    -5.30122    -5.46867   0.0406981
           7    -5.24097    -5.43614   0.0460859
           8    -5.20657    -5.40745   0.0484426
           9    -5.20591    -5.38505   0.0479571
          10    -5.23285    -5.36983   0.0455126
          11    -5.26895    -5.36066   0.0422891
          12    -5.29547    -5.35523   0.0391123
          13    -5.30924    -5.35169   0.0362633
          14    -5.31057    -5.34875   0.0337918
          15     -5.2973    -5.34532   0.0317126
          16    -5.26819     -5.3405   0.0300948
          17    -5.22603    -5.33377    0.029068
          18    -5.18203    -5.32534   0.0286495
          19    -5.15146    -5.31619   0.0285659
          20    -5.14668    -5.30771   0.0283671
          21    -5.16631    -5.30098    0.027804
          22    -5.19809     -5.2963   0.0269307
          23    -5.22764    -5.29332   0.0259248
          24    -5.25243    -5.29161   0.0249005
          25     -5.2744    -5.29092    0.023914
          26    -5.29545     -5.2911   0.0229948
          27    -5.31741    -5.29207   0.0221638
          28    -5.33929    -5.29376   0.0214363
          29    -5.35529    -5.29588   0.0208018
          30    -5.36385    -5.29815   0.0202314
          31    -5.36239    -5.30022   0.0196847
          32    -5.34636    -5.30166   0.0191222
          33    -5.31177    -5.30197   0.0185452
          34     -5.2611    -5.30077   0.0180387
          35    -5.20853    -5.29813   0.0177148
          36    -5.16709    -5.29449   0.0175927
          37    -5.14343    -5.29041   0.0175846
          38    -5.13653    -5.28636   0.0175819
          39    -5.14463    -5.28272   0.0175026
          40    -5.16313    -5.27973   0.0173185
          41    -5.18792    -5.27749   0.0170403
          42    -5.21524    -5.27601   0.0166989
          43    -5.23889    -5.27515   0.0163329
          44    -5.25319    -5.27465   0.0159693
          45    -5.24649    -5.27402   0.0156267
          46    -5.21103    -5.27265   0.0153469
          47    -5.15483    -5.27015   0.0152237
          48    -5.10066    -5.26662   0.0153105
          49    -5.08288    -5.26287   0.0154504
          50    -5.10742    -5.25976   0.0154511
