#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     -6.0138     -6.0138           0
           2    -6.01263    -6.01321 0.000414138
           3     -6.0068    -6.01107  0.00176794
           4    -6.00062    -6.00846  0.00262381
           5    -5.99894    -6.00655  0.00270336
           6     -5.9975    -6.00505  0.00264027
           7    -6.00025    -6.00436  0.00235028
           8    -6.00208    -6.00408  0.00207372
           9    -6.00335      -6.004  0.00184489
          10    -6.00408      -6.004  0.00166042
          11    -6.00449    -6.00405  0.00151005
          12    -6.00637    -6.00424  0.00139655
          13    -6.00688    -6.00444  0.00130377
          14    -6.00921    -6.00478  0.00125434
          15    -6.00813    -6.00501  0.00119042
          16     -6.0074    -6.00516   0.0011254
          17    -6.00736    -6.00529  0.00106662
          18     -6.0061    -6.00533  0.00100831
          19    -6.00589    -6.00536 0.000955666
          20    -6.00657    -6.00542 0.000909802
          21    -6.00541    -6.00542 0.000866478
          22    -6.00236    -6.00528 0.000838181
          23    -5.99982    -6.00504 0.000834761
          24     -6.0001    -6.00484 0.000825008
          25    -6.00428    -6.00482 0.000792315
          26    -6.00732    -6.00491 0.000767651
          27    -6.00634    -6.00497 0.000741046
          28    -6.00565    -6.00499  0.00071498
          29    -6.00669    -6.00505  0.00069273
          30    -6.00595    -6.00508  0.00067029
          31    -6.00588     -6.0051 0.000649164
          32    -6.00458    -6.00509 0.000629082
          33    -6.00437    -6.00507 0.000610395
          34    -6.00561    -6.00508  0.00059265
          35    -6.00753    -6.00515 0.000579839
          36    -6.00707    -6.00521 0.000566168
          37    -6.00809    -6.00528 0.000556193
          38    -6.00821    -6.00536 0.000546846
          39    -6.00755    -6.00542 0.000535711
          40    -6.00794    -6.00548 0.000526026
          41    -6.00747    -6.00553 0.000515429
          42    -6.00624    -6.00554 0.000503433
          43    -6.00635    -6.00556 0.000492074
          44     -6.0067    -6.00559  0.00048157
          45    -6.01059     -6.0057 0.000483543
          46    -6.01272    -6.00585 0.000496516
          47    -6.01118    -6.00597 0.000498739
          48    -6.01072    -6.00607 0.000498079
          49    -6.01099    -6.00617 0.000497933
          50    -6.01212    -6.00629 0.000502021
