#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1         1.8         1.8           0
           2         1.8         1.8 1.49012e-08
           3         1.8         1.8 2.98023e-08
           4         1.8         1.8 4.71216e-08
           5         1.8         1.8 7.23896e-08
           6         1.8         1.8 9.95891e-08
           7         1.8         1.8 1.29171e-07
           8         1.8         1.8 1.61696e-07
           9         1.8         1.8 1.96183e-07
          10         1.8         1.8 2.32859e-07
          11         1.8         1.8 2.71735e-07
          12         1.8         1.8 3.12214e-07
          13         1.8         1.8 3.54462e-07
          14         1.8         1.8 3.98529e-07
          15     1.80001         1.8 4.44211e-07
          16     1.80001         1.8 4.91512e-07
          17     1.80001         1.8 5.40323e-07
          18     1.80001         1.8 5.90662e-07
          19     1.80001         1.8 6.42489e-07
          20     1.80001         1.8  6.9571e-07
          21     1.80001         1.8 7.50305e-07
          22     1.80001         1.8 8.06279e-07
          23     1.80001         1.8 8.63552e-07
          24     1.80001         1.8 9.22128e-07
          25     1.80002     1.80001 9.81958e-07
          26     1.80002     1.80001   1.043e-06
          27     1.80002     1.80001 1.10526e-06
          28     1.80002     1.80001  1.1687e-06
          29     1.80002     1.80001 1.23329e-06
          30     1.80002     1.80001 1.29903e-06
          31     1.80002     1.80001 1.36588e-06
          32     1.80003     1.80001 1.43384e-06
          33     1.80003     1.80001 1.50287e-06
          34     1.80003     1.80001 1.57299e-06
          35     1.80003     1.80001 1.64414e-06
          36     1.80003     1.80001 1.71633e-06
          37     1.80004     1.80001 1.78953e-06
          38     1.80004     1.80001 1.86375e-06
          39     1.80004     1.80001 1.93896e-06
          40     1.80004     1.80001 2.01516e-06
          41     1.80004     1.80001 2.09231e-06
          42     1.80005     1.80002 2.17043e-06
          43     1.80005     1.80002 2.24948e-06
          44     1.80005     1.80002 2.32947e-06
          45     1.80005     1.80002 2.41038e-06
          46     1.80006     1.80002  2.4922e-06
          47     1.80006     1.80002 2.57493e-06
          48     1.80006     1.80002 2.65854e-06
          49     1.80006     1.80002 2.74303e-06
          50     1.80007     1.80002  2.8284e-06
          51     1.80007     1.80002 2.91463e-06
          52     1.80007     1.80002 3.00172e-06
          53     1.80007     1.80002 3.08965e-06
          54     1.80008     1.80003 3.17842e-06
          55     1.80008     1.80003 3.26802e-06
          56     1.80008     1.80003 3.35846e-06
          57     1.80009     1.80003  3.4497e-06
          58     1.80009     1.80003 3.54176e-06
          59     1.80009     1.80003 3.63461e-06
          60      1.8001     1.80003 3.72827e-06
          61      1.8001     1.80003 3.82271e-06
          62      1.8001     1.80003 3.91794e-06
          63     1.80011     1.80004 4.01394e-06
          64     1.80011     1.80004 4.11072e-06
          65     1.80011     1.80004 4.20826e-06
          66     1.80012     1.80004 4.30656e-06
          67     1.80012     1.80004 4.40561e-06
          68     1.80012     1.80004 4.50542e-06
          69     1.80013     1.80004 4.60597e-06
          70     1.80013     1.80004 4.70725e-06
          71     1.80013     1.80004 4.80927e-06
          72     1.80014     1.80005 4.91201e-06
          73     1.80014     1.80005 5.01549e-06
          74     1.80015     1.80005 5.11967e-06
          75     1.80015     1.80005 5.22458e-06
          76     1.80015     1.80005 5.33019e-06
          77     1.80016     1.80005 5.43651e-06
          78     1.80016     1.80005 5.54353e-06
          79     1.80017     1.80006 5.65124e-06
          80     1.80017     1.80006 5.75965e-06
          81     1.80017     1.80006 5.86875e-06
          82     1.80018     1.80006 5.97853e-06
          83     1.80018     1.80006 6.08899e-06
          84     1.80019     1.80006 6.20013e-06
          85     1.80019     1.80006 6.31194e-06
          86      1.8002     1.80007 6.42443e-06
          87      1.8002     1.80007 6.53758e-06
          88     1.80021     1.80007 6.65139e-06
          89     1.80021     1.80007 6.76587e-06
          90     1.80022     1.80007   6.881e-06
          91     1.80022     1.80007 6.99678e-06
          92     1.80023     1.80008 7.11321e-06
          93     1.80023     1.80008 7.23029e-06
          94     1.80024     1.80008 7.34802e-06
          95     1.80024     1.80008 7.46638e-06
          96     1.80025     1.80008 7.58539e-06
          97     1.80025     1.80008 7.70503e-06
          98     1.80026     1.80009  7.8253e-06
          99     1.80026     1.80009  7.9462e-06
         100     1.80027     1.80009 8.06772e-06
         101     1.80027     1.80009 8.18988e-06
         102     1.80028     1.80009 8.31265e-06
         103     1.80028      1.8001 8.43604e-06
         104     1.80029      1.8001 8.56005e-06
         105      1.8003      1.8001 8.68468e-06
         106      1.8003      1.8001 8.80991e-06
         107     1.80031      1.8001 8.93576e-06
         108     1.80031      1.8001 9.06222e-06
         109     1.80032     1.80011  9.1893e-06
         110     1.80032     1.80011 9.31699e-06
         111     1.80033     1.80011 9.44531e-06
         112     1.80034     1.80011 9.57424e-06
         113     1.80034     1.80011 9.70381e-06
         114     1.80035     1.80012   9.834e-06
         115     1.80036     1.80012 9.96481e-06
         116     1.80036     1.80012 1.00963e-05
         117     1.80037     1.80012 1.02283e-05
         118     1.80037     1.80013  1.0361e-05
         119     1.80038     1.80013 1.04942e-05
         120     1.80039     1.80013 1.06281e-05
         121     1.80039     1.80013 1.07626e-05
         122      1.8004     1.80013 1.08977e-05
         123     1.80041     1.80014 1.10335e-05
         124     1.80041     1.80014 1.11698e-05
         125     1.80042     1.80014 1.13067e-05
         126     1.80043     1.80014 1.14442e-05
         127     1.80043     1.80015 1.15824e-05
         128     1.80044     1.80015 1.17211e-05
         129     1.80045     1.80015 1.18605e-05
         130     1.80046     1.80015 1.20005e-05
         131     1.80046     1.80015  1.2141e-05
         132     1.80047     1.80016 1.22821e-05
         133     1.80048     1.80016 1.24239e-05
         134     1.80048     1.80016 1.25662e-05
         135     1.80049     1.80016 1.27091e-05
         136      1.8005     1.80017 1.28526e-05
         137     1.80051     1.80017 1.29967e-05
         138     1.80051     1.80017 1.31413e-05
         139     1.80052     1.80017 1.32866e-05
         140     1.80053     1.80018 1.34324e-05
         141     1.80054     1.80018 1.35788e-05
         142     1.80055     1.80018 1.37258e-05
         143     1.80055     1.80018 1.38733e-05
         144     1.80056     1.80019 1.40215e-05
         145     1.80057     1.80019 1.41703e-05
