#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1  -0.0318372  -0.0318372           0
           2  -0.0318373  -0.0318373 2.91401e-08
           3  -0.0318375  -0.0318373 5.23291e-08
           4  -0.0318376  -0.0318374 7.79767e-08
           5  -0.0318379  -0.0318375   1.062e-07
           6  -0.0318382  -0.0318376 1.36873e-07
           7  -0.0318386  -0.0318378 1.69847e-07
           8   -0.031839  -0.0318379 2.04987e-07
           9  -0.0318394  -0.0318381 2.42177e-07
          10    -0.03184  -0.0318383 2.81313e-07
          11  -0.0318405  -0.0318385 3.22306e-07
          12  -0.0318412  -0.0318387 3.65076e-07
          13  -0.0318418  -0.0318389 4.09553e-07
          14  -0.0318426  -0.0318392 4.55674e-07
          15  -0.0318434  -0.0318395 5.03384e-07
          16  -0.0318442  -0.0318398 5.52629e-07
          17  -0.0318451  -0.0318401 6.03365e-07
          18  -0.0318461  -0.0318404 6.55547e-07
          19  -0.0318471  -0.0318408 7.09138e-07
          20  -0.0318482  -0.0318411 7.64099e-07
          21  -0.0318493  -0.0318415 8.20398e-07
          22  -0.0318505  -0.0318419 8.78003e-07
          23  -0.0318517  -0.0318424 9.36885e-07
          24   -0.031853  -0.0318428 9.97016e-07
          25  -0.0318543  -0.0318433 1.05837e-06
          26  -0.0318557  -0.0318437 1.12093e-06
          27  -0.0318572  -0.0318442 1.18466e-06
          28  -0.0318587  -0.0318448 1.24954e-06
          29  -0.0318602  -0.0318453 1.31556e-06
          30  -0.0318619  -0.0318458  1.3827e-06
          31  -0.0318635  -0.0318464 1.45093e-06
          32  -0.0318652   -0.031847 1.52024e-06
          33   -0.031867  -0.0318476 1.59061e-06
          34  -0.0318689  -0.0318482 1.66203e-06
          35  -0.0318707  -0.0318489 1.73448e-06
          36  -0.0318727  -0.0318495 1.80795e-06
          37  -0.0318747  -0.0318502 1.88242e-06
          38  -0.0318767  -0.0318509 1.95788e-06
          39  -0.0318788  -0.0318516 2.03431e-06
          40   -0.031881  -0.0318524 2.11171e-06
          41  -0.0318832  -0.0318531 2.19006e-06
          42  -0.0318855  -0.0318539 2.26935e-06
          43  -0.0318878  -0.0318547 2.34957e-06
          44  -0.0318902  -0.0318555 2.43071e-06
          45  -0.0318926  -0.0318563 2.51275e-06
          46  -0.0318951  -0.0318572  2.5957e-06
          47  -0.0318976   -0.031858 2.67953e-06
          48  -0.0319002  -0.0318589 2.76425e-06
          49  -0.0319029  -0.0318598 2.84983e-06
          50  -0.0319056  -0.0318607 2.93628e-06
          51  -0.0319083  -0.0318616 3.02358e-06
          52  -0.0319111  -0.0318626 3.11172e-06
          53   -0.031914  -0.0318636  3.2007e-06
