#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1         1.2         1.2           0
           2         1.2         1.2           0
           3         1.2         1.2 1.92373e-08
           4         1.2         1.2 3.24763e-08
           5         1.2         1.2 4.85147e-08
           6         1.2         1.2 6.60824e-08
           7         1.2         1.2 8.57857e-08
           8         1.2         1.2 1.07712e-07
           9         1.2         1.2 1.30757e-07
          10         1.2         1.2 1.55358e-07
          11         1.2         1.2 1.81169e-07
          12         1.2         1.2 2.08128e-07
          13         1.2         1.2 2.36296e-07
          14         1.2         1.2 2.65666e-07
          15         1.2         1.2 2.96155e-07
          16         1.2         1.2  3.2772e-07
          17         1.2         1.2 3.60284e-07
          18     1.20001         1.2 3.93841e-07
          19     1.20001         1.2 4.28372e-07
          20     1.20001         1.2 4.63867e-07
          21     1.20001         1.2 5.00265e-07
          22     1.20001         1.2 5.37551e-07
          23     1.20001         1.2 5.75738e-07
          24     1.20001         1.2 6.14774e-07
          25     1.20001         1.2 6.54655e-07
          26     1.20001         1.2 6.95349e-07
          27     1.20001         1.2 7.36845e-07
          28     1.20001         1.2 7.79137e-07
          29     1.20001         1.2 8.22194e-07
          30     1.20002     1.20001 8.66017e-07
          31     1.20002     1.20001 9.10593e-07
          32     1.20002     1.20001 9.55891e-07
          33     1.20002     1.20001 1.00192e-06
          34     1.20002     1.20001 1.04865e-06
          35     1.20002     1.20001 1.09609e-06
          36     1.20002     1.20001 1.14422e-06
          37     1.20002     1.20001 1.19303e-06
          38     1.20002     1.20001  1.2425e-06
          39     1.20003     1.20001 1.29265e-06
          40     1.20003     1.20001 1.34344e-06
          41     1.20003     1.20001 1.39488e-06
          42     1.20003     1.20001 1.44695e-06
          43     1.20003     1.20001 1.49966e-06
          44     1.20003     1.20001 1.55298e-06
          45     1.20004     1.20001 1.60692e-06
          46     1.20004     1.20001 1.66147e-06
          47     1.20004     1.20001 1.71661e-06
          48     1.20004     1.20001 1.77235e-06
          49     1.20004     1.20001 1.82868e-06
          50     1.20004     1.20001  1.8856e-06
          51     1.20005     1.20002 1.94308e-06
          52     1.20005     1.20002 2.00114e-06
          53     1.20005     1.20002 2.05976e-06
          54     1.20005     1.20002 2.11894e-06
          55     1.20005     1.20002 2.17868e-06
          56     1.20006     1.20002 2.23897e-06
          57     1.20006     1.20002  2.2998e-06
          58     1.20006     1.20002 2.36117e-06
          59     1.20006     1.20002 2.42307e-06
          60     1.20006     1.20002 2.48551e-06
          61     1.20007     1.20002 2.54847e-06
          62     1.20007     1.20002 2.61196e-06
          63     1.20007     1.20002 2.67596e-06
          64     1.20007     1.20002 2.74048e-06
          65     1.20007     1.20003  2.8055e-06
          66     1.20008     1.20003 2.87104e-06
          67     1.20008     1.20003 2.93707e-06
          68     1.20008     1.20003 3.00361e-06
          69     1.20008     1.20003 3.07064e-06
          70     1.20009     1.20003 3.13816e-06
          71     1.20009     1.20003 3.20618e-06
          72     1.20009     1.20003 3.27467e-06
          73     1.20009     1.20003 3.34365e-06
          74      1.2001     1.20003 3.41311e-06
          75      1.2001     1.20003 3.48305e-06
          76      1.2001     1.20003 3.55346e-06
          77     1.20011     1.20004 3.62433e-06
          78     1.20011     1.20004 3.69568e-06
          79     1.20011     1.20004 3.76749e-06
