#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1        1.65        1.65           0
           2     1.64999     1.64999 5.25857e-06
           3     1.64994     1.64998 1.45844e-05
           4     1.64987     1.64995 2.59927e-05
           5     1.64976     1.64991 3.91636e-05
           6     1.64963     1.64986 5.38884e-05
           7     1.64947     1.64981 7.00197e-05
           8     1.64927     1.64974 8.74465e-05
           9     1.64905     1.64966 0.000106082
          10      1.6488     1.64958 0.000125855
          11     1.64852     1.64948  0.00014671
          12     1.64821     1.64937 0.000168596
          13     1.64787     1.64926 0.000191474
          14     1.64749     1.64913 0.000215308
          15     1.64709       1.649 0.000240069
          16     1.64666     1.64885 0.000265729
          17      1.6462     1.64869 0.000292268
          18     1.64571     1.64853 0.000319664
          19     1.64519     1.64835 0.000347901
          20     1.64463     1.64817 0.000376964
          21     1.64405     1.64797  0.00040684
          22     1.64343     1.64776 0.000437518
          23     1.64279     1.64755 0.000468989
          24     1.64211     1.64732 0.000501244
          25      1.6414     1.64708 0.000534276
          26     1.64066     1.64684  0.00056808
          27     1.63988     1.64658 0.000602651
          28     1.63907     1.64631 0.000637985
          29     1.63823     1.64603  0.00067408
          30     1.63736     1.64574 0.000710933
          31     1.63645     1.64544 0.000748544
          32     1.63551     1.64513 0.000786911
          33     1.63453     1.64481 0.000826036
          34     1.63352     1.64448 0.000865914
          35     1.63248     1.64414 0.000906542
          36      1.6314     1.64378 0.000947921
          37     1.63028     1.64342 0.000990051
          38     1.62913     1.64304  0.00103294
          39     1.62794     1.64266  0.00107659
          40     1.62671     1.64226    0.001121
          41     1.62545     1.64185   0.0011662
          42     1.62415     1.64143  0.00121216
          43     1.62281     1.64099   0.0012589
          44     1.62143     1.64055  0.00130641
          45     1.62002     1.64009   0.0013547
          46     1.61856     1.63962  0.00140378
          47     1.61706     1.63914  0.00145366
          48     1.61553     1.63865  0.00150433
          49     1.61395     1.63815  0.00155581
          50     1.61233     1.63763   0.0016081
          51     1.61067      1.6371  0.00166122
          52     1.60896     1.63656  0.00171517
          53     1.60721     1.63601  0.00176996
          54     1.60541     1.63544   0.0018256
          55     1.60358     1.63486   0.0018821
          56     1.60169     1.63427  0.00193947
          57     1.59976     1.63366  0.00199772
          58     1.59778     1.63305  0.00205685
          59     1.59575     1.63241  0.00211688
          60     1.59368     1.63177  0.00217781
          61     1.59156     1.63111  0.00223966
          62     1.58938     1.63044  0.00230244
          63     1.58716     1.62975  0.00236615
          64     1.58488     1.62905   0.0024308
          65     1.58256     1.62833   0.0024964
          66     1.58018      1.6276  0.00256297
          67     1.57775     1.62686  0.00263051
          68     1.57526      1.6261  0.00269903
          69     1.57273     1.62533  0.00276855
          70     1.57013     1.62454  0.00283907
          71     1.56748     1.62373   0.0029106
          72     1.56477     1.62292  0.00298316
          73     1.56201     1.62208  0.00305675
          74     1.55918     1.62123  0.00313139
          75      1.5563     1.62037  0.00320708
          76     1.55336     1.61948  0.00328384
          77     1.55035     1.61859  0.00336168
          78     1.54729     1.61767   0.0034406
          79     1.54417     1.61674   0.0035206
          80     1.54098     1.61579  0.00360171
          81     1.53773     1.61483  0.00368392
          82     1.53442     1.61385  0.00376725
          83     1.53104     1.61285  0.00385171
          84      1.5276     1.61184   0.0039373
          85     1.52409      1.6108  0.00402403
          86     1.52052     1.60976  0.00411192
          87     1.51687     1.60869  0.00420097
          88     1.51316      1.6076  0.00429118
          89     1.50938      1.6065  0.00438258
          90     1.50553     1.60538  0.00447516
          91     1.50162     1.60424  0.00456893
          92     1.49763     1.60308   0.0046639
          93     1.49357      1.6019  0.00476007
          94     1.48944      1.6007  0.00485746
