#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -6.36473    -6.36473           0
           2    -6.36469    -6.36471 1.57625e-05
           3    -6.36461    -6.36468 2.82944e-05
           4    -6.36451    -6.36464  4.2147e-05
           5    -6.36438    -6.36458 5.73848e-05
           6    -6.36421    -6.36452 7.39407e-05
           7    -6.36402    -6.36445 9.17376e-05
           8     -6.3638    -6.36437 0.000110706
           9    -6.36355    -6.36428 0.000130785
          10    -6.36326    -6.36418 0.000151925
          11    -6.36295    -6.36406  0.00017408
          12    -6.36261    -6.36394 0.000197213
          13    -6.36224    -6.36381 0.000221291
          14    -6.36184    -6.36367 0.000246286
          15    -6.36141    -6.36352 0.000272173
          16    -6.36095    -6.36336 0.000298931
          17    -6.36046    -6.36319 0.000326541
          18    -6.35993    -6.36301 0.000354987
          19    -6.35938    -6.36282 0.000384255
          20     -6.3588    -6.36262 0.000414331
          21    -6.35818     -6.3624 0.000445207
          22    -6.35753    -6.36218 0.000476871
          23    -6.35685    -6.36195 0.000509318
          24    -6.35614    -6.36171 0.000542539
          25     -6.3554    -6.36146 0.000576531
          26    -6.35463    -6.36119 0.000611287
          27    -6.35382    -6.36092 0.000646806
          28    -6.35298    -6.36064 0.000683084
          29     -6.3521    -6.36034  0.00072012
          30     -6.3512    -6.36004 0.000757912
          31    -6.35026    -6.35972 0.000796461
          32    -6.34928     -6.3594 0.000835766
          33    -6.34812    -6.35906 0.000877544
          34    -6.34707     -6.3587 0.000919775
          35    -6.34584    -6.35834 0.000964102
          36    -6.34473    -6.35796  0.00100871
          37    -6.34357    -6.35757  0.00105369
          38    -6.34239    -6.35717   0.0010991
          39    -6.34116    -6.35676  0.00114501
          40     -6.3399    -6.35634  0.00119146
          41    -6.33829     -6.3559  0.00124103
          42    -6.33665    -6.35544   0.0012933
          43    -6.33528    -6.35497  0.00134555
          44    -6.33386    -6.35449   0.0013979
          45    -6.33225      -6.354  0.00145156
          46    -6.33045    -6.35348  0.00150754
          47    -6.32861    -6.35295  0.00156558
          48    -6.32704    -6.35241  0.00162341
          49    -6.32542    -6.35186  0.00168119
          50    -6.32375     -6.3513  0.00173904
          51    -6.32174    -6.35072  0.00179893
          52    -6.31999    -6.35013  0.00185886
          53     -6.3179    -6.34952  0.00192071
          54    -6.31591     -6.3489  0.00198347
          55    -6.31402    -6.34827  0.00204628
          56    -6.31194    -6.34762  0.00211006
          57    -6.30981    -6.34695  0.00217481
          58    -6.30748    -6.34627  0.00224128
          59    -6.30525    -6.34558  0.00230861
          60    -6.30298    -6.34487  0.00237679
          61    -6.30081    -6.34415  0.00244513
          62    -6.29813     -6.3434  0.00251581
          63    -6.29555    -6.34264  0.00258799
          64    -6.29308    -6.34187  0.00266092
          65     -6.2904    -6.34108  0.00273528
          66    -6.28766    -6.34027  0.00281102
          67    -6.28503    -6.33944  0.00288745
          68    -6.28219     -6.3386  0.00296522
          69    -6.27959    -6.33775  0.00304308
          70    -6.27649    -6.33687  0.00312291
          71    -6.27348    -6.33598  0.00320403
          72    -6.27041    -6.33507  0.00328641
          73    -6.26759    -6.33414  0.00336889
          74     -6.2644     -6.3332  0.00345268
          75    -6.26116    -6.33224  0.00353775
          76     -6.2577    -6.33126   0.0036246
          77    -6.25434    -6.33026  0.00371265
          78    -6.25106    -6.32925  0.00380137
          79    -6.24772    -6.32821   0.0038908
          80    -6.24387    -6.32716  0.00398244
          81    -6.24025    -6.32609  0.00407524
          82    -6.23657    -6.32499  0.00416918
          83    -6.23313    -6.32389  0.00426332
          84    -6.22932    -6.32276  0.00435868
          85    -6.22529    -6.32162  0.00445569
          86     -6.2215    -6.32045  0.00455341
          87    -6.21718    -6.31926  0.00465321
          88    -6.21341    -6.31806  0.00475328
          89     -6.2091    -6.31684  0.00485497
          90    -6.20488    -6.31559  0.00495782
          91    -6.20074    -6.31433  0.00506143
          92    -6.19638    -6.31305  0.00516623
          93    -6.19225    -6.31175  0.00527144
          94    -6.18805    -6.31043  0.00537711
          95    -6.18362     -6.3091   0.0054837
          96    -6.17912    -6.30775  0.00559122
          97     -6.1747    -6.30637  0.00569933
          98    -6.16991    -6.30498   0.0058088
          99    -6.16519    -6.30357  0.00591926
         100    -6.16025    -6.30214  0.00603108
         101    -6.15538    -6.30068   0.0061439
         102    -6.15014    -6.29921  0.00625842
         103    -6.14528    -6.29771  0.00637358
         104     -6.1399     -6.2962  0.00649043
         105    -6.13474    -6.29466  0.00660826
         106     -6.1295     -6.2931  0.00672709
         107    -6.12374    -6.29152  0.00684789
         108    -6.11821    -6.28991  0.00696995
         109    -6.11261    -6.28829  0.00709328
         110    -6.10693    -6.28664  0.00721785
         111    -6.10133    -6.28497  0.00734334
         112    -6.09566    -6.28328  0.00746976
         113    -6.08977    -6.28156  0.00759741
         114    -6.08381    -6.27983  0.00772627
         115    -6.07777    -6.27807  0.00785633
         116    -6.07182     -6.2763  0.00798726
         117     -6.0658     -6.2745  0.00811908
         118    -6.05972    -6.27268  0.00825178
         119    -6.05356    -6.27083  0.00838536
         120    -6.04749    -6.26897  0.00851953
         121    -6.04121    -6.26709  0.00865457
         122    -6.03486    -6.26519  0.00879047
         123    -6.02845    -6.26326  0.00892722
         124    -6.02213    -6.26132  0.00906454
         125    -6.01576    -6.25935  0.00920244
         126    -6.00932    -6.25737  0.00934091
         127    -6.00268    -6.25536  0.00948019
         128    -5.99674    -6.25334  0.00961904
         129    -5.98999     -6.2513  0.00975871
         130     -5.9835    -6.24924  0.00989869
         131    -5.97665    -6.24716   0.0100395
         132    -5.96976    -6.24506    0.010181
         133    -5.96312    -6.24294   0.0103228
         134     -5.9563     -6.2408    0.010465
         135    -5.94943    -6.23864   0.0106077
         136    -5.94268    -6.23647   0.0107506
         137    -5.93559    -6.23427   0.0108942
         138    -5.92832    -6.23205   0.0110385
         139    -5.92147    -6.22982    0.011183
         140    -5.91474    -6.22757   0.0113273
         141    -5.90754     -6.2253   0.0114721
         142    -5.90001    -6.22301   0.0116178
         143    -5.89277     -6.2207   0.0117638
         144     -5.8855    -6.21837   0.0119102
         145    -5.87853    -6.21603   0.0120565
         146    -5.87124    -6.21366    0.012203
         147     -5.8644    -6.21129   0.0123491
         148     -5.8574     -6.2089    0.012495
         149    -5.84979    -6.20649   0.0126414
         150    -5.84264    -6.20406   0.0127878
         151    -5.83579    -6.20162   0.0129336
         152     -5.8288    -6.19917    0.013079
         153    -5.82181     -6.1967    0.013224
         154    -5.81454    -6.19422    0.013369
         155    -5.80758    -6.19173   0.0135134
         156    -5.80063    -6.18922   0.0136574
         157    -5.79341     -6.1867   0.0138011
         158     -5.7859    -6.18416    0.013945
         159    -5.77918    -6.18162   0.0140879
         160    -5.77202    -6.17906   0.0142306
         161    -5.76536    -6.17649   0.0143723
         162    -5.75827     -6.1739   0.0145136
         163    -5.75137    -6.17131   0.0146542
         164    -5.74481    -6.16871   0.0147938
         165    -5.73798     -6.1661   0.0149327
         166     -5.7312    -6.16348   0.0150708
         167    -5.72417    -6.16085   0.0152084
         168    -5.71748    -6.15821   0.0153452
         169    -5.71084    -6.15556    0.015481
