#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1         1.1         1.1           0
           2     1.09999         1.1  3.5057e-06
           3     1.09996     1.09998 9.72295e-06
           4     1.09991     1.09997 1.73284e-05
           5     1.09984     1.09994  2.6109e-05
           6     1.09975     1.09991 3.59256e-05
           7     1.09964     1.09987 4.66798e-05
           8     1.09952     1.09983 5.82977e-05
           9     1.09937     1.09978 7.07212e-05
          10      1.0992     1.09972 8.39037e-05
          11     1.09901     1.09965 9.78065e-05
          12      1.0988     1.09958 0.000112398
          13     1.09858     1.09951 0.000127649
          14     1.09833     1.09942 0.000143539
          15     1.09806     1.09933 0.000160046
          16     1.09777     1.09923 0.000177153
          17     1.09747     1.09913 0.000194845
          18     1.09714     1.09902 0.000213109
          19     1.09679      1.0989 0.000231934
          20     1.09642     1.09878 0.000251309
          21     1.09603     1.09865 0.000271227
          22     1.09562     1.09851 0.000291679
          23     1.09519     1.09837 0.000312659
          24     1.09474     1.09821 0.000334162
          25     1.09427     1.09806 0.000356184
          26     1.09377     1.09789  0.00037872
          27     1.09325     1.09772 0.000401767
          28     1.09272     1.09754 0.000425323
          29     1.09215     1.09736 0.000449386
          30     1.09157     1.09716 0.000473955
          31     1.09097     1.09696 0.000499029
          32     1.09034     1.09676 0.000524607
          33     1.08969     1.09654 0.000550691
          34     1.08901     1.09632 0.000577276
          35     1.08832     1.09609 0.000604361
          36      1.0876     1.09586 0.000631947
          37     1.08685     1.09561 0.000660034
          38     1.08609     1.09536 0.000688625
          39     1.08529      1.0951 0.000717724
          40     1.08448     1.09484 0.000747336
          41     1.08363     1.09456 0.000777464
          42     1.08277     1.09428 0.000808107
          43     1.08187       1.094 0.000839264
          44     1.08096      1.0937 0.000870937
          45     1.08001     1.09339 0.000903133
          46     1.07904     1.09308 0.000935855
          47     1.07804     1.09276 0.000969107
          48     1.07702     1.09243  0.00100289
          49     1.07597      1.0921  0.00103721
          50     1.07489     1.09175  0.00107207
          51     1.07378      1.0914  0.00110748
          52     1.07264     1.09104  0.00114345
          53     1.07147     1.09067  0.00117997
          54     1.07028     1.09029  0.00121707
          55     1.06905     1.08991  0.00125474
          56     1.06779     1.08951  0.00129298
          57     1.06651     1.08911  0.00133181
          58     1.06519      1.0887  0.00137123
          59     1.06384     1.08828  0.00141125
          60     1.06245     1.08785  0.00145188
          61     1.06104     1.08741  0.00149311
          62     1.05959     1.08696  0.00153496
          63     1.05811      1.0865  0.00157743
          64     1.05659     1.08603  0.00162053
          65     1.05504     1.08555  0.00166427
          66     1.05345     1.08507  0.00170865
          67     1.05183     1.08457  0.00175367
          68     1.05018     1.08407  0.00179936
          69     1.04848     1.08355   0.0018457
          70     1.04675     1.08303  0.00189271
          71     1.04499     1.08249   0.0019404
          72     1.04318     1.08194  0.00198877
          73     1.04134     1.08139  0.00203783
          74     1.03946     1.08082  0.00208759
          75     1.03753     1.08024  0.00213805
          76     1.03557     1.07966  0.00218923
          77     1.03357     1.07906  0.00224112
          78     1.03153     1.07845  0.00229373
          79     1.02945     1.07783  0.00234707
          80     1.02732      1.0772  0.00240114
          81     1.02515     1.07655  0.00245595
          82     1.02295      1.0759   0.0025115
          83     1.02069     1.07523   0.0025678
          84      1.0184     1.07456  0.00262486
          85     1.01606     1.07387  0.00268269
          86     1.01368     1.07317  0.00274128
          87     1.01125     1.07246  0.00280064
          88     1.00877     1.07173  0.00286079
          89     1.00626       1.071  0.00292172
          90     1.00369     1.07025  0.00298344
          91     1.00108     1.06949  0.00304595
          92    0.998419     1.06872  0.00310927
          93    0.995712     1.06793  0.00317338
          94    0.992958     1.06714  0.00323831
          95    0.990156     1.06633  0.00330405
          96    0.987306      1.0655   0.0033706
          97    0.984407     1.06467  0.00343797
          98     0.98146     1.06382  0.00350617
          99    0.978464     1.06296  0.00357518
         100     0.97542     1.06208  0.00364501
         101    0.972327     1.06119  0.00371567
         102    0.969185     1.06029  0.00378715
         103    0.965993     1.05937  0.00385945
         104    0.962753     1.05844  0.00393257
         105    0.959464      1.0575  0.00400651
         106    0.956125     1.05655  0.00408126
         107    0.952737     1.05558  0.00415683
         108      0.9493     1.05459  0.00423321
         109    0.945814     1.05359   0.0043104
         110     0.94228     1.05258  0.00438839
         111    0.938697     1.05156  0.00446718
         112    0.935065     1.05052  0.00454677
         113    0.931386     1.04946  0.00462714
         114    0.927658     1.04839  0.00470829
         115    0.923884     1.04731  0.00479022
         116    0.920063     1.04621   0.0048729
         117    0.916196      1.0451  0.00495635
         118    0.912284     1.04398  0.00504053
         119    0.908326     1.04284  0.00512545
         120    0.904324     1.04168  0.00521109
         121    0.900279     1.04051  0.00529744
         122     0.89619     1.03933  0.00538448
         123    0.892059     1.03813  0.00547221
         124    0.887887     1.03692   0.0055606
         125    0.883675      1.0357  0.00564965
         126    0.879423     1.03446  0.00573933
         127    0.875133      1.0332  0.00582963
         128    0.870805     1.03193  0.00592054
         129    0.866442     1.03065  0.00601202
         130    0.862044     1.02935  0.00610407
         131    0.857614     1.02804  0.00619665
         132     0.85315     1.02672  0.00628976
         133    0.848656     1.02538  0.00638336
         134    0.844133     1.02402  0.00647744
         135    0.839582     1.02266  0.00657196
         136    0.835005     1.02128  0.00666691
         137    0.830403     1.01989  0.00676226
         138    0.825778     1.01848  0.00685799
         139    0.821131     1.01706  0.00695406
         140    0.816464     1.01563  0.00705046
         141    0.811779     1.01418  0.00714714
         142    0.807077     1.01272  0.00724409
         143    0.802361     1.01125  0.00734128
         144    0.797631     1.00977  0.00743867
         145    0.792891     1.00827  0.00753624
         146    0.788141     1.00676  0.00763396
         147    0.783383     1.00524  0.00773179
         148     0.77862     1.00371  0.00782971
         149    0.773853     1.00217  0.00792768
         150    0.769085     1.00062  0.00802568
         151    0.764316    0.999052  0.00812366
         152    0.759548    0.997476  0.00822161
         153    0.754785     0.99589  0.00831948
         154    0.750028    0.994293  0.00841725
         155    0.745278    0.992687  0.00851488
         156    0.740538    0.991071  0.00861234
         157    0.735809    0.989445  0.00870961
         158    0.731092    0.987809  0.00880664
         159    0.726391    0.986165   0.0089034
         160    0.721706    0.984512  0.00899987
         161    0.717039    0.982851  0.00909601
         162    0.712393    0.981182   0.0091918
         163    0.707769    0.979504   0.0092872
         164    0.703168    0.977819  0.00938217
         165    0.698593    0.976127   0.0094767
         166    0.694044    0.974428  0.00957076
         167    0.689524    0.972722   0.0096643
         168    0.685034    0.971009  0.00975731
         169    0.680576    0.969291  0.00984975
         170    0.676151    0.967566   0.0099416
         171    0.671761    0.965837   0.0100328
         172    0.667407    0.964101   0.0101234
         173    0.663091    0.962362   0.0102133
         174    0.658814    0.960617   0.0103025
         175    0.654578    0.958868    0.010391
         176    0.650384    0.957115   0.0104788
         177    0.646233    0.955359   0.0105658
         178    0.642127    0.953599   0.0106519
         179    0.638068    0.951837   0.0107373
         180    0.634055    0.950071   0.0108218
         181    0.630091    0.948303   0.0109055
         182    0.626177    0.946533   0.0109882
         183    0.622313    0.944762   0.0110701
         184    0.618501    0.942989    0.011151
         185    0.614742    0.941214    0.011231
         186    0.611037    0.939439   0.0113101
         187    0.607386    0.937663   0.0113881
         188    0.603793    0.935887   0.0114652
         189    0.600256    0.934112   0.0115412
         190    0.596777    0.932336   0.0116162
         191    0.593357    0.930561   0.0116902
         192    0.589997    0.928788   0.0117631
         193    0.586698    0.927015    0.011835
         194     0.58346    0.925244   0.0119057
         195    0.580284    0.923475   0.0119754
         196    0.577172    0.921708   0.0120439
         197    0.574123    0.919944   0.0121113
         198    0.571139    0.918182   0.0121776
         199     0.56822    0.916424   0.0122427
         200    0.565368    0.914668   0.0123067
         201    0.562582    0.912917   0.0123695
         202    0.559863    0.911169   0.0124311
         203    0.557211    0.909425   0.0124916
         204    0.554628    0.907686   0.0125508
         205    0.552115    0.905952   0.0126089
