#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -4.71473    -4.71473           0
           2     -4.7147    -4.71472  1.0504e-05
           3    -4.71467     -4.7147 1.39922e-05
           4    -4.71464    -4.71469 1.65798e-05
           5    -4.71461    -4.71467  1.8746e-05
           6    -4.71458    -4.71466 2.06556e-05
           7    -4.71455    -4.71464 2.23875e-05
           8    -4.71452    -4.71463 2.39872e-05
           9    -4.71449    -4.71461 2.54837e-05
          10    -4.71446     -4.7146 2.68971e-05
          11    -4.71444    -4.71458 2.82421e-05
          12    -4.71441    -4.71457 2.95297e-05
          13    -4.71438    -4.71455 3.07686e-05
          14    -4.71435    -4.71454 3.19657e-05
          15    -4.71432    -4.71452 3.31269e-05
          16    -4.71429    -4.71451 3.42568e-05
          17    -4.71425    -4.71449 3.53595e-05
          18    -4.71422    -4.71448 3.64384e-05
          19    -4.71419    -4.71446 3.74966e-05
          20    -4.71416    -4.71445 3.85367e-05
          21    -4.71413    -4.71443 3.95609e-05
          22     -4.7141    -4.71442 4.05715e-05
          23    -4.71407     -4.7144 4.15702e-05
          24    -4.71404    -4.71439 4.25586e-05
          25      -4.714    -4.71437 4.35384e-05
          26    -4.71397    -4.71436 4.45109e-05
          27    -4.71394    -4.71434 4.54774e-05
          28    -4.71391    -4.71433  4.6439e-05
          29    -4.71387    -4.71431 4.73968e-05
          30    -4.71384    -4.71429 4.83518e-05
          31    -4.71381    -4.71428  4.9305e-05
          32    -4.71377    -4.71426 5.02572e-05
          33    -4.71359    -4.71424 5.27636e-05
          34    -4.71355    -4.71422 5.49954e-05
          35    -4.71336     -4.7142 5.86306e-05
          36    -4.71333    -4.71417 6.17683e-05
          37    -4.71329    -4.71415 6.45244e-05
          38    -4.71326    -4.71413  6.6977e-05
          39    -4.71322     -4.7141 6.91843e-05
          40    -4.71318    -4.71408 7.11909e-05
          41    -4.71284    -4.71405 7.55908e-05
          42     -4.7125    -4.71401 8.22824e-05
          43    -4.71246    -4.71398 8.79026e-05
          44    -4.71242    -4.71394 9.27187e-05
          45    -4.71223     -4.7139 9.81251e-05
          46    -4.71189    -4.71386 0.000105292
          47    -4.71155    -4.71381 0.000113952
          48    -4.71151    -4.71376 0.000121256
          49    -4.71147    -4.71372 0.000127522
          50    -4.71142    -4.71367 0.000132964
          51    -4.71108    -4.71362 0.000139739
          52    -4.71103    -4.71357  0.00014563
          53    -4.71069    -4.71352 0.000152702
          54    -4.71049    -4.71346 0.000159813
          55    -4.71045     -4.7134 0.000166037
          56    -4.71025    -4.71335 0.000172376
          57    -4.71005    -4.71329 0.000178802
          58     -4.7097    -4.71323 0.000186124
          59     -4.7095    -4.71317 0.000193393
          60     -4.7093     -4.7131 0.000200606
          61    -4.70925    -4.71304 0.000207006
          62    -4.70875    -4.71297 0.000214921
          63     -4.7084     -4.7129 0.000223432
          64    -4.70819    -4.71282 0.000231711
          65    -4.70784    -4.71275   0.0002405
          66    -4.70748    -4.71267 0.000249725
          67    -4.70728    -4.71259 0.000258622
          68    -4.70692     -4.7125 0.000267898
          69    -4.70687    -4.71242 0.000276188
          70    -4.70636    -4.71233 0.000285507
          71      -4.706    -4.71224 0.000295103
          72    -4.70564    -4.71215 0.000304935
          73    -4.70558    -4.71206 0.000313771
          74    -4.70522    -4.71197 0.000322875
          75    -4.70486    -4.71188 0.000332209
          76    -4.70434    -4.71178 0.000342302
          77    -4.70398    -4.71168  0.00035251
          78    -4.70377    -4.71157 0.000362271
          79    -4.70356    -4.71147 0.000371631
          80    -4.70289    -4.71136 0.000382164
          81    -4.70252    -4.71126  0.00039273
          82    -4.70216    -4.71114 0.000403318
          83    -4.70209    -4.71104  0.00041295
          84    -4.70172    -4.71092 0.000422657
          85     -4.7012    -4.71081 0.000432886
          86    -4.70098     -4.7107 0.000442675
          87    -4.70031    -4.71058 0.000453392
          88    -4.70024    -4.71046 0.000463196
          89    -4.69972    -4.71034 0.000473445
          90    -4.69935    -4.71022 0.000483674
          91    -4.69913    -4.71009  0.00049347
          92    -4.69875    -4.70997 0.000503265
          93    -4.69868    -4.70985 0.000512282
          94    -4.69861    -4.70973 0.000520598
