#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -7.85034    -7.85034           0
           2    -7.85001    -7.85018 0.000118658
           3    -7.84945    -7.84993 0.000212994
           4    -7.84867    -7.84962 0.000317237
           5    -7.84766    -7.84923 0.000431835
           6    -7.84644    -7.84876 0.000556239
           7    -7.84499    -7.84822  0.00068982
           8    -7.84333    -7.84761 0.000831998
           9    -7.84144    -7.84693 0.000982263
          10    -7.83934    -7.84617  0.00114016
          11    -7.83701    -7.84533   0.0013053
          12    -7.83415     -7.8444   0.0014926
          13    -7.83107    -7.84338  0.00169367
          14    -7.82811    -7.84229  0.00189153
          15    -7.82428    -7.84109  0.00211221
          16    -7.82025    -7.83978  0.00234765
          17    -7.81503    -7.83833  0.00262242
          18    -7.81123    -7.83682   0.0028765
          19    -7.80658    -7.83523  0.00313482
          20    -7.80139    -7.83354  0.00340418
          21    -7.79568    -7.83174  0.00368867
          22    -7.79042    -7.82986  0.00397046
          23    -7.78398    -7.82786  0.00426955
          24    -7.77767    -7.82577  0.00457522
          25    -7.77149     -7.8236  0.00488024
          26    -7.76383     -7.8213  0.00520598
          27    -7.75758    -7.81894   0.0055222
          28    -7.74953    -7.81646  0.00585496
          29    -7.74195    -7.81389   0.0061913
          30    -7.73352    -7.81121   0.0065389
          31    -7.72557    -7.80845  0.00688696
          32     -7.7171     -7.8056  0.00723921
          33    -7.70846    -7.80265  0.00759469
          34    -7.70127    -7.79967  0.00793519
          35    -7.69357    -7.79664  0.00826732
          36    -7.68537    -7.79355  0.00859606
          37    -7.67571    -7.79036  0.00893428
          38    -7.66621     -7.7871  0.00927739
          39    -7.65719    -7.78377  0.00961892
          40    -7.64736    -7.78036   0.0099646
          41    -7.63803    -7.77688   0.0103085
          42    -7.62821    -7.77334   0.0106535
          43    -7.61695    -7.76971   0.0110091
          44    -7.60782    -7.76603   0.0113571
          45    -7.59853    -7.76231   0.0116988
          46    -7.58878    -7.75853   0.0120373
          47    -7.57986    -7.75473   0.0123669
          48    -7.57049    -7.75089    0.012691
          49    -7.56001      -7.747   0.0130161
          50    -7.54941    -7.74305   0.0133422
          51    -7.53999    -7.73907   0.0136618
          52    -7.52915    -7.73503   0.0139827
          53    -7.51884    -7.73095   0.0143015
          54    -7.50876    -7.72683   0.0146166
          55    -7.49857    -7.72268   0.0149285
          56    -7.48763    -7.71849   0.0152406
          57    -7.47628    -7.71424   0.0155543
          58    -7.46581    -7.70995   0.0158649
          59    -7.45525    -7.70564   0.0161727
          60    -7.44462    -7.70129   0.0164779
          61     -7.4336     -7.6969   0.0167819
          62     -7.4225    -7.69247   0.0170849
          63    -7.41135    -7.68801   0.0173866
          64    -7.39982    -7.68351   0.0176885
          65    -7.38888    -7.67898   0.0179877
          66    -7.37791    -7.67441   0.0182845
          67    -7.36625    -7.66981   0.0185811
          68     -7.3552    -7.66519    0.018875
          69    -7.34413    -7.66053   0.0191664
          70     -7.3324    -7.65585   0.0194574
          71    -7.32162    -7.65114   0.0197446
          72    -7.31019     -7.6464   0.0200302
          73    -7.29941    -7.64165    0.020312
          74    -7.28799    -7.63687    0.020592
          75    -7.27724    -7.63208   0.0208683
          76    -7.26553    -7.62725   0.0211437
          77    -7.25482    -7.62242   0.0214152
          78     -7.2435    -7.61756   0.0216846
          79    -7.23255    -7.61268    0.021951
          80    -7.22099    -7.60779   0.0222159
          81    -7.21047    -7.60288   0.0224767
          82    -7.19871    -7.59795   0.0227366
          83    -7.18766    -7.59301   0.0229937
          84    -7.17702    -7.58806   0.0232472
          85    -7.16646     -7.5831   0.0234969
          86    -7.15534    -7.57813   0.0237443
          87    -7.14497    -7.57315   0.0239876
          88     -7.1347    -7.56816    0.024227
          89    -7.12486    -7.56318   0.0244614
          90    -7.11513     -7.5582    0.024691
          91    -7.10553    -7.55323   0.0249158
          92    -7.09606    -7.54826   0.0251356
          93    -7.08672     -7.5433   0.0253505
          94    -7.07687    -7.53834   0.0255618
          95    -7.06782    -7.53338   0.0257681
          96    -7.05892    -7.52844   0.0259693
          97    -7.04986    -7.52351   0.0261661
          98    -7.04095    -7.51858   0.0263583
          99    -7.03222    -7.51367    0.026546
         100    -7.02268    -7.50876   0.0267307
         101     -7.0143    -7.50386   0.0269106
         102    -7.00642    -7.49899   0.0270851
         103    -6.99873    -7.49413   0.0272541
         104    -6.99091    -7.48929   0.0274182
         105    -6.98361    -7.48448   0.0275768
         106    -6.97618    -7.47968   0.0277305
         107    -6.96895    -7.47491   0.0278791
         108    -6.96193    -7.47016   0.0280226
         109    -6.95512    -7.46543   0.0281611
         110    -6.94852    -7.46073   0.0282944
         111    -6.94246    -7.45606   0.0284221
         112    -6.93662    -7.45143   0.0285443
         113    -6.93099    -7.44682   0.0286608
         114     -6.9259    -7.44225   0.0287714
         115    -6.92072    -7.43772   0.0288764
         116    -6.91575    -7.43322   0.0289759
         117    -6.91133    -7.42876   0.0290696
         118    -6.90682    -7.42433   0.0291578
         119     -6.9022    -7.41995    0.029241
         120    -6.89813     -7.4156   0.0293189
         121    -6.89429    -7.41129   0.0293914
         122    -6.89067    -7.40702   0.0294587
         123    -6.88727     -7.4028   0.0295207
         124    -6.88409    -7.39861   0.0295775
         125    -6.88081    -7.39447   0.0296296
         126    -6.87775    -7.39037   0.0296768
         127    -6.87491    -7.38631   0.0297194
         128    -6.87229    -7.38229   0.0297573
         129    -6.86988    -7.37832   0.0297906
         130    -6.86833     -7.3744   0.0298186
         131    -6.86666    -7.37052   0.0298418
         132    -6.86521     -7.3667   0.0298603
         133    -6.86395    -7.36292   0.0298741
         134     -6.8629    -7.35918   0.0298832
         135    -6.86204     -7.3555   0.0298879
         136    -6.86203    -7.35187   0.0298876
         137    -6.86123    -7.34829   0.0298833
         138    -6.86095    -7.34476   0.0298746
         139    -6.86084    -7.34128   0.0298619
         140    -6.86092    -7.33785   0.0298451
         141    -6.86117    -7.33447   0.0298242
         142    -6.86192    -7.33114   0.0297993
         143    -6.86219    -7.32786   0.0297708
         144    -6.86294    -7.32463   0.0297386
         145    -6.86385    -7.32145   0.0297028
         146    -6.86523    -7.31833   0.0296633
         147    -6.86644    -7.31525   0.0296204
         148    -6.86812    -7.31223   0.0295739
         149    -6.86896    -7.30926   0.0295247
         150    -6.87027    -7.30633   0.0294725
         151    -6.87202    -7.30346   0.0294174
         152    -6.87358    -7.30063   0.0293595
         153    -6.87558    -7.29785   0.0292987
         154    -6.87738    -7.29512   0.0292354
         155    -6.87928    -7.29244   0.0291696
         156    -6.88161     -7.2898   0.0291013
         157    -6.88371    -7.28722   0.0290306
         158    -6.88591    -7.28468   0.0289578
         159    -6.88853    -7.28218   0.0288827
         160    -6.89122    -7.27974   0.0288053
         161      -6.894    -7.27735   0.0287259
         162    -6.89653    -7.27499   0.0286446
         163    -6.89913    -7.27269   0.0285615
         164    -6.90277    -7.27043   0.0284763
         165     -6.9055    -7.26822   0.0283894
         166    -6.90796    -7.26605   0.0283013
         167     -6.9108    -7.26392   0.0282116
         168      -6.914    -7.26184   0.0281205
         169    -6.91661     -7.2598   0.0280282
         170    -6.91958     -7.2578   0.0279347
         171     -6.9229    -7.25584   0.0278399
         172    -6.92593    -7.25392    0.027744
         173    -6.92899    -7.25204   0.0276472
         174    -6.93239    -7.25021   0.0275492
         175    -6.93582    -7.24841   0.0274503
         176    -6.93926    -7.24665   0.0273505
         177     -6.9427    -7.24493   0.0272498
         178    -6.94616    -7.24326   0.0271484
         179    -6.94929    -7.24161   0.0270463
         180    -6.95308    -7.24001   0.0269435
         181    -6.95653    -7.23844   0.0268402
         182    -6.95998    -7.23691   0.0267363
         183    -6.96407    -7.23542   0.0266317
         184     -6.9675    -7.23397   0.0265267
         185    -6.97091    -7.23255   0.0264214
         186    -6.97431    -7.23116   0.0263158
         187    -6.97768     -7.2298     0.02621
         188    -6.98136    -7.22848   0.0261039
         189    -6.98468    -7.22719   0.0259976
         190    -6.98798    -7.22593   0.0258912
         191    -6.99157     -7.2247   0.0257848
         192    -6.99448    -7.22351   0.0256783
         193    -6.99736    -7.22233    0.025572
         194     -7.0002    -7.22119   0.0254658
         195    -7.00333    -7.22007   0.0253597
         196    -7.00642    -7.21898   0.0252537
         197    -7.00979    -7.21792   0.0251479
         198    -7.01279    -7.21688   0.0250422
         199     -7.0164    -7.21588   0.0249366
         200    -7.01931    -7.21489   0.0248313
         201     -7.0225    -7.21394   0.0247262
         202    -7.02532      -7.213   0.0246214
         203    -7.02874    -7.21209   0.0245168
         204    -7.03146    -7.21121   0.0244126
         205    -7.03414    -7.21035   0.0243088
         206    -7.03675     -7.2095   0.0242054
         207    -7.03932    -7.20868   0.0241024
         208    -7.04216    -7.20788   0.0239999
         209    -7.04462     -7.2071   0.0238977
         210    -7.04703    -7.20634   0.0237961
         211    -7.04906    -7.20559    0.023695
         212    -7.05169    -7.20487   0.0235943
         213    -7.05394    -7.20416   0.0234942
         214    -7.05614    -7.20347   0.0233946
         215    -7.05828    -7.20279   0.0232955
         216    -7.06069    -7.20213    0.023197
         217    -7.06337    -7.20149   0.0230989
         218    -7.06503    -7.20087   0.0230014
         219    -7.06696    -7.20026   0.0229045
         220    -7.06852    -7.19966   0.0228082
         221    -7.07002    -7.19907   0.0227125
         222    -7.07212     -7.1985   0.0226174
         223    -7.07417    -7.19794   0.0225229
         224    -7.07552    -7.19739    0.022429
         225    -7.07812    -7.19686   0.0223355
         226    -7.08002    -7.19635   0.0222427
         227    -7.08122    -7.19584   0.0221505
         228     -7.0827    -7.19534   0.0220589
         229    -7.08414    -7.19486   0.0219679
         230    -7.08521    -7.19438   0.0218776
         231     -7.0872    -7.19392   0.0217878
         232    -7.08915    -7.19347   0.0216986
         233    -7.09042    -7.19302   0.0216099
         234    -7.09164    -7.19259   0.0215219
         235    -7.09282    -7.19217   0.0214345
         236    -7.09396    -7.19175   0.0213477
         237    -7.09506    -7.19134   0.0212616
         238    -7.09645    -7.19094    0.021176
         239    -7.09748    -7.19055    0.021091
         240    -7.09847    -7.19017   0.0210066
         241    -7.09911    -7.18979   0.0209228
         242    -7.09972    -7.18942   0.0208397
         243    -7.10029    -7.18905   0.0207571
         244    -7.10116    -7.18869   0.0206752
         245      -7.102    -7.18834   0.0205938
         246    -7.10281    -7.18799   0.0205131
         247    -7.10359    -7.18765   0.0204329
         248    -7.10436    -7.18731   0.0203532
         249    -7.10509    -7.18698   0.0202742
         250    -7.10581    -7.18666   0.0201957
         251     -7.1065    -7.18634   0.0201177
         252    -7.10653    -7.18602   0.0200404
         253    -7.10653    -7.18571   0.0199636
         254    -7.10717     -7.1854   0.0198874
         255    -7.10779    -7.18509   0.0198118
         256     -7.1084    -7.18479   0.0197366
         257      -7.109     -7.1845   0.0196621
         258    -7.10925    -7.18421    0.019588
         259     -7.1108    -7.18392   0.0195144
         260    -7.11168    -7.18365   0.0194414
         261    -7.11223    -7.18337   0.0193688
         262     -7.1131     -7.1831   0.0192967
         263    -7.11364    -7.18284   0.0192252
         264     -7.1145    -7.18258   0.0191541
         265    -7.11503    -7.18233   0.0190835
         266    -7.11556    -7.18207   0.0190134
         267    -7.11609    -7.18183   0.0189438
         268    -7.11661    -7.18158   0.0188747
         269    -7.11778    -7.18135    0.018806
         270    -7.11896    -7.18112   0.0187378
         271    -7.12014    -7.18089     0.01867
         272      -7.121    -7.18067   0.0186026
         273    -7.12186    -7.18046   0.0185357
         274    -7.12338    -7.18025   0.0184693
         275    -7.12426    -7.18004   0.0184032
         276    -7.12515    -7.17984   0.0183376
         277    -7.12572    -7.17965   0.0182725
         278    -7.12662    -7.17946   0.0182077
         279    -7.12721    -7.17927   0.0181434
         280    -7.12846    -7.17909   0.0180795
         281    -7.12876    -7.17891   0.0180161
         282    -7.12938    -7.17874   0.0179531
         283    -7.13002    -7.17856   0.0178904
         284    -7.13068    -7.17839   0.0178282
         285    -7.13135    -7.17823   0.0177664
         286    -7.13268    -7.17807    0.017705
         287    -7.13403    -7.17792    0.017644
         288    -7.13474    -7.17777   0.0175834
         289    -7.13548    -7.17762   0.0175232
         290    -7.13623    -7.17748   0.0174633
         291    -7.13668    -7.17734   0.0174039
         292    -7.13779     -7.1772   0.0173448
         293     -7.1386    -7.17707   0.0172861
         294    -7.13942    -7.17694   0.0172278
         295    -7.14027    -7.17682   0.0171698
         296    -7.14114     -7.1767   0.0171122
         297    -7.14267    -7.17658    0.017055
         298    -7.14358    -7.17647   0.0169981
         299    -7.14419    -7.17636   0.0169416
         300    -7.14547    -7.17626   0.0168855
         301    -7.14676    -7.17616   0.0168297
         302    -7.14776    -7.17607   0.0167742
         303    -7.14813    -7.17598   0.0167191
         304    -7.14918    -7.17589   0.0166643
         305    -7.15089    -7.17581   0.0166099
         306    -7.15197    -7.17573   0.0165558
         307    -7.15308    -7.17566    0.016502
         308    -7.15453    -7.17559   0.0164486
         309    -7.15536    -7.17552   0.0163955
         310    -7.15685    -7.17546   0.0163427
         311    -7.15804     -7.1754   0.0162903
         312    -7.15926    -7.17535   0.0162381
         313    -7.16081    -7.17531   0.0161863
         314    -7.16174    -7.17526   0.0161348
         315    -7.16302    -7.17522   0.0160836
         316    -7.16399    -7.17519   0.0160328
         317    -7.16465    -7.17516   0.0159822
         318    -7.16502    -7.17512    0.015932
         319    -7.16605     -7.1751   0.0158821
         320    -7.16677    -7.17507   0.0158325
         321    -7.16751    -7.17505   0.0157832
         322    -7.16924    -7.17503   0.0157342
         323    -7.17067    -7.17501   0.0156855
         324    -7.17211    -7.17501   0.0156371
         325    -7.17324      -7.175   0.0155889
         326    -7.17471      -7.175   0.0155411
         327     -7.1762      -7.175   0.0154936
         328    -7.17769    -7.17501   0.0154464
         329    -7.17888    -7.17502   0.0153994
         330    -7.18073    -7.17504   0.0153528
         331    -7.18129    -7.17506   0.0153064
         332    -7.18284    -7.17508   0.0152603
         333     -7.1844    -7.17511   0.0152145
         334    -7.18531    -7.17514    0.015169
         335    -7.18656    -7.17517   0.0151237
         336    -7.18847    -7.17521   0.0150788
         337    -7.18973    -7.17526   0.0150341
         338    -7.19165    -7.17531   0.0149897
         339    -7.19324    -7.17536   0.0149456
         340    -7.19452    -7.17542   0.0149017
         341    -7.19645    -7.17548   0.0148582
         342    -7.19805    -7.17554   0.0148149
         343    -7.19998    -7.17561   0.0147718
         344    -7.20127    -7.17569   0.0147291
         345     -7.2032    -7.17577   0.0146866
         346    -7.20545    -7.17585   0.0146444
         347    -7.20673    -7.17594   0.0146025
         348    -7.20866    -7.17604   0.0145608
         349    -7.21058    -7.17614   0.0145194
         350    -7.21184    -7.17624   0.0144783
         351    -7.21343    -7.17634   0.0144374
         352    -7.21436    -7.17645   0.0143968
         353    -7.21561    -7.17656   0.0143565
         354    -7.21717    -7.17668   0.0143164
         355    -7.21937     -7.1768   0.0142766
         356    -7.22124    -7.17692    0.014237
         357    -7.22278    -7.17705   0.0141977
         358     -7.2243    -7.17718   0.0141587
         359    -7.22581    -7.17732   0.0141199
         360    -7.22666    -7.17746   0.0140813
         361    -7.22781     -7.1776    0.014043
         362     -7.2296    -7.17774   0.0140049
         363    -7.23041    -7.17788   0.0139671
         364    -7.23152    -7.17803   0.0139295
         365    -7.23455    -7.17819   0.0138922
         366    -7.23627    -7.17835   0.0138552
         367    -7.23765    -7.17851   0.0138183
         368    -7.23933    -7.17867   0.0137818
         369    -7.24034    -7.17884   0.0137455
         370    -7.24198    -7.17901   0.0137094
         371     -7.2436    -7.17918   0.0136735
         372    -7.24422    -7.17936   0.0136379
         373    -7.24611    -7.17954   0.0136025
         374    -7.24733    -7.17972   0.0135673
         375    -7.24852     -7.1799   0.0135324
         376    -7.24969    -7.18009   0.0134977
         377     -7.2505    -7.18027   0.0134632
         378    -7.25129    -7.18046   0.0134288
         379    -7.25205    -7.18065   0.0133947
         380    -7.25279    -7.18084   0.0133608
         381    -7.25414    -7.18103   0.0133272
         382    -7.25513    -7.18123   0.0132937
         383    -7.25642    -7.18142   0.0132604
         384    -7.25768    -7.18162   0.0132274
