#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1     666.996     666.996           0
           2     667.571     667.284     0.20325
           3     668.528     667.698     0.36485
           4     669.867     668.241    0.543426
           5     671.586      668.91    0.739741
           6     673.685     669.706    0.952853
           7     676.163     670.628     1.18168
           8     679.017     671.677     1.42522
           9     682.247     672.851      1.6826
          10     685.852     674.151     1.95303
          11     689.829     675.577     2.23583
          12     694.384     677.144     2.54014
          13     699.308     678.849     2.86023
          14     704.389     680.673     3.18502
          15     710.251     682.645     3.53071
          16     716.473     684.759     3.89191
          17     723.677     687.048     4.28367
          18     730.196     689.446     4.66845
          19     737.486     691.974     5.06136
          20     745.335     694.642     5.46647
          21      753.74     697.456     5.88614
          22     762.074     700.393     6.30898
          23     771.373     703.479     6.74737
          24     780.802     706.701     7.19441
          25     790.359     710.048     7.64535
          26     801.078     713.549     8.11346
          27     811.085     717.161     8.57956
          28     822.456     720.922     9.05989
          29     833.731     724.812     9.54613
          30     845.738     728.843      10.043
          31      857.64     732.997     10.5434
          32     870.058      737.28     11.0497
          33     882.779     741.689     11.5611
          34     894.759     746.192     12.0659
          35     907.243     750.793      12.568
          36     920.226     755.499     13.0704
          37     934.324     760.333     13.5814
          38     948.492     765.284     14.0977
          39     962.518     770.341     14.6152
          40     977.227     775.514     15.1374
          41     991.784     780.788     15.6603
          42      1006.8      786.17     16.1856
          43     1022.91     791.675     16.7194
          44      1037.8     797.269     17.2497
          45     1052.92      802.95     17.7774
          46     1068.49     808.723     18.3042
          47     1083.66     814.573     18.8263
          48     1099.26     820.504     19.3458
          49     1115.69     826.528     19.8668
          50     1132.32     832.644     20.3891
          51     1148.32     838.833     20.9077
          52     1165.33     845.112     21.4277
          53     1182.12     851.471     21.9466
          54     1198.86     857.904     22.4633
          55     1215.77     864.411     22.9779
          56     1233.25     870.997     23.4926
          57     1251.08     877.665     24.0081
          58     1268.43     884.402     24.5213
          59     1285.91     891.208     25.0322
          60      1303.5     898.079     25.5407
          61     1321.42     905.019     26.0478
          62     1339.43     912.026     26.5533
          63     1357.54     919.097     27.0571
          64     1375.93     926.235     27.5598
          65     1393.98     933.432     28.0596
          66      1412.1     940.684     28.5564
          67     1430.68     947.997     29.0515
          68     1448.88     955.363     29.5434
          69     1467.11      962.78     30.0317
          70     1485.78     970.251     30.5179
          71     1503.84     977.767     30.9997
          72     1522.31      985.33     31.4782
          73     1540.35     992.933      31.952
          74     1558.78     1000.58     32.4222
          75     1576.76     1008.26     32.8875
          76     1595.32     1015.99     33.3496
          77      1613.2     1023.74     33.8064
          78     1631.43     1031.53     34.2589
          79     1649.37     1039.35     34.7065
          80     1667.64     1047.21       35.15
          81     1685.18     1055.08     35.5875
          82     1703.44     1062.99     36.0212
          83     1721.16     1070.92     36.4496
          84     1738.54     1078.87      36.872
          85     1755.77     1086.83     37.2882
          86     1773.27     1094.81     37.6993
          87     1790.18     1102.81     38.1038
          88     1806.91     1110.81     38.5017
          89     1823.25     1118.81     38.8923
          90     1839.38     1126.82     39.2756
          91     1855.32     1134.82     39.6515
          92     1871.03     1142.83     40.0199
          93     1886.51     1150.82     40.3806
          94     1902.17     1158.82     40.7344
          95     1917.17      1166.8     41.0803
          96     1931.92     1174.77     41.4183
          97     1946.61     1182.73     41.7487
          98     1961.02     1190.67     42.0713
          99     1975.15     1198.59      42.386
         100     1989.62      1206.5     42.6939
         101     2003.16     1214.39     42.9936
         102      2016.2     1222.25     43.2848
         103     2028.92     1230.08     43.5673
         104     2041.53     1237.88     43.8415
         105     2053.61     1245.65     44.1069
         106     2065.57     1253.39     44.3639
         107     2077.19     1261.09     44.6123
         108     2088.47     1268.75     44.8522
         109     2099.41     1276.37     45.0835
         110        2110     1283.95     45.3061
         111     2120.03     1291.48     45.5198
         112      2129.7     1298.96     45.7244
         113     2139.01      1306.4     45.9201
         114     2147.75     1313.78     46.1066
         115     2156.33      1321.1     46.2841
         116     2164.55     1328.38     46.4527
         117     2172.19     1335.59     46.6122
         118     2179.67     1342.74     46.7629
         119        2187     1349.84      46.905
         120     2193.74     1356.87     47.0383
         121     2200.11     1363.84      47.163
         122     2206.12     1370.74     47.2791
         123     2211.76     1377.58     47.3865
         124     2217.04     1384.35     47.4855
         125     2222.16     1391.05     47.5763
         126     2226.92     1397.69     47.6589
         127     2231.32     1404.25     47.7336
         128     2235.36     1410.74     47.8002
         129     2239.05     1417.16      47.859
         130     2241.98     1423.51     47.9096
         131     2244.77     1429.78     47.9523
         132     2247.22     1435.97     47.9872
         133     2249.33     1442.09     48.0145
         134     2251.12     1448.12     48.0343
         135     2252.58     1454.08     48.0467
         136      2253.3     1459.96     48.0514
         137     2254.33     1465.76     48.0493
         138     2254.85     1471.47     48.0401
         139     2255.06     1477.11     48.0241
         140     2254.98     1482.67     48.0014
         141      2254.6     1488.14     47.9722
         142     2253.74     1493.53     47.9363
         143     2253.02     1498.85     47.8944
         144     2251.82     1504.07     47.8464
         145     2250.36     1509.22     47.7925
         146     2248.43     1514.28     47.7326
         147     2246.47     1519.27      47.667
         148     2244.06     1524.16     47.5958
         149     2242.05     1528.98     47.5196
         150      2239.6     1533.72     47.4384
         151     2236.73     1538.37     47.3522
         152     2233.86     1542.95     47.2612
         153     2230.58     1547.44     47.1655
         154     2227.31     1551.86     47.0654
         155     2223.87     1556.19      46.961
         156     2220.04     1560.45     46.8524
         157     2216.24     1564.63     46.7398
         158     2212.29     1568.73     46.6234
         159     2207.98     1572.75     46.5032
         160     2203.53     1576.69     46.3793
         161     2198.94     1580.55      46.252
         162     2194.43     1584.34     46.1215
         163      2189.8     1588.06     45.9878
         164     2184.43     1591.69      45.851
         165     2179.58     1595.26     45.7113
         166     2174.84     1598.75     45.5691
         167      2169.8     1602.17     45.4243
         168     2164.47     1605.51     45.2771
         169     2159.48     1608.79     45.1277
         170     2154.22        1612     44.9761
         171     2148.69     1615.14     44.8225
         172      2143.3     1618.21      44.667
         173     2137.88     1621.21     44.5097
         174      2132.2     1624.15     44.3506
         175     2126.48     1627.02       44.19
         176     2120.74     1629.83     44.0279
         177     2114.98     1632.57     43.8644
         178      2109.2     1635.24     43.6996
         179     2103.62     1637.86     43.5337
         180     2097.61     1640.42     43.3667
         181     2091.82     1642.91     43.1988
         182     2086.03     1645.34       43.03
         183     2079.84     1647.72     42.8603
         184     2074.08     1650.04       42.69
         185     2068.34      1652.3      42.519
         186     2062.63      1654.5     42.3476
         187     2056.94     1656.66     42.1758
         188     2051.09     1658.75     42.0036
         189     2045.48      1660.8     41.8312
         190     2039.92     1662.79     41.6586
         191     2034.19     1664.74     41.4858
         192     2028.93     1666.64     41.3131
         193     2023.72     1668.49     41.1405
         194     2018.57     1670.29      40.968
         195     2013.28     1672.05     40.7956
         196     2008.04     1673.76     40.6235
         197     2002.67     1675.43     40.4516
         198     1997.57     1677.06       40.28
         199     1992.13     1678.64     40.1086
         200     1987.17     1680.19     39.9378
         201     1982.09     1681.69     39.7673
         202     1977.29     1683.15     39.5973
         203     1972.15     1684.58     39.4279
         204     1967.51     1685.96      39.259
         205     1962.95     1687.31     39.0907
         206     1958.48     1688.63     38.9231
         207     1954.09     1689.91     38.7562
         208     1949.58     1691.16       38.59
         209     1945.36     1692.38     38.4245
         210     1941.24     1693.56     38.2598
         211      1937.4     1694.72     38.0959
         212     1933.24     1695.84     37.9328
         213     1929.38     1696.94     37.7706
         214     1925.61     1698.01     37.6092
         215     1921.93     1699.05     37.4487
         216     1918.12     1700.06      37.289
         217      1914.2     1701.05     37.1303
         218     1910.99     1702.01     36.9724
         219     1907.67     1702.95     36.8155
         220     1904.63     1703.87     36.6596
         221     1901.69     1704.76     36.5046
         222     1898.41     1705.64     36.3506
         223     1895.22     1706.49     36.1976
         224     1892.54     1707.32     36.0455
         225      1889.1     1708.13     35.8943
         226     1886.16     1708.91     35.7442
         227     1883.72     1709.68      35.595
         228     1881.15     1710.43     35.4468
         229     1878.66     1711.17     35.2996
         230     1876.46     1711.89     35.1535
         231     1873.71     1712.59     35.0083
         232     1871.03     1713.27      34.864
         233     1868.84     1713.94     34.7208
         234     1866.73     1714.59     34.5786
         235     1864.68     1715.23     34.4373
         236      1862.7     1715.86     34.2971
         237     1860.79     1716.47     34.1578
         238     1858.73     1717.07     34.0195
         239     1856.95     1717.65     33.8822
         240     1855.22     1718.22     33.7459
         241     1853.76     1718.79     33.6105
         242     1852.36     1719.34     33.4762
         243     1851.01     1719.88     33.3428
         244     1849.51     1720.41     33.2104
         245     1848.06     1720.93     33.0789
         246     1846.66     1721.44     32.9484
         247      1845.3     1721.94     32.8188
         248     1843.99     1722.44     32.6902
         249     1842.72     1722.92     32.5625
         250     1841.49     1723.39     32.4357
         251      1840.3     1723.86     32.3098
         252     1839.56     1724.32     32.1848
         253     1838.85     1724.77     32.0608
         254     1837.76     1725.22     31.9377
         255      1836.7     1725.65     31.8154
         256     1835.67     1726.08      31.694
         257     1834.66     1726.51     31.5735
         258     1833.88     1726.92     31.4539
         259     1832.29     1727.33     31.3351
         260     1831.14     1727.73     31.2171
         261     1830.21     1728.12        31.1
         262     1829.08     1728.51     30.9837
         263     1828.18     1728.89     30.8682
         264     1827.08     1729.26     30.7535
         265      1826.2     1729.62     30.6396
         266     1825.32     1729.98     30.5265
         267     1824.45     1730.34     30.4142
         268     1823.59     1730.68     30.3028
         269      1822.3     1731.03      30.192
         270     1821.02     1731.36      30.082
         271     1819.73     1731.68     29.9728
         272     1818.65        1732     29.8643
         273     1817.55     1732.32     29.7566
         274     1816.04     1732.62     29.6495
         275     1814.93     1732.92     29.5432
         276     1813.81     1733.22     29.4376
         277     1812.88      1733.5     29.3328
         278     1811.73     1733.78     29.2286
         279     1810.78     1734.06     29.1251
         280     1809.39     1734.33     29.0224
         281      1808.6     1734.59     28.9203
         282     1807.58     1734.85     28.8189
         283     1806.55     1735.11     28.7182
         284     1805.49     1735.35     28.6181
         285     1804.41      1735.6     28.5187
         286     1802.88     1735.83       28.42
         287     1801.33     1736.06     28.3219
         288     1800.17     1736.28     28.2244
         289     1798.98      1736.5     28.1276
         290     1797.76     1736.71     28.0314
         291     1796.72     1736.92     27.9358
         292     1795.23     1737.12     27.8409
         293     1793.91     1737.31     27.7465
         294     1792.57      1737.5     27.6528
         295     1791.19     1737.68     27.5596
         296     1789.77     1737.86     27.4671
         297     1787.91     1738.02     27.3751
         298     1786.42     1738.19     27.2837
         299      1785.1     1738.34     27.1929
         300     1783.34     1738.49     27.1027
         301     1781.53     1738.64     27.0131
         302      1779.9     1738.77      26.924
         303     1778.64     1738.91     26.8354
         304     1776.93     1739.03     26.7474
         305     1774.77     1739.15       26.66
         306     1772.99     1739.26     26.5731
         307     1771.16     1739.36     26.4867
         308      1769.1     1739.46     26.4009
         309     1767.41     1739.55     26.3156
         310     1765.27     1739.63     26.2309
         311     1763.29     1739.71     26.1466
         312     1761.29     1739.78     26.0629
         313     1759.04     1739.84     25.9797
         314     1757.16     1739.89     25.8971
         315     1755.05     1739.94     25.8149
         316     1753.11     1739.98     25.7332
         317     1751.34     1740.02     25.6521
         318     1749.74     1740.05     25.5714
         319     1747.69     1740.07     25.4913
         320     1745.82     1740.09     25.4116
         321     1743.92      1740.1     25.3325
         322     1741.36     1740.11     25.2538
         323     1738.98      1740.1     25.1756
         324     1736.57     1740.09     25.0979
         325     1734.34     1740.08     25.0207
         326     1731.88     1740.05      24.944
         327     1729.39     1740.02     24.8677
         328     1726.87     1739.98     24.7919
         329     1724.54     1739.93     24.7166
         330     1721.77     1739.88     24.6418
         331     1719.81     1739.82     24.5674
         332      1717.2     1739.75     24.4935
         333     1714.58     1739.67       24.42
         334     1712.35     1739.59     24.3471
         335      1709.9      1739.5     24.2746
         336     1707.02      1739.4     24.2025
         337     1704.54      1739.3     24.1309
         338     1701.63     1739.19     24.0598
         339     1698.92     1739.07     23.9891
         340     1696.41     1738.95     23.9189
         341     1693.47     1738.81     23.8491
