#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     1.18635     1.18635           0
           2     1.10319     1.14477   0.0294015
           3    0.947568     1.07903   0.0571378
           4    0.745052    0.995538   0.0840537
           5    0.537891    0.904009    0.105942
           6    0.376279    0.816054    0.119336
           7    0.294826    0.741593     0.12335
           8    0.293722    0.685609    0.119965
           9    0.344518     0.64771    0.112463
          10     0.41151     0.62409    0.103667
          11    0.468985     0.60999   0.0951969
          12    0.506835    0.601393    0.087651
          13    0.527503     0.59571   0.0810927
          14     0.53953    0.591697   0.0753996
          15    0.552086    0.589056   0.0704192
          16    0.571258    0.587944   0.0660268
          17    0.598368    0.588557   0.0621457
          18    0.629814    0.590849   0.0587354
          19    0.659161    0.594444    0.055754
          20    0.679882    0.598716   0.0531297
