#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -7.83354    -7.83354           0
           2    -7.72717    -7.78036    0.037606
           3    -7.54315    -7.70129   0.0692566
           4    -7.32729    -7.60779   0.0962001
           5    -7.11265    -7.50876    0.117338
           6    -6.94978     -7.4156    0.129592
           7    -6.87135    -7.33785    0.132363
           8      -6.873    -7.27974    0.127937
           9    -6.92217    -7.24001    0.119732
          10    -6.98883    -7.21489    0.110362
          11    -7.04729    -7.19966    0.101376
          12    -7.08579    -7.19017   0.0933708
          13    -7.10538    -7.18365   0.0864159
          14    -7.11987    -7.17909   0.0803633
          15    -7.13666    -7.17626   0.0750555
          16    -7.15719    -7.17507    0.070374
          17    -7.18095    -7.17542   0.0662352
          18    -7.21215    -7.17746   0.0625869
          19    -7.24178    -7.18084   0.0593844
          20    -7.26264    -7.18493   0.0565558
