#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1     694.642     694.642           0
           2     856.385     775.514     57.1848
           3     1143.21     898.079      107.09
           4     1494.59     1047.21     152.087
           5     1843.68      1206.5     187.358
           6      2108.7     1356.87     207.892
           7     2237.47     1482.67     212.879
           8     2234.83     1576.69     205.988
           9     2150.23     1640.42     192.706
          10     2038.12     1680.19     177.492
          11      1940.7     1703.87     162.929
          12     1876.13     1718.22     149.982
          13     1841.78     1727.73     138.746
          14     1820.15     1734.33     128.993
          15      1796.8     1738.49      120.46
          16     1764.06     1740.09     112.942
          17      1720.6     1738.95     106.304
          18      1667.2     1734.96     100.473
          19     1616.37     1728.72     95.3788
          20     1579.89     1721.28     90.8997
