#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1    0.790898    0.790898           0
           2    0.735458    0.763178    0.019601
           3    0.631712    0.719356   0.0380919
           4    0.496701    0.663692   0.0560358
           5    0.358594    0.602673   0.0706281
           6    0.250853    0.544036   0.0795571
           7    0.196551    0.494395   0.0822332
           8    0.195815    0.457073   0.0799765
           9    0.229679    0.431807    0.074975
          10     0.27434     0.41606   0.0691113
          11    0.312656     0.40666   0.0634646
          12     0.33789    0.400929    0.058434
          13    0.351669     0.39714   0.0540618
          14    0.359687    0.394464   0.0502664
          15    0.368057    0.392704   0.0469461
          16    0.380839    0.391962   0.0440179
          17    0.398912    0.392371   0.0414305
          18    0.419876    0.393899   0.0391569
          19    0.439441    0.396296   0.0371693
          20    0.453255    0.399144   0.0354198
