#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -6.64719    -6.64719           0
           2    -6.62399    -6.63559  0.00820448
           3    -6.59558    -6.62225   0.0121856
           4    -6.58224    -6.61225   0.0125923
           5    -6.57476    -6.60475   0.0121024
           6     -6.5735    -6.59954   0.0111499
           7    -6.57652    -6.59625   0.0100302
           8    -6.57927    -6.59413  0.00899826
           9    -6.57765     -6.5923  0.00818266
          10    -6.57732     -6.5908  0.00750022
          11     -6.5783    -6.58967  0.00690394
          12    -6.57896    -6.58877  0.00638602
          13    -6.57788    -6.58794  0.00594956
          14    -6.58034    -6.58739   0.0055493
          15    -6.58457    -6.58721  0.00518253
          16    -6.58594    -6.58713  0.00485923
          17    -6.58258    -6.58686  0.00458074
          18    -6.58233    -6.58661  0.00433315
          19    -6.58262     -6.5864  0.00411017
          20    -6.58275    -6.58621   0.0039087
