#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     1.83354     1.83354           0
           2       1.835     1.83427 0.000516551
           3     1.83927     1.83594  0.00140276
           4     1.84617      1.8385  0.00245369
           5     1.85682     1.84216  0.00382019
           6      1.9129     1.85395   0.0112237
           7     1.83573     1.85135  0.00991756
           8     1.84538      1.8506  0.00870586
           9     1.81584     1.84674  0.00855239
          10     1.87465     1.84953  0.00813989
          11     1.89284     1.85347  0.00829781
          12     1.89217     1.85669  0.00820914
          13     1.85002     1.85618   0.0075937
          14     1.80198     1.85231  0.00797742
          15     1.83731     1.85131  0.00750799
          16     1.83141     1.85006  0.00714102
          17     1.81165      1.8478  0.00706941
          18     1.77323     1.84366  0.00779666
          19     1.80728     1.84175  0.00761776
          20     1.81017     1.84017  0.00739863
          21      1.8314     1.83975  0.00705808
          22     1.87033     1.84114  0.00687275
          23     1.87667     1.84269  0.00674535
          24     1.86097     1.84345  0.00650719
          25     1.84997     1.84371  0.00625213
          26     1.89203     1.84557  0.00628181
          27     1.86304     1.84621  0.00608239
          28     1.87558     1.84726  0.00595487
          29     1.88502     1.84856  0.00589011
          30     1.81563     1.84747  0.00579516
          31     1.86507     1.84803  0.00563598
          32     1.81836     1.84711  0.00553564
          33       1.839     1.84686  0.00537334
          34     1.84999     1.84695  0.00521609
          35      1.8387     1.84672  0.00507238
          36     1.86282     1.84717  0.00495118
          37     1.86599     1.84767  0.00484343
          38      1.8859     1.84868  0.00481933
          39     1.84933      1.8487  0.00469579
          40     1.82162     1.84802  0.00462691
          41     1.81901     1.84731  0.00456785
          42     1.87248     1.84791  0.00449824
          43     1.84658     1.84788  0.00439373
          44     1.82484     1.84736  0.00432498
          45      1.8412     1.84722  0.00423103
          46     1.84417     1.84715  0.00413957
          47     1.89495     1.84817  0.00417452
          48      1.8991     1.84923  0.00422026
          49     1.92382     1.85075  0.00440008
          50     1.91157     1.85197  0.00447706
