#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1    -82.4683    -82.4683           0
           2    -57.9353    -70.2018     8.67371
           3    -58.7928    -66.3988     6.56345
           4    -45.3674    -61.1409     6.70564
           5    -44.8202    -57.8768     6.10751
           6     -52.355    -56.9565     5.15847
           7    -89.5471    -61.6123     6.17494
           8    -46.3744    -59.7076     5.68926
           9    -47.7762    -58.3819     5.20929
          10    -57.9909    -58.3428      4.6885
          11      -77.79    -60.1107      4.5835
          12    -49.5103    -59.2273     4.28582
          13    -66.3043    -59.7717     3.99056
          14    -78.7672    -61.1285     3.92942
          15    -71.9161    -61.8477     3.73269
          16    -77.6947    -62.8381     3.62842
          17    -77.7855    -63.7174     3.51991
          18    -33.3532    -62.0305      3.7066
          19    -51.3876    -61.4703     3.55359
          20     -46.369    -60.7153      3.4552
          21    -42.6729    -59.8561      3.3958
          22    -72.0467    -60.4102     3.28635
          23    -47.5648    -59.8517     3.19057
          24    -72.7392    -60.3887     3.10248
          25    -51.3498    -60.0272     2.99938
          26     -59.403    -60.0032     2.88411
          27    -68.9518    -60.3346     2.79627
          28    -69.2176    -60.6518     2.71434
          29     -61.937    -60.6961     2.62111
          30    -54.1975    -60.4795     2.54267
          31    -46.0957    -60.0155     2.50263
          32    -50.8901    -59.7304     2.44061
          33    -67.8729    -59.9771      2.3791
          34    -59.2009    -59.9543     2.30923
          35    -67.9235     -60.182     2.25445
          36    -49.6477    -59.8893     2.21074
          37    -63.5853    -59.9892     2.15324
          38    -54.1436    -59.8354     2.10207
          39     -57.419    -59.7734     2.04908
          40    -75.8643    -60.1757     2.03696
          41    -46.4579    -59.8411     2.01457
          42    -38.5945    -59.3353     2.02912
          43    -64.4517    -59.4543     1.98542
          44     -74.248    -59.7905     1.96856
          45     -67.315    -59.9577      1.9319
          46    -79.7157    -60.3872     1.93706
          47    -65.4824    -60.4956     1.89888
          48    -65.0235    -60.5899     1.86166
          49     -43.037    -60.2317     1.85781
          50    -69.1001    -60.4091      1.8291
