#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.19417     1.19417           0
           2     1.23348     1.21382    0.013897
           3     1.24417     1.22394   0.0124122
           4     1.25762     1.23236   0.0118248
           5     1.25145     1.23618   0.0100572
           6     1.25719     1.23968  0.00897004
           7     1.21258     1.23581  0.00848271
           8     1.21489     1.23319  0.00781482
           9     1.22165     1.23191  0.00705097
          10     1.24869     1.23359  0.00654258
          11     1.28784     1.23852  0.00758236
          12     1.27507     1.24157  0.00753743
          13     1.25414     1.24253  0.00701939
          14     1.25649     1.24353  0.00658841
          15     1.26002     1.24463  0.00624017
          16     1.23533     1.24405  0.00587715
          17       1.211      1.2421  0.00584411
          18     1.20927     1.24028  0.00579712
          19     1.19661     1.23798  0.00593009
          20     1.24345     1.23826  0.00563988
          21     1.22815     1.23777  0.00539182
          22     1.23381     1.23759  0.00514974
          23     1.24267     1.23782  0.00493058
          24      1.2174     1.23696  0.00479797
          25      1.2783     1.23862  0.00488266
          26     1.30575      1.2412   0.0053341
          27     1.24299     1.24127  0.00513695
          28     1.21881     1.24046  0.00501571
          29     1.24492     1.24062  0.00484511
          30     1.22948     1.24025   0.0046978
          31     1.24428     1.24038  0.00454806
          32     1.21843     1.23969  0.00445733
          33     1.25572     1.24018  0.00434863
          34     1.23514     1.24003  0.00422326
          35     1.25003     1.24031  0.00411225
          36     1.24592     1.24047  0.00400097
          37     1.24831     1.24068  0.00389844
          38     1.23254     1.24047  0.00380172
          39     1.22808     1.24015  0.00371748
          40     1.22909     1.23987  0.00363482
          41     1.21499     1.23927   0.0035965
          42     1.25208     1.23957  0.00352378
          43     1.25217     1.23986  0.00345399
          44     1.24851     1.24006  0.00338107
          45      1.2536     1.24036  0.00331929
          46     1.26273     1.24085  0.00328257
          47     1.25432     1.24113  0.00322523
          48     1.25458     1.24141  0.00317018
          49     1.21668     1.24091  0.00314543
          50     1.21827     1.24046  0.00311493
