#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     1.45241     1.45241           0
           2     1.45234     1.45238 2.44443e-05
           3     1.45242     1.45239 2.07124e-05
           4     1.45236     1.45239 1.69292e-05
           5     1.45226     1.45236 2.65701e-05
           6      1.4523     1.45235 2.40746e-05
           7     1.45238     1.45235 2.11501e-05
           8     1.45247     1.45237 2.26239e-05
           9     1.45252     1.45239 2.55927e-05
          10     1.45247     1.45239 2.44807e-05
          11     1.45246      1.4524 2.29779e-05
          12     1.45248     1.45241 2.20872e-05
          13      1.4525     1.45241 2.15477e-05
          14     1.45246     1.45242  2.0293e-05
          15     1.45229     1.45241 2.05864e-05
          16     1.45239     1.45241 1.93523e-05
          17     1.45243     1.45241 1.82456e-05
          18      1.4525     1.45241 1.79164e-05
          19     1.45253     1.45242 1.79668e-05
          20     1.45243     1.45242  1.7073e-05
          21     1.45238     1.45242  1.6375e-05
          22     1.45241     1.45242  1.5641e-05
          23     1.45248     1.45242 1.52238e-05
          24     1.45255     1.45243  1.5558e-05
          25     1.45255     1.45243 1.56559e-05
          26     1.45249     1.45243 1.51918e-05
          27     1.45251     1.45244 1.48944e-05
          28     1.45248     1.45244  1.4446e-05
          29     1.45234     1.45243 1.43281e-05
          30     1.45232     1.45243 1.43842e-05
          31     1.45233     1.45243 1.42873e-05
          32     1.45239     1.45243 1.38931e-05
          33      1.4524     1.45243 1.34985e-05
          34      1.4525     1.45243  1.3276e-05
          35     1.45253     1.45243 1.32417e-05
          36     1.45244     1.45243 1.28773e-05
          37     1.45232     1.45243 1.28498e-05
          38     1.45242     1.45243 1.25141e-05
          39     1.45251     1.45243  1.2375e-05
          40     1.45244     1.45243 1.20713e-05
          41     1.45236     1.45243 1.18996e-05
          42      1.4523     1.45243 1.20056e-05
          43     1.45229     1.45242 1.21058e-05
          44      1.4524     1.45242 1.18382e-05
          45      1.4523     1.45242 1.18634e-05
          46     1.45234     1.45242 1.17206e-05
          47     1.45235     1.45242 1.15669e-05
          48     1.45229     1.45241 1.16058e-05
          49     1.45236     1.45241 1.14232e-05
          50     1.45235     1.45241 1.12699e-05
