#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1      1.3335      1.3335           0
           2     1.33031     1.33191  0.00112739
           3     1.34213     1.33531  0.00288102
           4     1.32738     1.33333  0.00276057
           5     1.31482     1.32963  0.00397964
           6     1.34312     1.33188  0.00389988
           7     1.36118     1.33606  0.00511852
           8     1.32589     1.33479  0.00463403
           9      1.2999     1.33091  0.00550717
          10     1.32708     1.33053  0.00496977
          11     1.31795     1.32939  0.00464774
          12     1.32367     1.32891  0.00428482
          13     1.32999     1.32899  0.00395601
          14      1.3529      1.3307  0.00402515
          15     1.32573     1.33037  0.00377041
          16     1.32779     1.33021  0.00353822
          17     1.29818     1.32832  0.00379882
          18     1.31801     1.32775   0.0036307
          19     1.33055      1.3279  0.00344261
          20     1.35402     1.32921  0.00350953
          21     1.30727     1.32816  0.00349442
          22     1.35615     1.32943  0.00355963
          23     1.32425     1.32921    0.003412
          24     1.33982     1.32965  0.00329836
          25     1.33382     1.32982  0.00317066
          26     1.32652     1.32969  0.00305124
          27     1.33924     1.33004  0.00295867
          28     1.34304     1.33051  0.00288915
          29     1.35832     1.33147  0.00294446
          30      1.2847     1.32991  0.00323277
          31     1.30113     1.32898  0.00325901
          32     1.32676     1.32891  0.00315791
          33     1.31315     1.32843  0.00309809
          34     1.33873     1.32874  0.00302174
          35      1.3583     1.32958   0.0030512
          36     1.34566     1.33003  0.00299894
          37     1.32016     1.32976  0.00292972
          38     1.31411     1.32935  0.00288142
          39     1.33305     1.32944  0.00280909
          40     1.33333     1.32954  0.00274055
          41     1.34204     1.32985  0.00269061
          42     1.33335     1.32993  0.00262784
          43      1.2945      1.3291   0.0026928
          44     1.30648     1.32859  0.00268025
          45     1.32625     1.32854  0.00262119
          46     1.29295     1.32776  0.00267592
          47      1.3319     1.32785  0.00262043
          48     1.33672     1.32804  0.00257234
          49      1.3039     1.32754  0.00256657
          50      1.2991     1.32698   0.0025775
