#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -5.06274    -5.06274           0
           2    -5.02629    -5.04451   0.0128873
           3    -5.02226     -5.0371   0.0105119
           4     -4.9949    -5.02655   0.0120672
           5    -5.05928    -5.03309   0.0112907
           6     -5.0194    -5.03081  0.00963668
           7    -5.04566    -5.03293  0.00849032
           8    -5.04181    -5.03404  0.00750124
           9    -5.05317    -5.03617   0.0069623
          10    -5.04227    -5.03678  0.00629272
          11    -5.00828    -5.03419  0.00623116
          12    -5.00649    -5.03188  0.00612452
          13    -5.02941    -5.03169  0.00565634
          14    -5.03704    -5.03207   0.0052652
          15    -5.03033    -5.03196  0.00491547
          16    -5.02045    -5.03124  0.00466058
          17    -5.03245    -5.03131  0.00438697
          18    -5.01522    -5.03041  0.00423335
          19    -5.03369    -5.03059  0.00401404
          20    -5.04721    -5.03142  0.00389846
          21    -5.03829    -5.03174  0.00372655
          22    -5.01397    -5.03094  0.00364371
          23    -5.02306    -5.03059  0.00350134
          24    -5.00704    -5.02961  0.00349025
          25     -5.0033    -5.02856  0.00350572
          26    -5.01278    -5.02795  0.00342305
          27    -5.00547    -5.02712  0.00339606
          28    -5.01825     -5.0268  0.00328951
          29    -5.03462    -5.02707   0.0031871
          30    -5.05826    -5.02811    0.003246
          31    -5.01447    -5.02767  0.00317097
          32     -5.0325    -5.02782  0.00307547
          33    -5.05704    -5.02871  0.00310712
          34    -5.02365    -5.02856   0.0030193
          35    -5.00547     -5.0279  0.00300426
          36    -5.04438    -5.02836  0.00295546
          37    -5.04282    -5.02875   0.0029013
          38    -5.04087    -5.02907  0.00284242
          39    -5.04421    -5.02946  0.00279591
          40    -5.04237    -5.02978  0.00274458
          41    -5.00377    -5.02914  0.00274998
          42     -5.0557    -5.02978  0.00275621
          43     -5.0068    -5.02924  0.00274343
          44    -5.02091    -5.02905  0.00268761
          45    -5.03407    -5.02916   0.0026302
          46    -5.04202    -5.02944  0.00258783
          47    -5.04584    -5.02979  0.00255619
          48    -5.06622    -5.03055  0.00261319
          49    -5.05311    -5.03101   0.0026001
          50    -4.99932    -5.03038  0.00262422
