#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1     5.10283     5.10283           0
           2      5.3626     5.23272   0.0918412
           3     5.37126      5.2789   0.0719075
           4     5.47993     5.32916   0.0693032
           5      5.0688     5.27709   0.0724084
           6      5.4905     5.31265   0.0685216
           7     5.09745     5.28191   0.0652665
           8     5.14361     5.26462   0.0593534
           9     5.14407     5.25123    0.054249
          10     5.14468     5.24057   0.0498595
          11     5.41939     5.25683   0.0479036
          12      5.4401      5.2721   0.0462823
          13     5.30437     5.27458   0.0427886
          14     5.17665     5.26759   0.0403001
          15     5.25279      5.2666   0.0376255
          16     5.42121     5.27627   0.0364936
          17     5.29792     5.27754   0.0343691
          18     5.35783       5.282   0.0327479
          19     5.21506     5.27848   0.0312133
          20     5.13147     5.27113   0.0305058
          21     5.20412     5.26794   0.0292195
          22     5.33249     5.27087   0.0280383
          23     5.33767     5.27377   0.0269693
          24     5.37892     5.27816   0.0261989
          25     5.45836     5.28536   0.0261238
          26     5.47419     5.29263    0.026109
          27     5.41124     5.29702    0.025509
          28     5.28407     5.29656   0.0246021
          29     5.24394     5.29474   0.0238206
          30     5.15867     5.29021   0.0234544
          31     5.30716     5.29075   0.0227042
          32     5.23527     5.28902   0.0220608
          33     5.05412      5.2819   0.0225114
          34     5.32296     5.28311   0.0218816
          35     5.36058     5.28532   0.0213681
          36     5.30504     5.28587   0.0207816
          37      5.1584     5.28243   0.0205035
          38     5.15192     5.27899   0.0202495
          39      5.1776     5.27639   0.0198965
          40     5.12479      5.2726   0.0197568
          41     5.48957     5.27789   0.0199711
          42     5.05855     5.27267   0.0201668
          43     5.42231     5.27615   0.0199959
          44     5.28399     5.27633   0.0195422
          45     5.24958     5.27573    0.019117
          46     5.18722     5.27381    0.018798
          47     5.08519      5.2698   0.0188216
          48     5.04496     5.26511   0.0190034
          49     5.15284     5.26282   0.0187532
          50     5.55376     5.26864   0.0192597
