#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
                   1  1.101936217550e+00  1.101936217550e+00  0.000000000000e+00
                   2  1.080064989801e+00  1.091000603676e+00  7.732646726905e-03
                   3  1.076834562207e+00  1.086278589853e+00  6.437388953695e-03
                   4  1.059782766011e+00  1.079654633892e+00  7.497838437112e-03
                   5  1.101843000449e+00  1.084092307204e+00  7.192607838716e-03
                   6  1.074974327496e+00  1.082572643919e+00  6.152283864561e-03
                   7  1.091487092875e+00  1.083846136627e+00  5.403582329218e-03
                   8  1.088821285426e+00  1.084468030227e+00  4.763786718918e-03
                   9  1.097362897893e+00  1.085900793301e+00  4.444717785616e-03
                  10  1.089427693566e+00  1.086253483327e+00  4.014214661206e-03
                  11  1.068912012364e+00  1.084676985967e+00  3.946731848743e-03
                  12  1.067424323425e+00  1.083239264089e+00  3.870857643429e-03
                  13  1.081946758266e+00  1.083139840564e+00  3.574375988738e-03
                  14  1.085319620499e+00  1.083295539131e+00  3.322452775074e-03
                  15  1.081137593133e+00  1.083151676064e+00  3.104069014805e-03
                  16  1.075245326462e+00  1.082657529214e+00  2.949134848793e-03
                  17  1.082692751845e+00  1.082659601133e+00  2.775657056095e-03
                  18  1.071243339939e+00  1.082025364400e+00  2.692940612610e-03
                  19  1.084123905070e+00  1.082135813909e+00  2.553470905149e-03
                  20  1.092988476255e+00  1.082678447027e+00  2.482784927497e-03
                  21  1.089162644342e+00  1.082987218327e+00  2.383679904048e-03
                  22  1.072229580433e+00  1.082498234787e+00  2.324944478354e-03
                  23  1.076659929256e+00  1.082244395416e+00  2.237674226415e-03
                  24  1.065504843672e+00  1.081546914093e+00  2.250516311148e-03
                  25  1.064586639564e+00  1.080868503112e+00  2.260436526922e-03
                  26  1.070788108450e+00  1.080480795625e+00  2.206495728964e-03
                  27  1.067560159114e+00  1.080002253532e+00  2.176047813487e-03
                  28  1.074268894751e+00  1.079797490718e+00  2.107943741068e-03
                  29  1.084844632215e+00  1.079971530080e+00  2.042428044731e-03
                  30  1.100831315833e+00  1.080666856272e+00  2.089356138359e-03
                  31  1.072020985570e+00  1.080387957217e+00  2.040487159153e-03
                  32  1.083554261236e+00  1.080486904218e+00  1.979119543011e-03
                  33  1.098147402533e+00  1.081022070833e+00  1.990187590575e-03
                  34  1.077135848041e+00  1.080907770163e+00  1.934932141827e-03
                  35  1.065580757624e+00  1.080469855519e+00  1.928566331632e-03
                  36  1.091088015907e+00  1.080764804419e+00  1.897415280626e-03
                  37  1.090284760791e+00  1.081022100537e+00  1.863497256820e-03
                  38  1.088853395195e+00  1.081228187238e+00  1.825817997563e-03
                  39  1.090370670214e+00  1.081462609879e+00  1.793988169695e-03
                  40  1.089272056219e+00  1.081657846037e+00  1.759729979278e-03
                  41  1.064496383252e+00  1.081239273774e+00  1.765889342816e-03
                  42  1.098050266148e+00  1.081639535497e+00  1.768624976814e-03
                  43  1.065547997519e+00  1.081265313684e+00  1.766641237022e-03
                  44  1.075304752935e+00  1.081129846394e+00  1.731676374207e-03
                  45  1.083302190130e+00  1.081178120699e+00  1.693867419817e-03
                  46  1.089646774339e+00  1.081362221866e+00  1.667018884232e-03
                  47  1.093039433485e+00  1.081610673177e+00  1.649961026862e-03
                  48  1.105385226016e+00  1.082105976361e+00  1.688293557224e-03
                  49  1.097942630716e+00  1.082429173388e+00  1.684490020104e-03
                  50  1.061477047981e+00  1.082010130880e+00  1.702123983890e-03
