#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -3.40984    -3.40984           0
           2    -3.40619    -3.40801  0.00128834
           3    -3.40701    -3.40768 0.000901395
           4    -3.40523    -3.40707  0.00085964
           5    -3.40651    -3.40696 0.000694731
           6    -3.40694    -3.40695 0.000578946
           7    -3.40843    -3.40716 0.000533387
           8    -3.40858    -3.40734 0.000495274
           9    -3.40713    -3.40732 0.000440825
          10    -3.40813     -3.4074 0.000404072
          11    -3.40491    -3.40717 0.000425846
          12    -3.40535    -3.40702 0.000416487
          13    -3.40649    -3.40698 0.000386435
          14    -3.40906    -3.40713 0.000386267
          15    -3.40862    -3.40723  0.00037308
          16    -3.40758    -3.40725 0.000350407
          17    -3.40841    -3.40732 0.000336358
          18    -3.40835    -3.40738  0.00032254
          19     -3.4075    -3.40738 0.000305631
          20    -3.40773     -3.4074 0.000290839
          21    -3.40455    -3.40726 0.000307006
          22    -3.40562    -3.40719 0.000301972
          23    -3.40807    -3.40723 0.000291267
          24    -3.40879    -3.40729 0.000286285
          25    -3.40642    -3.40726 0.000276944
          26    -3.40659    -3.40723 0.000267468
          27    -3.40413    -3.40712 0.000281183
          28    -3.40685    -3.40711 0.000271305
          29    -3.40735    -3.40712  0.00026208
          30    -3.40702    -3.40711 0.000253365
          31    -3.40644    -3.40709 0.000246115
          32    -3.40717    -3.40709 0.000238437
          33    -3.40982    -3.40718 0.000245136
          34    -3.40795     -3.4072 0.000238977
          35     -3.4071     -3.4072 0.000232167
          36    -3.40774    -3.40721 0.000226218
          37    -3.40739    -3.40722 0.000220155
          38    -3.40759    -3.40723 0.000214576
          39    -3.40865    -3.40726 0.000212161
          40    -3.40846    -3.40729 0.000208956
          41    -3.40702    -3.40729 0.000203961
          42    -3.40862    -3.40732 0.000201567
          43    -3.40848    -3.40734 0.000198673
          44    -3.40795    -3.40736 0.000194634
          45    -3.40911     -3.4074  0.00019418
          46    -3.40755     -3.4074 0.000189989
          47    -3.40628    -3.40738 0.000187424
          48    -3.40815    -3.40739 0.000184204
          49     -3.4062    -3.40737 0.000182052
          50     -3.4071    -3.40736 0.000178488
