#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1    0.910947    0.910947           0
           2    0.917743    0.914345  0.00240271
           3    0.912333    0.913675  0.00169285
           4     0.91174    0.913191  0.00133693
           5     0.91115    0.912783  0.00113016
           6    0.910805    0.912453 0.000988672
           7    0.917299    0.913145  0.00106249
           8    0.914183    0.913275 0.000937563
           9    0.916579    0.913642 0.000902391
          10    0.909926     0.91327 0.000885386
          11    0.913544    0.913295 0.000805246
          12    0.915729    0.913498 0.000763252
          13    0.912448    0.913417 0.000708802
          14    0.916257     0.91362 0.000686588
          15    0.913923     0.91364 0.000641112
          16    0.912987      0.9136 0.000602342
          17    0.916089    0.913746  0.00058444
          18    0.908908    0.913477 0.000610653
          19    0.914629    0.913538 0.000581513
          20    0.909435    0.913333 0.000587505
          21    0.916269    0.913473 0.000575931
          22    0.911997    0.913405 0.000553643
          23    0.915017    0.913476 0.000533988
          24    0.912323    0.913427 0.000513895
          25    0.912904    0.913407 0.000493765
          26    0.909994    0.913275 0.000491909
          27    0.908951    0.913115 0.000499079
          28    0.913702    0.913136 0.000481694
          29    0.912622    0.913118  0.00046541
          30     0.91089    0.913044 0.000455783
          31    0.914423    0.913089 0.000443245
          32     0.91293    0.913084 0.000429421
          33    0.913809    0.913106 0.000416971
          34    0.913405    0.913114   0.0004048
          35     0.91286    0.913107   0.0003933
          36    0.913156    0.913109 0.000382377
          37    0.908658    0.912988 0.000390504
          38     0.91596    0.913066 0.000387977
          39    0.910812    0.913009 0.000382311
          40    0.911206    0.912964   0.0003754
          41    0.909524     0.91288 0.000375499
          42    0.914588     0.91292 0.000368755
          43    0.920762    0.913103  0.00040275
          44    0.908673    0.913002 0.000405983
          45    0.915688    0.913062 0.000401325
          46    0.909053    0.912975  0.00040195
          47     0.91069    0.912926 0.000396327
          48    0.912554    0.912918 0.000388146
          49    0.915688    0.912975 0.000384319
          50    0.910536    0.912926 0.000379716
