#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -6.68049    -6.68049           0
           2     -6.6749     -6.6777  0.00197603
           3     -6.6767    -6.67737  0.00134487
           4    -6.68664    -6.67969  0.00224733
           5    -6.67615    -6.67898  0.00190565
           6    -6.68756    -6.68041  0.00205589
           7    -6.67599    -6.67978  0.00185641
           8    -6.67811    -6.67957  0.00163609
           9    -6.68102    -6.67973  0.00146226
          10    -6.67585    -6.67934  0.00136654
          11    -6.68028    -6.67943  0.00124496
          12    -6.67602    -6.67914  0.00117325
          13    -6.67628    -6.67892  0.00110345
          14    -6.68279     -6.6792  0.00105869
          15    -6.68376     -6.6795  0.00103081
          16    -6.68091    -6.67959 0.000970129
          17    -6.67563    -6.67936 0.000940645
          18    -6.68013     -6.6794 0.000889364
          19    -6.67744     -6.6793 0.000848551
          20    -6.67278    -6.67897  0.00086639
          21    -6.67285    -6.67868 0.000872783
          22    -6.68159    -6.67881 0.000843065
          23    -6.67769    -6.67876 0.000807831
          24    -6.67329    -6.67854 0.000805756
          25    -6.67842    -6.67853  0.00077354
          26      -6.676    -6.67843 0.000749895
          27    -6.67537    -6.67832 0.000730636
          28    -6.67585    -6.67823 0.000709837
          29    -6.67514    -6.67813 0.000693339
          30    -6.67093    -6.67789  0.00071056
          31    -6.67638    -6.67784 0.000689307
          32      -6.688    -6.67816 0.000737355
          33    -6.68207    -6.67827 0.000724513
          34    -6.67447    -6.67816 0.000711799
          35    -6.67826    -6.67816 0.000691467
          36    -6.67601    -6.67811  0.00067484
          37    -6.68418    -6.67827 0.000676278
          38    -6.68113    -6.67834 0.000662657
          39    -6.68006    -6.67839 0.000647125
          40    -6.67765    -6.67837 0.000631209
          41    -6.68157    -6.67845 0.000620632
          42    -6.67348    -6.67833  0.00061702
          43    -6.67659    -6.67829 0.000603998
          44    -6.67817    -6.67829 0.000590277
          45    -6.68022    -6.67833 0.000578722
          46    -6.68299    -6.67843 0.000574925
          47    -6.68214    -6.67851 0.000568072
          48    -6.68392    -6.67862 0.000567315
          49    -6.67295    -6.67851 0.000567431
          50     -6.6824    -6.67858 0.000561412
