#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
                   1  1.107059319636e+01  1.107059319636e+01  0.000000000000e+00
                   2  1.108925645614e+01  1.107992482625e+01  6.598458771945e-03
                   3  1.108323848729e+01  1.108102937993e+01  4.490469732012e-03
                   4  1.102967949603e+01  1.106819190896e+01  1.161649365658e-02
                   5  1.109901589876e+01  1.107435670692e+01  1.080589001537e-02
                   6  1.104258130014e+01  1.106906080579e+01  1.022059269131e-02
                   7  1.108363395863e+01  1.107114268476e+01  8.970036040385e-03
                   8  1.107603204238e+01  1.107175385447e+01  7.869574889730e-03
                   9  1.106738403911e+01  1.107126831943e+01  7.010139887239e-03
                  10  1.108730118242e+01  1.107287160573e+01  6.489880111680e-03
                  11  1.106263282472e+01  1.107194080745e+01  5.966266592173e-03
                  12  1.109124277832e+01  1.107354930503e+01  5.681766456172e-03
                  13  1.110001203748e+01  1.107558489983e+01  5.597487019179e-03
                  14  1.105664647069e+01  1.107423215489e+01  5.358632998237e-03
                  15  1.104332740823e+01  1.107217183845e+01  5.382919298887e-03
                  16  1.105934406786e+01  1.107137010279e+01  5.105843296493e-03
                  17  1.110221662187e+01  1.107318460391e+01  5.117769928594e-03
                  18  1.107193444437e+01  1.107311515060e+01  4.833920629688e-03
                  19  1.107643410700e+01  1.107328983252e+01  4.582658881279e-03
                  20  1.109704338000e+01  1.107447750989e+01  4.504801522266e-03
                  21  1.109373280746e+01  1.107539442882e+01  4.382609841533e-03
                  22  1.105476728903e+01  1.107445683156e+01  4.282518902663e-03
                  23  1.107566982641e+01  1.107450957047e+01  4.096647153652e-03
                  24  1.109491078451e+01  1.107535962105e+01  4.013176959520e-03
                  25  1.106454922014e+01  1.107492720501e+01  3.875876080120e-03
                  26  1.107933891543e+01  1.107509688618e+01  3.730516292507e-03
                  27  1.107928605689e+01  1.107525204066e+01  3.595574059725e-03
                  28  1.108088586687e+01  1.107545324873e+01  3.472785932389e-03
                  29  1.108437833419e+01  1.107576101030e+01  3.366644134451e-03
                  30  1.112425087644e+01  1.107737733917e+01  3.621698762096e-03
                  31  1.108240234932e+01  1.107753943627e+01  3.508495400857e-03
                  32  1.101649605066e+01  1.107563183047e+01  3.882970146294e-03
                  33  1.105507696380e+01  1.107500895573e+01  3.814935556649e-03
                  34  1.109724172883e+01  1.107566286082e+01  3.758355586401e-03
                  35  1.106893387078e+01  1.107547060396e+01  3.655888094349e-03
                  36  1.107574827137e+01  1.107547831694e+01  3.554343783538e-03
                  37  1.104310113990e+01  1.107460325810e+01  3.564370380498e-03
                  38  1.106332390006e+01  1.107430643289e+01  3.482908385892e-03
                  39  1.107311158009e+01  1.107427579564e+01  3.393737789476e-03
                  40  1.107814697485e+01  1.107437257512e+01  3.310273991091e-03
                  41  1.106492729733e+01  1.107414220249e+01  3.237541863488e-03
                  42  1.109298853847e+01  1.107459092478e+01  3.191402422554e-03
                  43  1.108424255285e+01  1.107481538124e+01  3.125066985551e-03
                  44  1.107676468237e+01  1.107485968354e+01  3.054356744117e-03
                  45  1.107882064520e+01  1.107494770491e+01  2.987750193663e-03
                  46  1.106095377348e+01  1.107464348901e+01  2.938246077234e-03
                  47  1.106043267378e+01  1.107434113124e+01  2.891245287407e-03
                  48  1.105227784864e+01  1.107388147952e+01  2.867316059724e-03
                  49  1.110649416826e+01  1.107454704460e+01  2.885011373580e-03
                  50  1.106019151707e+01  1.107425993405e+01  2.841561566593e-03
