#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
                   1  7.886583219845e-01  7.886583219845e-01  0.000000000000e+00
                   2  7.844208887439e-01  7.865396053642e-01  1.498158889634e-03
                   3  7.856805443515e-01  7.862532516933e-01  1.025774004975e-03
                   4  7.924868515870e-01  7.878116516667e-01  1.553488745324e-03
                   5  7.853971812717e-01  7.873287575877e-01  1.315704683288e-03
                   6  7.926391881997e-01  7.882138293564e-01  1.361958673421e-03
                   7  7.860856943133e-01  7.879098100645e-01  1.200845756923e-03
                   8  7.865024109267e-01  7.877338851723e-01  1.063548540371e-03
                   9  7.886062823559e-01  7.878308181927e-01  9.497835010416e-04
                  10  7.860844203493e-01  7.876561784083e-01  8.707129233659e-04
                  11  7.885698019012e-01  7.877392350895e-01  7.955086986426e-04
                  12  7.856305154109e-01  7.875635084496e-01  7.483735387462e-04
                  13  7.854311066759e-01  7.873994775440e-01  7.085547538879e-04
                  14  7.902402501993e-01  7.876023898765e-01  6.863835435953e-04
                  15  7.909595024996e-01  7.878261973847e-01  6.761289898689e-04
                  16  7.888928980372e-01  7.878928661755e-01  6.371493432067e-04
                  17  7.851279580324e-01  7.877302245200e-01  6.200809326101e-04
                  18  7.880904662708e-01  7.877502379506e-01  5.859548747799e-04
                  19  7.864846496341e-01  7.876836280392e-01  5.588883466048e-04
                  20  7.836811411131e-01  7.874835036929e-01  5.656400996309e-04
                  21  7.846152710725e-01  7.873469211872e-01  5.549498902661e-04
                  22  7.898526544492e-01  7.874608181536e-01  5.412867296196e-04
                  23  7.871782279778e-01  7.874485316242e-01  5.178919496142e-04
                  24  7.840393224201e-01  7.873064812407e-01  5.154262895428e-04
                  25  7.879527974189e-01  7.873323338879e-01  4.954571696541e-04
                  26  7.853851021984e-01  7.872574403613e-01  4.820283597290e-04
                  27  7.851224805493e-01  7.871783677757e-01  4.706163576138e-04
                  28  7.853016219257e-01  7.871113411382e-01  4.585568605667e-04
                  29  7.846897298194e-01  7.870278372996e-01  4.502834524469e-04
                  30  7.823964364876e-01  7.868734572726e-01  4.609796216608e-04
                  31  7.863222666089e-01  7.868556769286e-01  4.464520804774e-04
                  32  7.930283212726e-01  7.870485720643e-01  4.723371767504e-04
                  33  7.889214582851e-01  7.871053261922e-01  4.614210046613e-04
                  34  7.844534159588e-01  7.870273288324e-01  4.543942134517e-04
                  35  7.873538073369e-01  7.870366567897e-01  4.415072549699e-04
                  36  7.865401955380e-01  7.870228661994e-01  4.294584868339e-04
                  37  7.907024279321e-01  7.871223138138e-01  4.292113838203e-04
                  38  7.887237234972e-01  7.871644561739e-01  4.199801372252e-04
                  39  7.884634006715e-01  7.871977624430e-01  4.105299581899e-04
                  40  7.870781394338e-01  7.871947718678e-01  4.002776017606e-04
                  41  7.893987284276e-01  7.872485269058e-01  3.941077048022e-04
                  42  7.841781488185e-01  7.871754226657e-01  3.914456376159e-04
                  43  7.860314906682e-01  7.871488195960e-01  3.832451712727e-04
                  44  7.871088002848e-01  7.871479100662e-01  3.745361330006e-04
                  45  7.889647495756e-01  7.871882842775e-01  3.683828081660e-04
                  46  7.895161765886e-01  7.872388906321e-01  3.638338899599e-04
                  47  7.895541213082e-01  7.872881508592e-01  3.594119957740e-04
                  48  7.909607568763e-01  7.873646634846e-01  3.599762416355e-04
                  49  7.838056611145e-01  7.872920307831e-01  3.598827768185e-04
                  50  7.898164711108e-01  7.873425195897e-01  3.562091126996e-04
