#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
                   1     -5.497505339746     -5.497505339746      0.000000000000
                   2     -5.498272434926     -5.497888887336      0.000271209105
                   3     -5.498182921321     -5.497986898664      0.000197724503
                   4     -5.497912259993     -5.497968238996      0.000149171258
                   5     -5.498057982849     -5.497986187767      0.000120411996
                   6     -5.498602396955     -5.498088889298      0.000137326079
                   7     -5.496866432381     -5.497914252596      0.000199990782
                   8     -5.498352302452     -5.497969008828      0.000182333873
                   9     -5.498114665809     -5.497985192937      0.000162791226
                  10     -5.496725147983     -5.497859188441      0.000189090499
                  11     -5.497425484652     -5.497819760824      0.000175963009
                  12     -5.497569700826     -5.497798922491      0.000162528628
                  13     -5.498136179935     -5.497824865371      0.000152082835
                  14     -5.497433551546     -5.497796914384      0.000143765360
                  15     -5.497319993847     -5.497765119681      0.000137651920
                  16     -5.497572061718     -5.497753053559      0.000129576432
                  17     -5.497938068756     -5.497763936805      0.000122410483
                  18     -5.497995388363     -5.497776795225      0.000116283287
                  19     -5.497709491591     -5.497773252929      0.000110217054
                  20     -5.497262351674     -5.497747707866      0.000107625793
                  21     -5.495929342545     -5.497661119041      0.000132842010
                  22     -5.496811097642     -5.497622481705      0.000132303344
                  23     -5.496920090411     -5.497591942953      0.000130027801
                  24     -5.497229170490     -5.497576827434      0.000125485479
                  25     -5.496488993488     -5.497533314076      0.000127787899
                  26     -5.497921806711     -5.497548256100      0.000123743470
                  27     -5.497690595487     -5.497553527929      0.000119272622
                  28     -5.497900934804     -5.497565935318      0.000115656428
                  29     -5.498102768562     -5.497584446809      0.000113140013
                  30     -5.497330878991     -5.497575994548      0.000109683942
                  31     -5.496892595562     -5.497553949420      0.000108338503
                  32     -5.498461478792     -5.497582309713      0.000108601510
                  33     -5.498692220513     -5.497615943373      0.000110395909
                  34     -5.497787809048     -5.497620998246      0.000107264636
                  35     -5.497230641966     -5.497609845210      0.000104778156
                  36     -5.496201797848     -5.497570732783      0.000108923398
                  37     -5.498125953972     -5.497585738761      0.000107008189
                  38     -5.498044124951     -5.497597801555      0.000104869885
                  39     -5.497365133638     -5.497591835711      0.000102350467
                  40     -5.497034238677     -5.497577895786      0.000100736528
                  41     -5.497476137536     -5.497575413877      0.000098310108
                  42     -5.497214074987     -5.497566810570      0.000096345103
                  43     -5.497540926276     -5.497566208610      0.000094106400
                  44     -5.497508285069     -5.497564892166      0.000091976825
                  45     -5.496773512861     -5.497547305959      0.000091598731
                  46     -5.498711463054     -5.497572613722      0.000093037924
                  47     -5.497805195411     -5.497577562268      0.000091189901
                  48     -5.497480450826     -5.497575539113      0.000089312552
                  49     -5.497240357720     -5.497568698677      0.000087751411
                  50     -5.497680007089     -5.497570924845      0.000086024615
