#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     1.80468     1.80468           0
           2     1.81323     1.80895  0.00302217
           3     1.81779      1.8119  0.00313725
           4     1.81662     1.81308  0.00256512
           5     1.81106     1.81267  0.00208367
           6     1.80543     1.81147  0.00205668
           7     1.80412     1.81042  0.00201286
           8      1.8076     1.81006  0.00179173
           9     1.81297     1.81039  0.00162149
          10     1.81783     1.81113  0.00162124
          11     1.82179      1.8121  0.00173941
          12     1.82535     1.81321  0.00191318
          13      1.8288      1.8144  0.00210879
          14      1.8319     1.81565  0.00229888
          15     1.83419     1.81689  0.00245551
          16     1.83523     1.81804   0.0025556
          17     1.83462     1.81901  0.00258485
          18     1.83198     1.81973  0.00253962
          19     1.82686     1.82011  0.00243349
          20     1.81902     1.82005  0.00231242
          21     1.80881     1.81952  0.00226339
          22     1.79748     1.81852  0.00237187
          23     1.78714     1.81715  0.00263194
          24     1.78052     1.81563  0.00293155
          25     1.78005      1.8142  0.00314071
          26     1.78588     1.81311  0.00320322
          27      1.7952     1.81245  0.00315257
          28     1.80437     1.81216  0.00305316
          29     1.81107     1.81212  0.00294811
          30     1.81443      1.8122  0.00285085
          31     1.81463     1.81228  0.00275996
          32     1.81278     1.81229  0.00267376
          33     1.81076     1.81225  0.00259314
          34     1.81026     1.81219  0.00251752
          35     1.81155     1.81217  0.00244566
          36     1.81345     1.81221  0.00237798
          37     1.81448     1.81227   0.0023145
          38      1.8138     1.81231  0.00225395
          39     1.81122     1.81228  0.00219633
          40     1.80687     1.81215  0.00214558
          41      1.8011     1.81188  0.00211009
          42     1.79478     1.81147  0.00209875
          43     1.78948     1.81096   0.0021113
          44      1.7867     1.81041  0.00213406
          45     1.78645     1.80987  0.00215203
          46     1.78699     1.80938  0.00216197
          47     1.78636     1.80889  0.00217073
          48     1.78382     1.80836  0.00218742
          49      1.7803     1.80779  0.00221648
          50     1.77768     1.80719  0.00225248
