#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1   -0.330701   -0.330701           0
           2   -0.339131   -0.334916  0.00298056
           3   -0.343419    -0.33775  0.00305031
           4   -0.341963   -0.338804  0.00246284
           5   -0.336281   -0.338299  0.00202131
           6   -0.330777   -0.337045  0.00203644
           7    -0.32973      -0.336  0.00199573
           8   -0.333381   -0.335673  0.00177292
           9   -0.338755   -0.336015  0.00160866
          10   -0.343573   -0.336771  0.00161558
          11   -0.347493   -0.337746  0.00173803
          12   -0.351047   -0.338854  0.00191429
          13   -0.354476   -0.340056  0.00211077
          14   -0.357543   -0.341305  0.00230007
          15   -0.359774   -0.342536  0.00245428
          16    -0.36074   -0.343674    0.002551
          17   -0.360039   -0.344637  0.00257619
          18   -0.357277   -0.345339  0.00252697
          19   -0.352014    -0.34569  0.00241827
          20   -0.344044   -0.345608  0.00229876
          21   -0.333745   -0.345043  0.00225764
          22   -0.322412   -0.344014  0.00237785
          23   -0.312191   -0.342631  0.00264658
          24   -0.305828   -0.341097  0.00294726
          25   -0.305689   -0.339681  0.00315137
          26   -0.311776   -0.338608  0.00320771
          27   -0.321159   -0.337961  0.00315334
          28   -0.330249   -0.337686  0.00305272
          29   -0.336798   -0.337655  0.00294761
          30   -0.339989   -0.337733  0.00285038
          31   -0.340043   -0.337808  0.00275941
          32   -0.338133   -0.337818   0.0026732
          33   -0.336156   -0.337767  0.00259267
          34   -0.335756   -0.337708  0.00251709
          35   -0.337125   -0.337692  0.00244522
          36   -0.339003   -0.337728  0.00237757
          37   -0.339951   -0.337788  0.00231407
          38   -0.339175   -0.337825  0.00225346
          39   -0.336517   -0.337791  0.00219593
          40   -0.332089   -0.337649  0.00214566
          41   -0.326265   -0.337371  0.00211121
          42   -0.319966   -0.336957  0.00210122
          43    -0.31477   -0.336441  0.00211475
          44   -0.312132   -0.335888  0.00213763
          45   -0.311963   -0.335356  0.00215524
          46   -0.312499    -0.33486  0.00216491
          47   -0.311775   -0.334368  0.00217385
          48   -0.309159   -0.333843  0.00219108
          49    -0.30564   -0.333268  0.00222068
          50   -0.303103   -0.332664  0.00225672
