#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1    -41.9307    -41.9307           0
           2    -54.6614     -48.296       4.501
           3    -61.5363    -52.7095     4.68929
           4    -59.9454    -54.5184     3.85012
           5      -52.21    -54.0568     3.10765
           6    -45.0929    -52.5628     2.92687
           7    -45.1224    -51.4999     2.69485
           8     -52.763    -51.6578     2.36261
           9    -63.5465    -52.9787     2.44162
          10    -73.7944    -55.0603      2.9544
          11    -82.6558     -57.569     3.59652
          12    -90.5985    -60.3214     4.22062
          13    -97.7534    -63.2008     4.77824
          14    -103.572    -66.0844     5.23524
          15    -107.187    -68.8246     5.55727
          16     -107.82    -71.2619     5.71947
          17    -104.826    -73.2362     5.71366
          18    -97.6434    -74.5922      5.5548
          19    -85.8017    -75.1822     5.29368
          20     -69.316    -74.8889     5.03711
          21     -49.261    -73.6685     4.94288
          22    -28.2022    -71.6018     5.13209
          23    -10.0269    -68.9247     5.56358
          24    0.622474    -66.0269     6.03946
          25  -0.0332353    -63.3871     6.34862
          26    -11.9235    -61.4078     6.40558
          27    -30.3368     -60.257     6.27085
          28    -49.3538    -59.8676     6.05897
          29    -64.9797    -60.0439      5.8526
          30    -75.4915    -60.5588     5.68012
          31     -80.927    -61.2158     5.53476
          32     -82.942    -61.8948     5.40329
          33     -84.384    -62.5763     5.28235
          34    -87.7268     -63.316     5.17852
          35    -93.2588    -64.1715     5.10074
          36    -99.0909    -65.1415     5.05044
          37    -102.981    -66.1641     5.01642
          38    -103.658    -67.1508      4.9805
          39    -100.881    -68.0157     4.92732
          40    -94.9616    -68.6894     4.84996
          41    -86.6945    -69.1285     4.75151
          42    -77.7538    -69.3339     4.64282
          43    -70.7875    -69.3677     4.53497
          44    -68.1349    -69.3397     4.43199
          45    -69.7327    -69.3484     4.33351
          46    -72.9404    -69.4265        4.24
          47    -74.8013    -69.5408     4.15133
          48    -74.3431    -69.6409     4.06605
          49    -73.0799    -69.7111     3.98368
          50     -73.884    -69.7945     3.90488
