#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.20312     1.20312           0
           2     1.20882     1.20597  0.00201478
           3     1.21186     1.20793   0.0020915
           4     1.21108     1.20872  0.00171008
           5     1.20737     1.20845  0.00138911
           6     1.20362     1.20764  0.00137112
           7     1.20275     1.20694   0.0013419
           8     1.20507     1.20671  0.00119449
           9     1.20865     1.20692  0.00108099
          10     1.21189     1.20742  0.00108083
          11     1.21453     1.20807  0.00115961
          12      1.2169      1.2088  0.00127545
          13      1.2192      1.2096  0.00140586
          14     1.22127     1.21044  0.00153259
          15      1.2228     1.21126  0.00163701
          16     1.22349     1.21202  0.00170373
          17     1.22308     1.21267  0.00172323
          18     1.22132     1.21316  0.00169308
          19     1.21791     1.21341  0.00162232
          20     1.21268     1.21337  0.00154161
          21     1.20588     1.21301  0.00150893
          22     1.19832     1.21234  0.00158125
          23     1.19143     1.21143  0.00175462
          24     1.18702     1.21042  0.00195436
          25      1.1867     1.20947   0.0020938
          26     1.19059     1.20874  0.00213548
          27      1.1968      1.2083  0.00210171
          28     1.20291     1.20811  0.00203544
          29     1.20738     1.20808  0.00196541
          30     1.20962     1.20813  0.00190057
          31     1.20975     1.20819  0.00183997
          32     1.20852      1.2082   0.0017825
          33     1.20718     1.20817  0.00172876
          34     1.20684     1.20813  0.00167835
          35      1.2077     1.20811  0.00163044
          36     1.20897     1.20814  0.00158532
          37     1.20965     1.20818    0.001543
          38      1.2092     1.20821  0.00150263
          39     1.20748     1.20819  0.00146422
          40     1.20458      1.2081  0.00143038
          41     1.20073     1.20792  0.00140673
          42     1.19652     1.20765  0.00139916
          43     1.19299     1.20731  0.00140753
          44     1.19114     1.20694  0.00142271
          45     1.19096     1.20658  0.00143469
          46     1.19133     1.20625  0.00144131
          47     1.19091     1.20592  0.00144715
          48     1.18921     1.20558  0.00145828
          49     1.18687     1.20519  0.00147765
          50     1.18512     1.20479  0.00150166
