#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1      1.6529      1.6529           0
           2      1.6201      1.6365    0.011599
           3     1.61525     1.62942  0.00965608
           4     1.58967     1.61948   0.0112468
           5     1.65276     1.62614   0.0107889
           6     1.61246     1.62386  0.00922843
           7     1.63723     1.62577  0.00810537
           8     1.63323      1.6267  0.00714568
           9     1.64604     1.62885  0.00666708
          10     1.63414     1.62938  0.00602132
          11     1.60337     1.62702   0.0059201
          12     1.60114     1.62486  0.00580629
          13     1.62292     1.62471  0.00536156
          14     1.62798     1.62494  0.00498368
          15     1.62171     1.62473   0.0046561
          16     1.61287     1.62399   0.0044237
          17     1.62404     1.62399  0.00416349
          18     1.60687     1.62304  0.00403941
          19     1.62619      1.6232  0.00383021
          20     1.63948     1.62402  0.00372418
          21     1.63374     1.62448  0.00357552
          22     1.60834     1.62375  0.00348742
          23     1.61499     1.62337  0.00335651
          24     1.59826     1.62232  0.00337577
          25     1.59688      1.6213  0.00339065
          26     1.60618     1.62072  0.00330974
          27     1.60134        1.62  0.00326407
          28      1.6114      1.6197  0.00316192
          29     1.62727     1.61996  0.00306364
          30     1.65125       1.621  0.00313403
          31     1.60803     1.62058  0.00306073
          32     1.62533     1.62073  0.00296868
          33     1.64722     1.62153  0.00298528
          34      1.6157     1.62136   0.0029024
          35     1.59837      1.6207  0.00289285
          36     1.63663     1.62115  0.00284612
          37     1.63543     1.62153  0.00279525
          38     1.63328     1.62184  0.00273873
          39     1.63556     1.62219  0.00269098
          40     1.63391     1.62249  0.00263959
          41     1.59674     1.62186  0.00264883
          42     1.64708     1.62246  0.00265294
          43     1.59832      1.6219  0.00264996
          44     1.61296     1.62169  0.00259751
          45     1.62495     1.62177   0.0025408
          46     1.63447     1.62204  0.00250053
          47     1.63956     1.62242  0.00247494
          48     1.65808     1.62316  0.00253244
          49     1.64691     1.62364  0.00252674
          50     1.59222     1.62302  0.00255319
