#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1     436.169     436.169           0
           2     536.306     486.238     35.4035
           3     538.531     503.669     27.5615
           4     571.248     520.564     25.3253
           5     435.582     503.567     25.3294
           6     571.945     514.963     23.5323
           7     439.309     504.156      22.516
           8     451.365     497.557     20.6459
           9     458.084     493.171      18.812
          10     455.403     489.394     17.3057
          11     549.487     494.857     16.5723
          12     564.615      500.67     16.1788
          13     505.979     501.079     14.9394
          14     458.295     498.023     14.1814
          15     486.636     497.264     13.2563
          16     546.293     500.328      12.777
          17     503.104     500.491     12.0265
          18     522.043     501.689     11.4178
          19     472.009     500.127     10.9232
          20     445.706     497.405     10.7106
          21     482.739     496.707     10.2233
          22     515.899     497.579     9.79576
          23     519.872     498.549     9.41768
          24     527.704     499.763     9.10329
          25     565.349     502.387     9.10933
          26     568.038     504.912     9.10221
          27     551.361     506.632     8.92618
          28     501.088     506.434     8.60959
          29     493.661     505.994     8.32396
          30     479.351     505.106     8.09374
          31     507.242     505.175     7.83294
          32     489.978       504.7     7.60255
          33     427.628     502.364     7.72258
          34      520.11     502.886     7.51306
          35     522.105     503.435     7.31844
          36     503.766     503.444     7.11515
          37     461.348     502.307     7.01323
          38     464.299     501.306     6.89962
          39     459.587     500.237     6.80513
          40      439.33     498.714     6.80322
          41     575.348     500.583     6.88927
          42     420.021     498.665     6.98717
          43     547.455       499.8     6.91619
          44     501.077     499.829     6.75906
          45     483.881     499.474     6.61815
          46     470.627     498.847     6.50392
          47     428.577     497.352     6.53512
          48     422.982     495.803     6.58008
          49     461.711     495.107     6.48247
          50     588.442     496.974     6.61614
