#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.10194     1.10194           0
           2     1.08006       1.091  0.00773265
           3     1.07683     1.08628  0.00643739
           4     1.05978     1.07965  0.00749784
           5     1.10184     1.08409  0.00719261
           6     1.07497     1.08257  0.00615228
           7     1.09149     1.08385  0.00540358
           8     1.08882     1.08447  0.00476379
           9     1.09736      1.0859  0.00444472
          10     1.08943     1.08625  0.00401421
          11     1.06891     1.08468  0.00394673
          12     1.06742     1.08324  0.00387086
          13     1.08195     1.08314  0.00357438
          14     1.08532      1.0833  0.00332245
          15     1.08114     1.08315  0.00310407
          16     1.07525     1.08266  0.00294913
          17     1.08269     1.08266  0.00277566
          18     1.07124     1.08203  0.00269294
          19     1.08412     1.08214  0.00255347
          20     1.09299     1.08268  0.00248278
          21     1.08916     1.08299  0.00238368
          22     1.07223      1.0825  0.00232494
          23     1.07666     1.08224  0.00223767
          24      1.0655     1.08155  0.00225052
          25     1.06459     1.08087  0.00226044
          26     1.07079     1.08048   0.0022065
          27     1.06756        1.08  0.00217605
          28     1.07427      1.0798  0.00210794
          29     1.08484     1.07997  0.00204243
          30     1.10083     1.08067  0.00208936
          31     1.07202     1.08039  0.00204049
          32     1.08355     1.08049  0.00197912
          33     1.09815     1.08102  0.00199019
          34     1.07714     1.08091  0.00193493
          35     1.06558     1.08047  0.00192857
          36     1.09109     1.08076  0.00189742
          37     1.09028     1.08102   0.0018635
          38     1.08885     1.08123  0.00182582
          39     1.09037     1.08146  0.00179399
          40     1.08927     1.08166  0.00175973
          41      1.0645     1.08124  0.00176589
          42     1.09805     1.08164  0.00176862
          43     1.06555     1.08127  0.00176664
          44      1.0753     1.08113  0.00173168
          45      1.0833     1.08118  0.00169387
          46     1.08965     1.08136  0.00166702
          47     1.09304     1.08161  0.00164996
          48     1.10539     1.08211  0.00168829
          49     1.09794     1.08243  0.00168449
          50     1.06148     1.08201  0.00170212
