#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1      1.2085      1.2085           0
           2     1.19625     1.20237  0.00433018
           3     1.14194     1.18223   0.0167003
           4     1.05371      1.1501   0.0305148
           5    0.945495     1.10918   0.0439945
           6    0.836398     1.06371   0.0553761
           7     0.74998     1.01889   0.0630455
           8    0.703795    0.979507    0.066337
           9    0.698255    0.948256   0.0659173
          10    0.722872    0.925718   0.0630611
          11    0.767393    0.911325    0.058948
          12    0.820893    0.903789   0.0545152
          13    0.869147    0.901124   0.0503868
          14    0.901558    0.901155   0.0467878
          15    0.917044    0.902214   0.0436806
          16    0.921818     0.90344   0.0409677
          17      0.9247     0.90469   0.0385769
          18     0.93345    0.906288   0.0364668
          19    0.950309    0.908605   0.0346211
          20    0.968125    0.911581   0.0330177
          21    0.974442    0.914574   0.0315808
          22    0.960396    0.916657   0.0302139
          23    0.928551    0.917174   0.0289047
          24    0.894146    0.916215   0.0277162
          25    0.875368    0.914581   0.0266557
          26    0.881252    0.913299   0.0256613
          27     0.90645    0.913045   0.0247121
          28    0.936743    0.913892    0.023844
          29    0.961105     0.91552   0.0230773
          30    0.975284    0.917512   0.0223939
          31    0.975756    0.919391   0.0217502
          32    0.958158    0.920602   0.0211042
          33    0.924585    0.920723   0.0204651
          34    0.888422    0.919773   0.0198852
          35    0.867964    0.918293    0.019372
          36    0.871458    0.916992   0.0188776
          37    0.889289    0.916243   0.0183822
          38    0.906493    0.915986   0.0179003
          39    0.916806    0.916007   0.0174413
          40    0.920665    0.916124   0.0170056
          41    0.915263    0.916103   0.0165909
          42     0.89474    0.915594   0.0162037
          43    0.862898    0.914369   0.0158731
          44    0.840494     0.91269   0.0156009
          45      0.8514    0.911328   0.0153135
          46    0.899276    0.911066   0.0149829
          47    0.962969     0.91217   0.0147047
          48       1.015    0.914312   0.0145536
          49     1.03769     0.91683   0.0144727
          50     1.02728    0.919039   0.0143509
