#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -7.22229    -7.22229           0
           2    -7.20888    -7.21558  0.00474432
           3    -7.14873     -7.1933    0.018468
           4    -7.05432    -7.15856   0.0331248
           5    -6.94443    -7.11573   0.0465771
           6     -6.8339    -7.06876   0.0578371
           7    -6.75023    -7.02326   0.0650575
           8    -6.70587    -6.98358   0.0679533
           9     -6.7016    -6.95225    0.067239
          10    -6.72696    -6.92972   0.0641787
          11    -6.77188    -6.91537   0.0599269
          12    -6.82726    -6.90803    0.055381
          13    -6.87602    -6.90557   0.0511756
          14    -6.91077    -6.90594   0.0475216
          15    -6.92518    -6.90722   0.0443708
          16    -6.92922     -6.9086   0.0416189
          17    -6.93206    -6.90998   0.0391936
          18    -6.93955    -6.91162   0.0370506
          19     -6.9562    -6.91397   0.0351748
          20     -6.9747      -6.917   0.0335469
          21    -6.97985       -6.92   0.0320826
          22    -6.96276    -6.92194   0.0306831
          23    -6.92837    -6.92222   0.0293503
          24    -6.89425    -6.92105   0.0281505
          25    -6.87964     -6.9194   0.0270732
          26    -6.88857    -6.91821   0.0260579
          27    -6.91279    -6.91801   0.0250936
          28    -6.94239    -6.91888   0.0242125
          29     -6.9678    -6.92057   0.0234362
          30    -6.98123    -6.92259   0.0227421
          31    -6.98163    -6.92449   0.0220881
          32    -6.96274    -6.92569   0.0214301
          33    -6.92896    -6.92579    0.020781
          34    -6.89403    -6.92485   0.0201908
          35     -6.8755    -6.92344   0.0196631
          36    -6.87853     -6.9222   0.0191564
          37    -6.89738    -6.92153   0.0186504
          38     -6.9147    -6.92135   0.0181605
          39    -6.92436    -6.92142    0.017695
          40    -6.92861     -6.9216   0.0172535
          41    -6.92273    -6.92163   0.0168327
          42    -6.90098    -6.92114   0.0164391
          43    -6.86925    -6.91993   0.0161011
          44     -6.8472    -6.91828   0.0158198
          45      -6.862    -6.91703   0.0155176
          46      -6.912    -6.91692   0.0151806
          47    -6.97415    -6.91814   0.0149064
          48    -7.02571    -6.92038   0.0147634
          49    -7.04867      -6.923   0.0146924
          50     -7.0394    -6.92532   0.0145819
