#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1     1658.87     1658.87           0
           2     1679.69     1669.28     7.36189
           3     1773.18     1703.91     28.7004
           4      1922.7     1758.61     52.0306
           5     2101.46     1827.18     74.1217
           6     2280.31      1902.7     92.5643
           7     2418.81     1976.43     104.663
           8     2492.75     2040.97     109.689
           9     2501.21     2092.11     108.771
          10     2460.47     2128.94     103.944
          11     2387.26     2152.43     97.1109
          12     2298.96     2164.64     89.7828
          13     2220.49     2168.94     82.9792
          14     2166.58     2168.77     77.0523
          15     2142.09     2166.99      71.936
          16     2134.42     2164.95     67.4688
          17     2129.06     2162.84      63.533
          18     2114.83     2160.18     60.0594
          19     2087.23     2156.34     57.0209
          20     2058.11     2151.43      54.381
          21      2048.8     2146.54     52.0105
          22     2072.71     2143.18     49.7545
          23     2123.64     2142.33     47.5986
          24     2176.28     2143.75     45.6363
          25     2202.18     2146.08     43.8706
          26     2191.14     2147.82     42.2175
          27     2153.56     2148.03     40.6544
          28     2108.44     2146.62     39.2271
          29     2071.94     2144.04     37.9588
          30     2053.36     2141.02     36.8137
          31     2056.67      2138.3     35.7266
          32     2088.66     2136.75     34.6438
          33     2142.86     2136.93     33.5945
          34     2197.35     2138.71     32.6533
          35     2224.85     2141.17      31.813
          36     2216.31     2143.26     30.9977
          37     2185.31     2144.39     30.1808
          38     2157.07     2144.73     29.3884
          39     2141.87     2144.65     28.6349
          40     2138.67      2144.5     27.9194
          41     2152.61      2144.7     27.2392
          42      2190.4     2145.79     26.6123
          43     2241.81     2148.02      26.087
          44     2273.86     2150.88     25.6504
          45     2248.33     2153.05     25.1716
          46     2164.99     2153.31     24.6257
          47     2059.62     2151.31     24.1823
          48     1973.64     2147.61     23.9601
          49     1936.24      2143.3     23.8563
          50     1953.75     2139.51     23.6785
