#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1    0.805664    0.805664           0
           2    0.797499    0.801582  0.00288679
           3     0.76129    0.788151   0.0111335
           4     0.70247    0.766731   0.0203432
           5     0.63033    0.739451   0.0293297
           6    0.557599    0.709142   0.0369174
           7    0.499986    0.679263   0.0420303
           8    0.469197    0.653004   0.0442247
           9    0.465503    0.632171   0.0439448
          10    0.481915    0.617145   0.0420407
          11    0.511596     0.60755   0.0392986
          12    0.547262    0.602526   0.0363435
          13    0.579431    0.600749   0.0335912
          14    0.601039     0.60077   0.0311918
          15    0.611363    0.601476   0.0291204
          16    0.614546    0.602293   0.0273118
          17    0.616467    0.603127    0.025718
          18      0.6223    0.604192   0.0243112
          19     0.63354    0.605737   0.0230807
          20    0.645417    0.607721   0.0220118
          21    0.649628    0.609716   0.0210539
          22    0.640264    0.611105   0.0201426
          23    0.619034     0.61145   0.0192698
          24    0.596098     0.61081   0.0184775
          25    0.583579    0.609721   0.0177705
          26    0.587502    0.608866   0.0171075
          27      0.6043    0.608697   0.0164748
          28    0.624496    0.609261    0.015896
          29    0.640736    0.610347   0.0153849
          30     0.65019    0.611675   0.0149293
          31    0.650504    0.612927   0.0145001
          32    0.638772    0.613735   0.0140695
          33     0.61639    0.613815   0.0136434
          34    0.592281    0.613182   0.0132568
          35    0.578643    0.612195   0.0129147
          36    0.580972    0.611328    0.012585
          37     0.59286    0.610829   0.0122548
          38    0.604329    0.610658   0.0119335
          39    0.611204    0.610672   0.0116275
          40    0.613777    0.610749   0.0113371
          41    0.610176    0.610735   0.0110606
          42    0.596493    0.610396   0.0108024
          43    0.575265    0.609579   0.0105821
          44     0.56033     0.60846   0.0104006
          45      0.5676    0.607552    0.010209
          46    0.599518    0.607377  0.00998859
          47    0.641979    0.608113  0.00980316
          48    0.676663    0.609542  0.00970239
          49    0.691791     0.61122  0.00964849
          50    0.684854    0.612693  0.00956725
