#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -5.49751    -5.49751           0
           2    -5.49827    -5.49789 0.000271209
           3    -5.49818    -5.49799 0.000197725
           4    -5.49791    -5.49797 0.000149171
           5    -5.49806    -5.49799 0.000120412
           6     -5.4986    -5.49809 0.000137326
           7    -5.49687    -5.49791 0.000199991
           8    -5.49835    -5.49797 0.000182334
           9    -5.49811    -5.49799 0.000162791
          10    -5.49673    -5.49786  0.00018909
          11    -5.49743    -5.49782 0.000175963
          12    -5.49757     -5.4978 0.000162529
          13    -5.49814    -5.49782 0.000152083
          14    -5.49743     -5.4978 0.000143765
          15    -5.49732    -5.49777 0.000137652
          16    -5.49757    -5.49775 0.000129576
          17    -5.49794    -5.49776  0.00012241
          18      -5.498    -5.49778 0.000116283
          19    -5.49771    -5.49777 0.000110217
          20    -5.49726    -5.49775 0.000107626
          21    -5.49593    -5.49766 0.000132842
          22    -5.49681    -5.49762 0.000132303
          23    -5.49692    -5.49759 0.000130028
          24    -5.49723    -5.49758 0.000125485
          25    -5.49649    -5.49753 0.000127788
          26    -5.49792    -5.49755 0.000123743
          27    -5.49769    -5.49755 0.000119273
          28     -5.4979    -5.49757 0.000115656
          29     -5.4981    -5.49758  0.00011314
          30    -5.49733    -5.49758 0.000109684
          31    -5.49689    -5.49755 0.000108339
          32    -5.49846    -5.49758 0.000108602
          33    -5.49869    -5.49762 0.000110396
          34    -5.49779    -5.49762 0.000107265
          35    -5.49723    -5.49761 0.000104778
          36     -5.4962    -5.49757 0.000108923
          37    -5.49813    -5.49759 0.000107008
          38    -5.49804     -5.4976  0.00010487
          39    -5.49737    -5.49759  0.00010235
          40    -5.49703    -5.49758 0.000100737
          41    -5.49748    -5.49758 9.83101e-05
          42    -5.49721    -5.49757 9.63451e-05
          43    -5.49754    -5.49757 9.41064e-05
          44    -5.49751    -5.49756 9.19768e-05
          45    -5.49677    -5.49755 9.15987e-05
          46    -5.49871    -5.49757 9.30379e-05
          47    -5.49781    -5.49758 9.11899e-05
          48    -5.49748    -5.49758 8.93126e-05
          49    -5.49724    -5.49757 8.77514e-05
          50    -5.49768    -5.49757 8.60246e-05
