#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1     -20.606     -20.606           0
           2    -20.6061    -20.6061 1.48692e-05
           3    -20.6061    -20.6061 2.67004e-05
           4    -20.6062    -20.6061 3.97875e-05
           5    -20.6064    -20.6062 5.41887e-05
           6    -20.6065    -20.6062 6.98402e-05
           7    -20.6067    -20.6063 8.66658e-05
           8    -20.6069    -20.6064 0.000104598
           9    -20.6072    -20.6065 0.000123575
          10    -20.6074    -20.6066 0.000143546
          11    -20.6077    -20.6067 0.000164465
          12     -20.608    -20.6068 0.000186291
          13    -20.6084    -20.6069 0.000208989
          14    -20.6088     -20.607 0.000232526
          15    -20.6092    -20.6072 0.000256874
          16    -20.6096    -20.6073 0.000282006
          17    -20.6101    -20.6075 0.000307899
          18    -20.6106    -20.6077  0.00033453
          19    -20.6111    -20.6078  0.00036188
          20    -20.6116     -20.608 0.000389931
          21    -20.6122    -20.6082 0.000418664
          22    -20.6128    -20.6084 0.000448064
          23    -20.6134    -20.6087 0.000478116
          24    -20.6141    -20.6089 0.000508806
          25    -20.6148    -20.6091  0.00054012
          26    -20.6155    -20.6094 0.000572047
          27    -20.6162    -20.6096 0.000604574
          28     -20.617    -20.6099 0.000637691
          29    -20.6178    -20.6101 0.000671387
          30    -20.6186    -20.6104 0.000705653
          31    -20.6194    -20.6107 0.000740478
          32    -20.6203     -20.611 0.000775854
          33    -20.6212    -20.6113 0.000811772
          34    -20.6222    -20.6116 0.000848224
          35    -20.6231     -20.612 0.000885203
          36    -20.6241    -20.6123   0.0009227
          37    -20.6251    -20.6127 0.000960709
          38    -20.6262     -20.613 0.000999222
          39    -20.6273    -20.6134  0.00103823
          40    -20.6284    -20.6138  0.00107774
          41    -20.6295    -20.6141  0.00111773
          42    -20.6307    -20.6145   0.0011582
          43    -20.6318    -20.6149  0.00119914
          44    -20.6331    -20.6153  0.00124055
          45    -20.6343    -20.6158  0.00128242
          46    -20.6356    -20.6162  0.00132476
          47    -20.6369    -20.6166  0.00136754
          48    -20.6382    -20.6171  0.00141078
          49    -20.6395    -20.6175  0.00145446
          50    -20.6409     -20.618  0.00149858
          51    -20.6423    -20.6185  0.00154313
          52    -20.6438     -20.619  0.00158811
          53    -20.6452    -20.6195  0.00163353
          54    -20.6467      -20.62  0.00167936
          55    -20.6482    -20.6205  0.00172561
          56    -20.6498     -20.621  0.00177228
          57    -20.6514    -20.6215  0.00181936
          58     -20.653    -20.6221  0.00186685
          59    -20.6546    -20.6226  0.00191474
          60    -20.6562    -20.6232  0.00196304
          61    -20.6579    -20.6238  0.00201173
          62    -20.6596    -20.6243  0.00206082
          63    -20.6614    -20.6249   0.0021103
          64    -20.6632    -20.6255  0.00216017
          65    -20.6649    -20.6261  0.00221042
          66    -20.6668    -20.6268  0.00226106
          67    -20.6686    -20.6274  0.00231207
          68    -20.6705     -20.628  0.00236347
          69    -20.6724    -20.6287  0.00241524
          70    -20.6744    -20.6293  0.00246738
          71    -20.6763      -20.63  0.00251989
          72    -20.6783    -20.6306  0.00257277
          73    -20.6803    -20.6313  0.00262601
          74    -20.6824     -20.632  0.00267962
          75    -20.6844    -20.6327  0.00273359
          76    -20.6866    -20.6334  0.00278791
          77    -20.6887    -20.6341  0.00284259
          78    -20.6908    -20.6349  0.00289762
          79     -20.693    -20.6356  0.00295301
          80    -20.6952    -20.6363  0.00300874
          81    -20.6975    -20.6371  0.00306482
          82    -20.6998    -20.6379  0.00312125
          83    -20.7021    -20.6386  0.00317802
          84    -20.7044    -20.6394  0.00323513
          85    -20.7067    -20.6402  0.00329258
          86    -20.7091     -20.641  0.00335037
          87    -20.7115    -20.6418  0.00340849
          88     -20.714    -20.6426  0.00346695
          89    -20.7164    -20.6435  0.00352574
          90    -20.7189    -20.6443  0.00358486
          91    -20.7214    -20.6452  0.00364431
          92     -20.724     -20.646  0.00370409
          93    -20.7266    -20.6469  0.00376419
          94    -20.7292    -20.6478  0.00382462
          95    -20.7318    -20.6486  0.00388537
          96    -20.7345    -20.6495  0.00394644
          97    -20.7372    -20.6504  0.00400783
          98    -20.7399    -20.6514  0.00406954
          99    -20.7426    -20.6523  0.00413156
         100    -20.7454    -20.6532  0.00419391
         101    -20.7482    -20.6541  0.00425656
         102     -20.751    -20.6551  0.00431953
         103    -20.7539    -20.6561  0.00438281
         104    -20.7568     -20.657   0.0044464
         105    -20.7597     -20.658  0.00451029
         106    -20.7626     -20.659   0.0045745
         107    -20.7656      -20.66  0.00463901
         108    -20.7686     -20.661  0.00470383
         109    -20.7716     -20.662  0.00476895
         110    -20.7747     -20.663  0.00483437
         111    -20.7778    -20.6641  0.00490009
         112    -20.7809    -20.6651  0.00496612
         113     -20.784    -20.6662  0.00503244
         114    -20.7872    -20.6672  0.00509906
         115    -20.7904    -20.6683  0.00516598
         116    -20.7936    -20.6694   0.0052332
         117    -20.7969    -20.6705   0.0053007
         118    -20.8001    -20.6716  0.00536851
         119    -20.8035    -20.6727   0.0054366
         120    -20.8083    -20.6738  0.00550759
         121    -20.8117    -20.6749  0.00557874
         122    -20.8151    -20.6761  0.00565007
         123    -20.8201    -20.6773   0.0057241
         124    -20.8235    -20.6784   0.0057982
         125     -20.827    -20.6796  0.00587237
         126    -20.8321    -20.6808  0.00594908
         127    -20.8356    -20.6821  0.00602578
         128    -20.8392    -20.6833  0.00610247
         129    -20.8428    -20.6845  0.00617917
         130    -20.8464    -20.6858  0.00625589
