#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     1.39316     1.39316           0
           2     1.39316     1.39316 1.49012e-08
           3     1.39316     1.39316 1.72064e-08
           4     1.39316     1.39316 2.23517e-08
           5     1.39316     1.39316  2.6656e-08
           6     1.39316     1.39316 3.04169e-08
           7     1.39316     1.39316  3.2354e-08
           8     1.39316     1.39316 3.57317e-08
           9     1.39316     1.39316 3.81527e-08
          10     1.39316     1.39316 4.05355e-08
          11     1.39316     1.39316 4.21468e-08
          12     1.39316     1.39316 4.38678e-08
          13     1.39316     1.39316  4.5273e-08
          14     1.39316     1.39316 4.71216e-08
          15     1.39316     1.39316  4.8667e-08
          16     1.39316     1.39316 5.02569e-08
          17     1.39316     1.39316 5.17455e-08
          18     1.39316     1.39316 5.33814e-08
          19     1.39316     1.39316 5.48037e-08
          20     1.39316     1.39316 5.62506e-08
          21     1.39316     1.39316 5.76203e-08
          22     1.39316     1.39316 5.89234e-08
          23     1.39316     1.39316 6.00886e-08
          24     1.39316     1.39316 6.12883e-08
          25     1.39316     1.39316 6.23004e-08
          26     1.39316     1.39316 6.36913e-08
          27     1.39316     1.39316 6.50159e-08
          28     1.39316     1.39316 6.61023e-08
          29     1.39316     1.39316 6.74962e-08
          30     1.39316     1.39316 6.84481e-08
          31     1.39316     1.39316  6.9636e-08
          32     1.39316     1.39316 7.07805e-08
          33     1.39316     1.39316 7.17922e-08
          34     1.39316     1.39316 7.28213e-08
          35     1.39316     1.39316 7.39074e-08
          36     1.39316     1.39316  7.5042e-08
          37     1.39316     1.39316 7.60603e-08
          38     1.39316     1.39316 7.70504e-08
          39     1.39316     1.39316 7.79417e-08
          40     1.39316     1.39316 7.89902e-08
          41     1.39316     1.39316  7.9907e-08
          42     1.39316     1.39316 8.09014e-08
          43     1.39316     1.39316  8.1775e-08
          44     1.39316     1.39316 8.27835e-08
          45     1.39316     1.39316 8.37652e-08
          46     1.39316     1.39316 8.47506e-08
          47     1.39316     1.39316 8.56558e-08
          48     1.39316     1.39316 8.65412e-08
          49     1.39316     1.39316 8.74598e-08
          50     1.39316     1.39316 8.83829e-08
          51     1.39316     1.39316 8.92851e-08
          52     1.39316     1.39316 9.01442e-08
          53     1.39316     1.39316 9.09632e-08
          54     1.39316     1.39316 9.18122e-08
          55     1.39316     1.39316 9.26447e-08
          56     1.39316     1.39316 9.34616e-08
          57     1.39316     1.39316 9.43052e-08
          58     1.39316     1.39316 9.51528e-08
          59     1.39316     1.39316 9.59254e-08
          60     1.39316     1.39316 9.67237e-08
          61     1.39316     1.39316  9.7527e-08
          62     1.39316     1.39316 9.82981e-08
          63     1.39316     1.39316 9.90746e-08
          64     1.39316     1.39316 9.98385e-08
          65     1.39316     1.39316 1.00573e-07
          66     1.39316     1.39316 1.01347e-07
          67     1.39316     1.39316 1.02092e-07
          68     1.39316     1.39316 1.02842e-07
          69     1.39316     1.39316 1.03581e-07
          70     1.39316     1.39316 1.04323e-07
          71     1.39316     1.39316 1.05055e-07
          72     1.39316     1.39316 1.05805e-07
          73     1.39316     1.39316 1.06544e-07
          74     1.39316     1.39316 1.07258e-07
          75     1.39316     1.39316  1.0799e-07
          76     1.39316     1.39316 1.08711e-07
          77     1.39316     1.39316 1.09435e-07
          78     1.39316     1.39316 1.10136e-07
          79     1.39316     1.39316 1.10815e-07
          80     1.39316     1.39316  1.1151e-07
          81     1.39316     1.39316 1.12221e-07
          82     1.39316     1.39316  1.1291e-07
          83     1.39316     1.39316 1.13602e-07
          84     1.39316     1.39316 1.14285e-07
          85     1.39316     1.39316 1.14948e-07
          86     1.39316     1.39316 1.15625e-07
          87     1.39316     1.39316 1.16294e-07
          88     1.39316     1.39316 1.16987e-07
          89     1.39316     1.39316  1.1764e-07
          90     1.39316     1.39316 1.18285e-07
          91     1.39316     1.39316 1.18974e-07
          92     1.39316     1.39316 1.19634e-07
          93     1.39316     1.39316 1.20256e-07
          94     1.39316     1.39316 1.20901e-07
          95     1.39316     1.39316  1.2153e-07
          96     1.39316     1.39316 1.22189e-07
          97     1.39316     1.39316 1.22832e-07
          98     1.39316     1.39316 1.23448e-07
          99     1.39316     1.39316 1.24077e-07
         100     1.39316     1.39316  1.2469e-07
         101     1.39316     1.39316 1.25323e-07
         102     1.39316     1.39316  1.2594e-07
         103     1.39316     1.39316 1.26568e-07
         104     1.39316     1.39316 1.27181e-07
         105     1.39316     1.39316 1.27813e-07
         106     1.39316     1.39316 1.28405e-07
         107     1.39316     1.39316  1.2904e-07
         108     1.39316     1.39316 1.29636e-07
         109     1.39316     1.39316 1.30234e-07
         110     1.39316     1.39316 1.30857e-07
         111     1.39316     1.39316 1.31459e-07
         112     1.39316     1.39316 1.32062e-07
         113     1.39316     1.39316 1.32667e-07
         114     1.39316     1.39316 1.33273e-07
         115     1.39316     1.39316 1.33858e-07
         116     1.39316     1.39316 1.34453e-07
         117     1.39316     1.39316 1.35034e-07
         118     1.39316     1.39316 1.35617e-07
         119     1.39316     1.39316 1.36209e-07
         120     1.39316     1.39316 1.41247e-07
         121     1.39316     1.39316 1.45982e-07
         122     1.39316     1.39316 1.50385e-07
         123     1.39315     1.39316 1.60637e-07
         124     1.39315     1.39316 1.69931e-07
         125     1.39315     1.39316 1.78431e-07
         126     1.39315     1.39316 1.92899e-07
         127     1.39315     1.39316 2.05853e-07
         128     1.39315     1.39316 2.17579e-07
         129     1.39315     1.39316  2.2828e-07
         130     1.39315     1.39316  2.3811e-07
         131     1.39315     1.39316 2.47187e-07
         132     1.39315     1.39316 2.55607e-07
