#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1    -2514.58    -2514.58           0
           2    -2514.44    -2514.51   0.0495276
           3    -2514.21    -2514.41   0.0889204
           4    -2513.88    -2514.28    0.132473
           5    -2513.47    -2514.12    0.180385
           6    -2512.95    -2513.92    0.232441
           7    -2512.35     -2513.7    0.288393
           8    -2511.65    -2513.44    0.348014
           9    -2510.86    -2513.16    0.411109
          10    -2509.97    -2512.84    0.477506
          11       -2509    -2512.49    0.547059
          12    -2507.93    -2512.11    0.619639
          13    -2506.76     -2511.7    0.695132
          14    -2505.51    -2511.25    0.773438
          15    -2504.16    -2510.78    0.854467
          16    -2502.71    -2510.28     0.93814
          17    -2501.18    -2509.74     1.02439
          18    -2499.55    -2509.18     1.11314
          19    -2497.82    -2508.58     1.20434
          20       -2496    -2507.95     1.29794
          21    -2494.09    -2507.29     1.39389
          22    -2492.08     -2506.6     1.49214
          23    -2489.98    -2505.87     1.59265
          24    -2487.78    -2505.12     1.69539
          25    -2485.49    -2504.34     1.80033
          26     -2483.1    -2503.52     1.90743
          27    -2480.61    -2502.67     2.01666
          28    -2478.03    -2501.79       2.128
          29    -2475.35    -2500.88     2.24143
          30    -2472.57    -2499.93     2.35693
          31     -2469.7    -2498.96     2.47446
          32    -2466.73    -2497.95     2.59403
          33    -2463.56    -2496.91     2.71669
          34    -2460.39    -2495.84     2.84116
          35    -2457.03    -2494.73     2.96846
          36    -2453.66    -2493.59     3.09743
          37     -2450.2    -2492.41     3.22811
          38    -2446.63    -2491.21     3.36052
          39    -2442.96    -2489.97     3.49469
          40    -2439.19     -2488.7     3.63064
          41    -2435.12     -2487.4        3.77
          42    -2430.95    -2486.05     3.91248
          43    -2426.87    -2484.67     4.05637
          44    -2422.68    -2483.27     4.20174
          45     -2418.3    -2481.82     4.34933
          46    -2413.71    -2480.34     4.49977
          47    -2409.02    -2478.82     4.65289
          48    -2404.41    -2477.27     4.80727
          49     -2399.7    -2475.69       4.963
          50    -2394.88    -2474.07     5.12014
          51    -2389.76    -2472.42     5.27992
          52    -2384.72    -2470.73      5.4411
          53    -2379.38    -2469.01     5.60483
          54    -2374.02    -2467.25     5.77049
          55    -2368.65    -2465.46     5.93753
          56    -2363.07    -2463.63     6.10653
          57    -2357.38    -2461.77     6.27747
          58    -2351.47    -2459.87     6.45083
          59    -2345.55    -2457.93     6.62607
          60    -2339.52    -2455.95     6.80318
          61    -2333.46    -2453.95     6.98171
          62       -2327     -2451.9     7.16305
          63    -2320.52    -2449.81     7.34664
