#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1     667.173     667.173           0
           2      668.28     667.727    0.391106
           3     670.121     668.525     0.70201
           4     672.697     669.568     1.04555
           5     676.005     670.855     1.42321
           6     680.043     672.387      1.8332
           7      684.81     674.161     2.27347
           8     690.303     676.179     2.74214
           9     696.727     678.462     3.25186
          10     703.871     681.003     3.79158
          11     712.357     683.853     4.38945
          12     721.349     686.978     5.01392
          13     730.842     690.352     5.65062
          14     741.461     694.003     6.31713
          15     752.993     697.935     7.01411
          16     764.604     702.102     7.71474
          17     777.745     706.552     8.44722
          18      791.79     711.287     9.21011
          19     806.526       716.3     9.99678
          20     821.743     721.572      10.798
          21     838.268     727.129     11.6261
          22     855.472     732.963     12.4757
          23     873.144     739.058     13.3393
          24     890.865     745.383     14.2042
          25     909.049      751.93     15.0694
          26     928.106     758.706     15.9406
          27     948.237     765.725      16.825
          28     969.437     773.001     17.7274
          29     990.869     780.513     18.6402
          30     1012.94     788.261     19.5628
          31     1036.07     796.255        20.5
          32     1058.78     804.459     21.4382
          33     1081.71      812.86     22.3743
          34     1105.04     821.454     23.3082
          35     1130.02      830.27     24.2524
          36     1154.77     839.284     25.1982
          37     1180.54     848.507     26.1507
          38     1206.67     857.932     27.1079
          39     1233.38     867.559     28.0702
          40     1260.86     877.392     29.0396
          41     1288.48     887.419     30.0124
          42     1316.44     897.633     30.9874
          43     1345.76     908.055     31.9712
          44     1374.97     918.667     32.9587
          45      1404.9     929.472     33.9513
          46     1435.12     940.464     34.9475
          47     1465.82     951.642      35.947
          48     1497.19     963.007     36.9512
          49     1529.21     974.563     37.9609
          50     1561.05     986.292     38.9718
          51     1593.52     998.199     39.9851
          52     1626.18     1010.28     40.9994
          53     1659.44     1022.52     42.0155
          54     1693.89     1034.96     43.0376
          55     1727.85     1047.55     44.0604
          56     1762.35     1060.32     45.0846
          57     1797.57     1073.25     46.1117
          58     1832.25     1086.34      47.137
          59     1867.19     1099.57     48.1602
          60     1902.37     1112.95      49.181
          61     1937.56     1126.47     50.1983
          62     1972.95     1140.12     51.2116
          63     2008.71     1153.91     52.2216
          64     2044.62     1167.83     53.2279
          65     2080.44     1181.87     54.2291
          66     2116.56     1196.03     55.2257
          67     2152.95     1210.31     56.2179
          68     2189.17     1224.71     57.2045
          69     2225.61     1239.21     58.1855
          70     2262.24     1253.83     59.1612
          71      2298.4     1268.54     60.1295
          72      2334.9     1283.35     61.0912
          73     2370.89     1298.25     62.0442
          74     2406.73     1313.23     62.9881
          75      2442.2     1328.28     63.9216
          76     2477.48      1343.4     64.8444
          77     2512.94     1358.59      65.757
          78     2547.73     1373.84     66.6578
          79     2582.45     1389.14     67.5469
          80     2616.64     1404.48     68.4231
          81     2650.48     1419.86      69.286
          82     2684.16     1435.28     70.1355
          83     2717.22     1450.73     70.9708
          84     2750.06     1466.19     71.7918
          85     2782.02     1481.67      72.597
          86      2813.9     1497.17      73.387
          87     2844.86     1512.66     74.1603
          88     2875.48     1528.14     74.9172
          89     2905.74     1543.62     75.6575
          90     2935.21     1559.08     76.3805
          91     2964.26     1574.52     77.0863
          92      2993.1     1589.94     77.7752
          93     3020.65     1605.33     78.4456
          94     3047.52     1620.67     79.0972
          95      3073.7     1635.97     79.7297
          96     3099.16     1651.21     80.3428
          97     3124.31     1666.39     80.9371
          98     3148.29     1681.52     81.5116
          99     3171.72     1696.57     82.0663
         100     3194.58     1711.55     82.6015
         101     3216.45     1726.45     83.1167
         102     3237.31     1741.26     83.6113
         103     3257.37     1755.98     84.0852
         104     3276.83      1770.6     84.5387
         105     3295.05     1785.12     84.9711
         106     3312.86     1799.53     85.3831
         107     3329.64     1813.83     85.7743
         108     3346.01     1828.02     86.1453
         109     3360.93     1842.08     86.4953
         110     3375.23     1856.02     86.8247
         111     3388.71     1869.83     87.1335
         112     3401.36      1883.5      87.422
         113     3412.78     1897.04     87.6896
         114     3424.01     1910.43     87.9374
         115     3434.23     1923.68     88.1654
         116     3443.65     1936.79     88.3737
         117     3452.29     1949.74     88.5625
         118     3460.35     1962.54     88.7324
         119     3467.65     1975.19     88.8836
         120     3474.19     1987.68     89.0164
         121     3479.57     2000.01     89.1305
         122     3484.44     2012.18     89.2266
         123     3488.79     2024.18     89.3051
         124     3492.24     2036.02     89.3662
         125        3495     2047.69     89.4103
         126      3497.1      2059.2     89.4376
         127     3498.54     2070.53     89.4485
         128     3499.35     2081.69     89.4435
         129     3499.34     2092.68     89.4227
         130     3498.94      2103.5     89.3868
         131     3498.17     2114.15     89.3362
         132     3496.64     2124.62     89.2712
         133     3494.56     2134.92     89.1923
         134     3491.76     2145.05     89.0996
         135     3488.67        2155     88.9937
         136     3485.09     2164.78     88.8751
         137     3481.06     2174.39     88.7442
         138      3476.8     2183.82     88.6016
         139      3471.7     2193.09     88.4473
         140     3466.62     2202.19      88.282
         141     3460.96     2211.11     88.1062
         142     3455.35     2219.88     87.9203
         143     3448.99     2228.47     87.7246
         144     3442.11      2236.9     87.5194
         145     3435.14     2245.16      87.305
         146     3427.88     2253.26     87.0821
         147     3420.58      2261.2      86.851
         148     3413.04     2268.99     86.6122
         149     3405.28     2276.61      86.366
         150     3397.32     2284.09     86.1127
         151     3388.76      2291.4     85.8527
         152     3380.25     2298.56     85.5862
         153     3371.58     2305.58     85.3136
         154     3362.79     2312.44     85.0354
         155     3353.05     2319.16     84.7514
         156     3344.05     2325.73     84.4624
         157     3334.96     2332.15     84.1687
         158     3325.81     2338.44     83.8706
         159     3316.61      2344.6     83.5684
         160     3307.38     2350.61     83.2625
         161     3298.12      2356.5      82.953
         162     3289.68     2362.26     82.6408
         163     3280.42     2367.89     82.3255
         164     3271.38      2373.4     82.0076
         165     3262.37     2378.79     81.6874
         166      3253.4     2384.06     81.3651
         167     3244.28     2389.21     81.0407
         168     3235.43     2394.24     80.7147
         169     3226.43     2399.17     80.3872
         170     3217.32     2403.98     80.0583
         171      3208.5     2408.69     79.7282
         172     3199.57     2413.28     79.3972
         173     3191.17     2417.78     79.0654
         174     3182.67     2422.18     78.7331
         175     3174.29     2426.47     78.4004
         176     3166.04     2430.68     78.0675
         177     3157.92     2434.79     77.7345
         178     3150.15      2438.8     77.4016
         179     3142.31     2442.73     77.0689
         180     3134.62     2446.58     76.7365
         181     3127.08     2450.34     76.4046
         182      3119.7     2454.02     76.0733
         183     3112.27     2457.61     75.7426
         184     3105.21     2461.13     75.4127
         185     3098.31     2464.58     75.0836
         186     3091.37     2467.95     74.7556
         187     3084.59     2471.24     74.4285
         188     3078.19     2474.47     74.1026
         189     3071.95     2477.63     73.7779
         190     3065.89     2480.73     73.4545
         191     3059.99     2483.76     73.1325
         192     3054.26     2486.73      72.812
         193     3049.11     2489.65      72.493
         194     3043.72      2492.5     72.1755
         195     3038.28      2495.3     71.8597
         196     3033.21     2498.05     71.5454
         197      3028.5     2500.74     71.2329
         198     3023.75     2503.38     70.9221
         199     3019.36     2505.97     70.6131
         200     3014.92     2508.52     70.3059
         201     3010.63     2511.02     70.0004
         202     3006.69     2513.47     69.6969
         203      3002.9     2515.88     69.3953
         204     2999.25     2518.25     69.0955
         205     2995.52     2520.58     68.7977
         206     2991.93     2522.87     68.5018
         207     2988.05     2525.11     68.2077
         208     2984.72     2527.32     67.9155
         209     2981.29      2529.5     67.6253
         210     2978.19     2531.63      67.337
         211     2974.78     2533.73     67.0506
         212     2972.11      2535.8     66.7662
         213     2969.12     2537.84     66.4838
         214     2966.44     2539.84     66.2033
         215     2963.44     2541.81     65.9246
         216     2960.94     2543.75      65.648
         217     2958.73     2545.66     65.3733
         218     2956.19     2547.54     65.1006
         219     2953.93      2549.4     64.8297
         220     2951.32     2551.23     64.5608
         221     2949.82     2553.03     64.2938
         222     2947.54     2554.81     64.0288
         223     2945.74     2556.56     63.7657
         224     2943.79     2558.29     63.5044
         225     2941.67     2559.99      63.245
         226      2939.8     2561.67     62.9875
         227     2937.98     2563.33     62.7318
         228     2935.98     2564.97      62.478
         229     2934.22     2566.58      62.226
         230     2932.69     2568.17     61.9758
         231     2930.77     2569.74     61.7274
         232     2928.87     2571.29     61.4807
         233     2927.41     2572.82     61.2358
         234     2925.74     2574.32     60.9927
         235     2924.09     2575.81     60.7513
         236     2922.23     2577.28     60.5116
         237     2920.58     2578.73     60.2736
         238     2918.93     2580.16     60.0373
         239     2916.86     2581.57     59.8027
         240     2914.78     2582.96     59.5696
         241      2912.9     2584.32     59.3382
         242     2911.42     2585.68     59.1083
         243      2909.5     2587.01     58.8801
         244     2907.57     2588.32     58.6535
         245     2905.82     2589.62     58.4284
         246     2904.05      2590.9     58.2048
         247     2902.25     2592.16     57.9828
         248     2900.22      2593.4     57.7623
         249     2898.15     2594.62     57.5433
         250     2896.25     2595.83     57.3258
         251     2894.53     2597.02     57.1098
         252     2892.77     2598.19     56.8952
         253     2890.55     2599.35      56.682
         254     2888.29     2600.49     56.4703
         255     2885.78     2601.61     56.2599
         256     2883.63     2602.71      56.051
         257     2881.03     2603.79     55.8433
         258     2878.79     2604.86      55.637
         259     2876.91     2605.91     55.4321
         260     2874.57     2606.94     55.2286
         261     2872.38     2607.96     55.0263
         262     2869.93     2608.96     54.8254
         263        2867     2609.94     54.6257
         264     2864.23      2610.9     54.4273
         265     2861.39     2611.85     54.2301
         266      2858.7     2612.77     54.0342
         267     2855.96     2613.69     53.8395
         268     2853.15     2614.58      53.646
         269     2850.49     2615.46     53.4537
         270     2847.76     2616.32     53.2627
         271     2844.36     2617.16     53.0728
         272      2841.3     2617.98     52.8841
         273     2838.39     2618.79     52.6965
         274     2835.42     2619.58     52.5101
         275     2831.96     2620.35     52.3249
         276     2828.45     2621.11     52.1407
         277     2825.08     2621.84     51.9577
         278     2821.24     2622.56     51.7757
         279     2817.54     2623.26     51.5949
         280     2813.98     2623.94     51.4151
         281     2810.37      2624.6     51.2364
         282     2807.12     2625.25     51.0588
         283     2803.39     2625.88     50.8823
         284     2799.82     2626.49     50.7068
         285     2795.98     2627.09     50.5323
         286     2791.88     2627.66     50.3589
         287     2787.73     2628.22     50.1866
         288     2783.74     2628.76     50.0152
         289     2779.29     2629.28     49.8449
         290     2774.78     2629.78     49.6755
         291     2770.44     2630.27     49.5072
         292     2766.06     2630.73     49.3398
         293     2762.46     2631.18     49.1734
         294     2758.21     2631.61     49.0081
         295     2754.12     2632.03     48.8437
         296        2750     2632.43     48.6803
         297     2745.44     2632.81     48.5179
         298     2741.46     2633.17     48.3565
         299     2737.05     2633.52      48.196
         300     2732.82     2633.85     48.0365
         301     2728.36     2634.16     47.8779
         302     2724.08     2634.46     47.7203
         303     2719.58     2634.74     47.5636
         304     2715.28     2635.01     47.4079
         305     2710.75     2635.26     47.2531
         306     2706.43     2635.49     47.0993
         307     2701.68      2635.7     46.9464
         308     2697.76     2635.91     46.7944
         309     2693.21     2636.09     46.6433
         310     2688.46     2636.26     46.4931
         311     2683.92     2636.41     46.3439
         312     2679.59     2636.55     46.1956
         313     2675.07     2636.68     46.0481
         314     2670.35     2636.78     45.9016
         315     2666.06     2636.88      45.756
         316     2661.58     2636.95     45.6113
         317     2657.54     2637.02     45.4674
         318      2653.1     2637.07     45.3245
         319      2648.9     2637.11     45.1824
         320     2644.51     2637.13     45.0412
         321     2640.37     2637.14     44.9009
         322     2635.84     2637.14     44.7615
         323     2631.14     2637.12     44.6229
         324      2627.1     2637.09     44.4852
         325     2622.89     2637.04     44.3483
         326     2618.52     2636.99     44.2123
         327     2614.19     2636.92     44.0772
         328     2610.33     2636.83     43.9428
         329     2605.89     2636.74     43.8094
         330     2602.13     2636.64     43.6768
         331     2598.43     2636.52     43.5449
         332     2594.57     2636.39      43.414
         333     2590.78     2636.26     43.2838
         334     2587.25     2636.11     43.1545
         335     2583.79     2635.95     43.0259
         336     2580.81     2635.79     42.8982
         337     2576.86     2635.62     42.7713
         338      2573.6     2635.43     42.6451
         339     2570.62     2635.24     42.5197
         340     2567.29     2635.04     42.3952
         341     2564.04     2634.83     42.2713
         342      2561.5     2634.62     42.1483
         343      2558.4      2634.4      42.026
         344     2555.39     2634.17     41.9044
         345     2552.45     2633.93     41.7837
         346     2549.81     2633.69     41.6636
         347     2546.84     2633.44     41.5443
         348     2544.57     2633.18     41.4257
         349     2541.97     2632.92     41.3078
         350     2539.67     2632.65     41.1906
         351     2537.45     2632.38     41.0742
         352     2535.12     2632.11     40.9584
         353     2532.66     2631.82     40.8434
         354     2530.51     2631.54      40.729
         355     2528.44     2631.25     40.6153
         356     2526.05     2630.95     40.5023
         357     2524.16     2630.65     40.3899
         358     2521.75     2630.35     40.2783
         359     2519.84     2630.04     40.1672
         360     2518.02     2629.73     40.0569
         361     2516.92     2629.42     39.9471
         362      2515.5      2629.1      39.838
         363     2513.75     2628.78     39.7295
         364     2512.71     2628.47     39.6217
         365     2511.56     2628.14     39.5144
         366     2510.51     2627.82     39.4078
         367     2509.54      2627.5     39.3017
         368     2508.45     2627.18     39.1962
         369     2507.66     2626.85     39.0914
         370     2507.17     2626.53      38.987
         371     2506.77     2626.21     38.8833
         372     2506.45     2625.89     38.7801
         373     2505.81     2625.56     38.6775
         374     2505.46     2625.24     38.5754
         375     2505.61     2624.92     38.4738
         376     2505.01      2624.6     38.3728
         377     2504.91     2624.29     38.2724
         378      2505.1     2623.97     38.1724
