#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -6.65034    -6.65034           0
           2    -6.65012    -6.65023  7.9072e-05
           3     -6.6499    -6.65012 0.000105329
           4    -6.64967    -6.65001 0.000124777
           5    -6.64945     -6.6499 0.000141014
           6    -6.64923    -6.64979 0.000155271
           7    -6.64901    -6.64968 0.000168135
           8    -6.64879    -6.64956 0.000179942
           9    -6.64857    -6.64945 0.000190906
          10    -6.64835    -6.64934 0.000201172
          11    -6.64813    -6.64923 0.000210846
          12    -6.64759     -6.6491 0.000233438
          13    -6.64705    -6.64894 0.000263086
          14    -6.64684    -6.64879 0.000283825
          15    -6.64598     -6.6486 0.000320812
          16    -6.64512    -6.64839 0.000367109
          17     -6.6433    -6.64809 0.000451289
          18    -6.64309    -6.64781 0.000504364
          19    -6.64224    -6.64752 0.000556598
          20    -6.64106    -6.64719 0.000615258
          21    -6.63956    -6.64683 0.000684887
          22    -6.63871    -6.64646 0.000746519
          23    -6.63689    -6.64604  0.00082178
          24     -6.6354     -6.6456 0.000899244
          25    -6.63423    -6.64515 0.000971432
          26    -6.63177    -6.64463  0.00106151
          27    -6.63094    -6.64412  0.00113696
          28    -6.62848    -6.64357    0.001226
          29    -6.62667    -6.64298  0.00131485
          30    -6.62422    -6.64236  0.00141195
          31    -6.62242    -6.64171  0.00150579
          32     -6.6203    -6.64105   0.0016006
          33    -6.61817    -6.64035  0.00169552
          34    -6.61767    -6.63969  0.00177202
          35    -6.61685    -6.63903   0.0018376
          36     -6.6157    -6.63838  0.00189738
          37    -6.61327    -6.63771  0.00196379
          38    -6.61116    -6.63701  0.00203257
          39     -6.6097    -6.63631  0.00209757
          40     -6.6076    -6.63559  0.00216444
          41    -6.60615    -6.63487   0.0022276
          42    -6.60437    -6.63415  0.00228986
          43    -6.60131    -6.63338  0.00236051
          44    -6.60051    -6.63263  0.00242218
          45    -6.59972     -6.6319  0.00247632
          46    -6.59861    -6.63118  0.00252606
          47    -6.59847    -6.63048  0.00256639
          48    -6.59801    -6.62981  0.00260056
          49    -6.59659    -6.62913  0.00263438
          50    -6.59517    -6.62845  0.00266783
          51    -6.59504    -6.62779  0.00269473
          52    -6.59363    -6.62714  0.00272182
          53    -6.59287    -6.62649  0.00274617
          54    -6.59244    -6.62586  0.00276677
          55    -6.59201    -6.62525  0.00278407
          56    -6.59094    -6.62463  0.00280093
          57    -6.58955    -6.62402  0.00281858
          58    -6.58914    -6.62342  0.00283339
          59    -6.58874    -6.62283  0.00284569
          60    -6.58833    -6.62225  0.00285574
          61    -6.58761    -6.62169  0.00286483
          62     -6.5869    -6.62112  0.00287304
          63    -6.58619    -6.62057  0.00288044
          64    -6.58516    -6.62002  0.00288807
          65    -6.58479    -6.61947  0.00289404
          66    -6.58442    -6.61894  0.00289851
          67    -6.58341    -6.61841  0.00290335
          68    -6.58306    -6.61789  0.00290683
          69    -6.58271    -6.61738  0.00290908
          70    -6.58172    -6.61687  0.00291179
          71    -6.58171    -6.61638   0.0029126
          72    -6.58106    -6.61589  0.00291317
