#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1   -0.381127   -0.381127           0
           2   -0.382657   -0.381892 0.000540996
           3   -0.386842   -0.383542  0.00139449
           4   -0.393812   -0.386109  0.00245712
           5   -0.404558   -0.389799  0.00384123
           6   -0.460601   -0.401599   0.0112377
           7   -0.383343   -0.398991  0.00993037
           8   -0.392915   -0.398232  0.00871807
           9   -0.363322   -0.394353  0.00856896
          10   -0.422177   -0.397135  0.00815131
          11   -0.440383   -0.401067  0.00830448
          12   -0.439684   -0.404285  0.00821232
          13   -0.397519   -0.403765  0.00759707
          14   -0.349513   -0.399889  0.00798177
          15   -0.385016   -0.398898  0.00751099
          16   -0.379021   -0.397656  0.00714355
          17   -0.359224   -0.395395  0.00707201
          18   -0.320732   -0.391247   0.0078013
          19   -0.354755   -0.389326  0.00762346
          20   -0.357746   -0.387747  0.00740401
          21   -0.379023   -0.387332  0.00706308
          22   -0.417923   -0.388722  0.00687755
          23    -0.42419   -0.390264  0.00674919
          24   -0.408421   -0.391021  0.00651023
          25   -0.397423   -0.391277  0.00625486
          26   -0.439543   -0.393133  0.00628372
          27   -0.410528   -0.393778  0.00608393
          28   -0.423095   -0.394825  0.00595606
          29   -0.432675    -0.39613  0.00589195
          30   -0.363317   -0.395036  0.00579618
          31   -0.412744   -0.395607  0.00563729
          32   -0.365968   -0.394681  0.00553669
          33   -0.386604   -0.394436  0.00537432
          34   -0.397492   -0.394526    0.005217
          35   -0.386167   -0.394287  0.00507341
          36   -0.410383   -0.394735  0.00495215
          37   -0.413666   -0.395246  0.00484466
          38   -0.433486   -0.396252  0.00482055
          39   -0.396818   -0.396267  0.00469697
          40   -0.369179    -0.39559  0.00462811
          41   -0.366648   -0.394884  0.00456874
          42   -0.420185   -0.395486   0.0044995
          43   -0.394289   -0.395458  0.00439495
          44   -0.372433   -0.394935  0.00432611
          45   -0.388892   -0.394801  0.00423206
          46   -0.391832   -0.394736  0.00414055
          47   -0.442599   -0.395755  0.00417581
          48   -0.446811   -0.396818  0.00422211
          49   -0.471459   -0.398342  0.00440216
          50   -0.459228   -0.399559  0.00447938
