#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1     2151.41     2151.41           0
           2     2133.63     2142.52     6.28511
           3     2149.82     2144.95     4.63738
           4     2155.19     2147.51     4.12381
           5     2150.14     2148.04     3.33234
           6        2152      2148.7     2.84174
           7     2139.22     2147.35     2.73935
           8     2147.91     2147.42     2.39785
           9      2143.1     2146.94     2.17881
          10     2150.54      2147.3     1.99056
          11     2148.12     2147.37     1.81102
          12     2145.72     2147.23     1.66533
          13     2148.08      2147.3     1.53849
          14     2144.54      2147.1      1.4412
          15     2148.95     2147.23     1.35036
          16     2148.42      2147.3     1.26802
          17     2145.31     2147.18     1.19879
          18     2156.62     2147.71     1.24164
          19      2144.7     2147.55     1.18631
          20     2156.86     2148.02     1.21487
          21     2145.94     2147.92     1.16102
