#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.22236     1.22236           0
           2     1.22333     1.22285 0.000344367
           3     1.22618     1.22396 0.000935172
           4     1.23078     1.22566  0.00163579
           5     1.23788     1.22811  0.00254679
           6     1.27527     1.23597  0.00748245
           7     1.22382     1.23423  0.00661171
           8     1.23025     1.23373   0.0058039
           9     1.21056     1.23116  0.00570159
          10     1.24977     1.23302  0.00542659
          11      1.2619     1.23564  0.00553187
          12     1.26144     1.23779  0.00547276
          13     1.23335     1.23745  0.00506246
          14     1.20132     1.23487  0.00531828
          15     1.22487      1.2342  0.00500533
          16     1.22094     1.23338  0.00476068
          17     1.20777     1.23187  0.00471294
          18     1.18215     1.22911  0.00519777
          19     1.20486     1.22783   0.0050785
          20     1.20678     1.22678  0.00493242
          21     1.22093      1.2265  0.00470539
          22     1.24689     1.22743  0.00458184
          23     1.25112     1.22846   0.0044969
          24     1.24065     1.22896  0.00433813
          25     1.23331     1.22914  0.00416809
          26     1.26135     1.23038  0.00418787
          27     1.24203     1.23081  0.00405492
          28     1.25038     1.23151  0.00396991
          29     1.25668     1.23238  0.00392674
          30     1.21042     1.23164  0.00386344
          31     1.24338     1.23202  0.00375732
          32     1.21224      1.2314  0.00369043
          33       1.226     1.23124  0.00358223
          34     1.23333      1.2313  0.00347739
          35      1.2258     1.23115  0.00338159
          36     1.24188     1.23144  0.00330079
          37     1.24399     1.23178  0.00322895
          38     1.25727     1.23245  0.00321289
          39     1.23289     1.23246  0.00313052
          40     1.21442     1.23201  0.00308461
          41     1.21267     1.23154  0.00304523
          42     1.24832     1.23194  0.00299883
          43     1.23106     1.23192  0.00292916
          44     1.21656     1.23157  0.00288332
          45     1.22746     1.23148  0.00282069
          46     1.22945     1.23144  0.00275972
          47      1.2633     1.23211  0.00278302
          48     1.26607     1.23282  0.00281351
          49     1.28254     1.23384  0.00293339
          50     1.27438     1.23465  0.00298471
