#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -6.00576    -6.00576           0
           2    -6.00696    -6.00636 0.000427364
           3     -6.0059    -6.00621 0.000310636
           4    -6.00551    -6.00603 0.000278236
           5    -6.00588      -6.006 0.000224223
           6    -6.00591    -6.00599 0.000187421
           7    -6.00718    -6.00616 0.000225617
           8    -6.00675    -6.00623 0.000209375
           9    -6.00552    -6.00615 0.000200443
          10    -6.00508    -6.00605  0.00020723
          11     -6.0063    -6.00607 0.000189722
          12    -6.00614    -6.00607 0.000174005
          13    -6.00562    -6.00604 0.000164119
          14    -6.00654    -6.00608 0.000156241
          15    -6.00517    -6.00601 0.000157135
          16    -6.00601    -6.00601 0.000147315
          17    -6.00572      -6.006 0.000139698
          18    -6.00607      -6.006 0.000131994
          19     -6.0056    -6.00598 0.000126694
          20    -6.00593    -6.00598  0.00012038
          21    -6.00645      -6.006 0.000116712
